serie,competition,year,champion
Speed Chess Championship,Speed Chess Championship,2017,Magnus Carlsen
Speed Chess Championship,Speed Chess Championship,2018,Hikaru Nakamura
Speed Chess Championship,Speed Chess Championship,2019,Hikaru Nakamura
Speed Chess Championship,Speed Chess Championship,2020,Hikaru Nakamura
Speed Chess Championship,Speed Chess Championship,2021,Hikaru Nakamura
Speed Chess Championship,Speed Chess Championship,2022,Hikaru Nakamura
Speed Chess Championship,Speed Chess Championship,2023,Magnus Carlsen
Speed Chess Championship,Speed Chess Championship,2019,Hikaru Nakamura
Speed Chess Championship,Speed Chess Championship,2020,Hikaru Nakamura
Speed Chess Championship,Bullet Chess Championship,2021,Alireza Firouzja
Speed Chess Championship,Bullet Chess Championship,2022,Hikaru Nakamura
Speed Chess Championship,Bullet Chess Championship,2023,Hikaru Nakamura
