department_no,department,head,head_no,name,party,state,president,start_date,end_date,birth_country
0,Federal Reserve,Chair of the Federal Reserve,1,Charles Hamlin,,,Woodrow Wilson,1914-08-10,1916-08-09,
0,Federal Reserve,Chair of the Federal Reserve,2,William Harding,,,Woodrow Wilson,1916-08-10,1922-08-09,
0,Federal Reserve,Chair of the Federal Reserve,3,Daniel Crissinger,,,Warren G. Harding,1923-05-01,1927-09-15,
0,Federal Reserve,Chair of the Federal Reserve,4,Roy Young,,,Calvin Coolidge,1927-10-04,1930-08-31,
0,Federal Reserve,Chair of the Federal Reserve,5,Eugene Meyer,,,Herbert Hoover,1930-09-16,1933-05-10,
0,Federal Reserve,Chair of the Federal Reserve,6,Eugene Black,,,Franklin D. Roosevelt,1933-05-19,1934-08-15,
0,Federal Reserve,Chair of the Federal Reserve,7,Marriner Eccles,,,Franklin D. Roosevelt,1934-11-15,1948-01-31,
0,Federal Reserve,Chair of the Federal Reserve,8,Thomas McCabe,,,Harry S. Truman,1948-04-15,1951-03-31,
0,Federal Reserve,Chair of the Federal Reserve,9,Bill Martin,,,Harry S. Truman,1951-04-02,1970-01-31,
0,Federal Reserve,Chair of the Federal Reserve,10,Arthur Burns,,,Richard Nixon,1970-02-01,1978-01-31,
0,Federal Reserve,Chair of the Federal Reserve,11,William Miller,,,Jimmy Carter,1978-03-08,1979-08-06,
0,Federal Reserve,Chair of the Federal Reserve,12,Paul Volcker,,,Jimmy Carter,1979-08-06,1987-08-11,
0,Federal Reserve,Chair of the Federal Reserve,13,Alan Greenspan,,,Ronald Reagan,1987-08-11,2006-01-31,
0,Federal Reserve,Chair of the Federal Reserve,14,Ben Bernanke,,,George W. Bush,2006-02-01,2014-01-31,
0,Federal Reserve,Chair of the Federal Reserve,15,Janet Yellen,,,Barack Obama,2014-02-03,2018-02-03,
0,Federal Reserve,Chair of the Federal Reserve,16,Jay Powell,,,Donald Trump,2018-02-05,incumbent,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,1,Joseph P. Kennedy Sr.,,Massachusetts,Franklin D. Roosevelt,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,2,James M. Landis,,Massachusetts,Franklin D. Roosevelt,,,
0,Securities and Exchange Commission,Chair of the Securities and Exchange Commission,3,William O. Douglas,,Connecticut,Franklin D. Roosevelt,,,
