symbol,first,last,change,change_percentage
ITQ,7.94,24.0,2.02,202
L14,0.99,2.74,1.77,177
DST,3.35,9.26,1.76,176
DDM,0.9,2.2,1.44,144
CCM,14.79,34.93,1.36,136
TKC,2.85,6.7,1.35,135
SDJ,1.2,2.3,0.92,92
BTH,6.0,11.5,0.92,92
VFR,9.4,17.9,0.9,90
DNP,2.41,4.56,0.89,89
PTH,2.15,4.03,0.87,87
PPE,4.5,8.4,0.87,87
SMT,9.68,17.84,0.84,84
NT2,4.63,8.34,0.8,80
VFC,7.18,12.3,0.71,71
VE9,3.72,6.2,0.67,67
PJS,7.21,11.98,0.66,66
PTD,7.87,12.98,0.65,65
VXB,7.08,11.53,0.63,63
SNC,7.37,11.99,0.63,63
VNG,8.47,13.63,0.61,61
MAC,4.3,6.87,0.6,60
DTA,3.52,5.62,0.6,60
STG,4.17,6.52,0.56,56
SDP,6.39,9.94,0.56,56
HTL,5.85,9.15,0.56,56
HPT,2.32,3.63,0.56,56
DTC,3.53,5.49,0.56,56
LGC,13.93,21.5,0.54,54
MPC,12.28,18.55,0.51,51
VDT,3.07,4.57,0.49,49
TMX,5.04,7.48,0.48,48
VAT,5.02,7.34,0.46,46
SEB,7.32,10.67,0.46,46
LHG,3.82,5.58,0.46,46
IVS,7.49,10.85,0.45,45
QHD,6.47,9.32,0.44,44
GIL,6.25,8.96,0.43,43
DCL,9.11,12.86,0.41,41
HTP,4.67,6.56,0.4,40
VTV,4.87,6.79,0.39,39
NGC,7.64,10.65,0.39,39
DRH,2.7,3.72,0.38,38
TYA,3.11,4.26,0.37,37
SGT,2.96,4.06,0.37,37
SDV,8.01,10.99,0.37,37
SPI,5.5,7.5,0.36,36
SDU,10.05,13.67,0.36,36
PTI,8.55,11.66,0.36,36
NDN,2.94,3.99,0.36,36
PNC,7.7,10.37,0.35,35
ARM,9.5,12.84,0.35,35
TMT,9.31,12.39,0.33,33
RIC,12.8,17.0,0.33,33
LBE,3.98,5.3,0.33,33
DTT,5.55,7.37,0.33,33
SHA,2.15,2.84,0.32,32
PSL,2.81,3.7,0.32,32
TNG,4.08,5.33,0.31,31
PSC,3.54,4.63,0.31,31
PRC,5.86,7.66,0.31,31
VIT,2.6,3.39,0.3,30
TV2,1.34,1.74,0.3,30
THB,10.17,13.18,0.3,30
TCR,4.69,6.12,0.3,30
SHP,8.03,10.42,0.3,30
NDX,3.02,3.94,0.3,30
GTA,6.85,8.88,0.3,30
VTX,5.99,7.75,0.29,29
VSI,3.8,4.92,0.29,29
VC3,1.44,1.86,0.29,29
HNM,9.85,12.7,0.29,29
TMP,10.68,13.62,0.28,28
SD3,5.51,7.03,0.28,28
VLA,3.53,4.47,0.27,27
PLC,10.98,13.94,0.27,27
TMS,12.51,15.79,0.26,26
TKU,3.44,4.32,0.26,26
SCI,3.6,4.54,0.26,26
