sport,name,moniker,city,state,division,conference,country,venue,competition,active
american-football,Buffalo Bills,,Orchard Park,New York,East,American,United States,Highmark Stadium,,
american-football,Miami Dolphins,,Miami Gardens,Florida,East,American,United States,Hard Rock Stadium,,
american-football,New England Patriots,,Foxborough,Massachusetts,East,American,United States,Gillette Stadium,,
american-football,New York Jets,,East Rutherford,New Jersey,East,American,United States,MetLife Stadium,,
american-football,Baltimore Ravens,,Baltimore,Maryland,North,American,United States,M&T Bank Stadium,,
american-football,Cincinnati Bengals,,Cincinnati,Ohio,North,American,United States,Paycor Stadium,,
american-football,Cleveland Browns,,Cleveland,Ohio,North,American,United States,Cleveland Browns Stadium,,
american-football,Pittsburgh Steelers,,Pittsburgh,Pennsylvania,North,American,United States,Acrisure Stadium,,
american-football,Denver Broncos,,Denver,Colorado,West,American,United States,Empower Field at Mile High,,
american-football,Kansas City Chiefs,,Kansas City,Missouri,West,American,United States,GEHA Field at Arrowhead Stadium,,
american-football,Las Vegas Raiders,,Paradise,Nevada,West,American,United States,Allegiant Stadium,,
american-football,Los Angeles Chargers,,Inglewood,California,West,American,United States,SoFi Stadium,,
american-football,Houston Texans,,Houston,Texas,South,American,United States,NRG Stadium,,
american-football,Indianapolis Colts,,Indianapolis,Indiana,South,American,United States,Lucas Oil Stadium,,
american-football,Jacksonville Jaguars,,Jacksonville,Florida,South,American,United States,TIAA Bank Field,,
american-football,Tennessee Titans,,Nashville,Tennessee,South,American,United States,Nissan Stadium,,
american-football,New York Giants,,East Rutherford,New Jersey,East,National,United States,MetLife Stadium,,
american-football,Philadelphia Eagles,,Philadelphia,Pennsylvania,East,National,United States,Lincoln Financial Field,,
american-football,Dallas Cowboys,,Arlington,Texas,East,National,United States,AT&T Stadium,,
american-football,Washington Commanders,,Landover,Maryland,East,National,United States,FedExField,,
american-football,Detroit Lions,,Detroit,Michigan,North,National,United States,Ford Field,,
american-football,Chicago Bears,,Chicago,Illinois,North,National,United States,Soldier Field,,
american-football,Green Bay Packers,,Green Bay,Wisconsin,North,National,United States,Lambeau Field,,
american-football,Minnesota Vikings,,Minneapolis,Minnesota,North,National,United States,U.S. Bank Stadium,,
american-football,Atlanta Falcons,,Atlanta,Georgia,South,National,United States,Mercedes-Benz Stadium,,
american-football,Carolina Panthers,,Charlotte,North Carolina,South,National,United States,Bank of America Stadium,,
american-football,New Orleans Saints,,New Orleans,Louisiana,South,National,United States,Caesars Superdome,,
american-football,Tampa Bay Buccaneers,,Tampa,Florida,South,National,United States,Raymond James Stadium,,
american-football,Arizona Cardinals,,Glendale,Arizona,West,National,United States,State Farm Stadium,,
american-football,Los Angeles Rams*,,Inglewood,California,West,National,United States,SoFi Stadium,,
american-football,San Francisco 49ers,,Santa Clara,California,West,National,United States,Levi's Stadium,,
american-football,Seattle Seahawks,,Seattle,Washington,West,National,United States,Lumen Field,,
basketball,Toronto Raptors,,Toronto,Ontario,Atlantic,Eastern,Canada,Scotiabank Arena,NBA,
basketball,Boston Celtics,,Boston,Massachusetts,Atlantic,Eastern,United States,TD Garden,NBA,
basketball,Brooklyn Nets,,New York City,New York,Atlantic,Eastern,United States,Barclays Center,NBA,
basketball,New York Knicks,,New York City,New York,Atlantic,Eastern,United States,Madison Square Garden,NBA,
basketball,Philadelphia 76ers,,Philadelphia,Pennsylvania,Atlantic,Eastern,United States,Wells Fargo Center,NBA,
basketball,Chicago Bulls,,Chicago,Illinois,Central,Eastern,United States,United Center,NBA,
basketball,Cleveland Cavaliers,,Cleveland,Ohio,Central,Eastern,United States,Rocket Mortgage FieldHouse,NBA,
basketball,Detroit Pistons,,Detroit,Michigan,Central,Eastern,United States,Little Caesars Arena,NBA,
basketball,Indiana Pacers,,Indianapolis,Indiana,Central,Eastern,United States,Gainbridge Fieldhouse,NBA,
basketball,Milwaukee Bucks,,Milwaukee,Wisconsin,Central,Eastern,United States,Fiserv Forum,NBA,
basketball,Atlanta Hawks,,Atlanta,Georgia,Southeast,Eastern,United States,State Farm Arena,NBA,
basketball,Charlotte Hornets,,Charlotte,North Carolina,Southeast,Eastern,United States,Spectrum Center,NBA,
basketball,Miami Heat,,Miami,Florida,Southeast,Eastern,United States,Kaseya Center,NBA,
basketball,Orlando Magic,,Orlando,Florida,Southeast,Eastern,United States,Amway Center,NBA,
basketball,Washington Wizards,,Washington,D.C.,Southeast,Eastern,United States,Capital One Arena,NBA,
basketball,Denver Nuggets,,Denver,Colorado,Northwest,Western,United States,Ball Arena,NBA,
basketball,Minnesota Timberwolves,,Minneapolis,Minnesota,Northwest,Western,United States,Target Center,NBA,
basketball,Oklahoma City Thunder,,Oklahoma City,Oklahoma,Northwest,Western,United States,Paycom Center,NBA,
basketball,Portland Trail Blazers,,Portland,Oregon,Northwest,Western,United States,Moda Center,NBA,
basketball,Utah Jazz,,Salt Lake City,Utah,Northwest,Western,United States,Vivint Arena,NBA,
basketball,Golden State Warriors,,San Francisco,California,Pacific,Western,United States,Chase Center,NBA,
