name,postal,code,capital,largest
Australian Antarctic Territory,TAS,AQ,,Davis Station
Australian Capital Territory,ACT,AU-ACT,Canberra,Canberra
Jervis Bay Territory,JBT,AU-JBT,,Jervis Bay Village
New South Wales,NSW,AU-NSW,Sydney,Sydney
Northern Territory,NT,AU-NT,Darwin,Darwin
Queensland,QLD,AU-QLD,Brisbane,Brisbane
South Australia,SA,AU-SA,Adelaide,Adelaide
Tasmania,TAS,AU-TAS,Hobart,Hobart
Victoria,VIC,AU-VIC,Melbourne,Melbourne
Western Australia,WA,AU-WA,Perth,Perth
Cocos (Keeling) Islands,WA,CC,West Island,West Island
Christmas Island,WA,CX,Flying Fish Cove,Flying Fish Cove
Heard Island and McDonald Islands,TAS,HM,,Atlas Cove
Norfolk Island,NSW,NF,Kingston,Kingston
Coral Sea Islands,,,,Willis Island
Ashmore and Cartier Islands,,,,
