"system_id","link","main_link"
"cc48939b-2ee4-5914-8b2f-8a10f15ddf2e","https://znews.vn/dich-vu-dat-xe-may-dien-lan-song-xanh-thu-hut-hanh-khach-va-tai-xe-post1447801.html",""
"4b19da1e-d079-5318-9a19-d8044d67962c","https://tienphong.vn/dich-vu-dat-xe-may-dien-tai-viet-nam-lan-song-xanh-thu-hut-hanh-khach-va-tai-xe-post1593951.tpo",""
"1a5fd85e-95da-57f9-bd9a-5ab01c55887e","http://baotnvn.vn/tin-tuc/Thi-truong/25243/Dich-vu-dat-xe-may-dien-tai-Viet-Nam-Lan-song-xanh-thu-hut-hanh-khach-va-tai-xe",""
"2361c025-97bb-5502-93f3-9725a10cbe3c","https://phunuhiendai.vn/dich-vu-dat-xe-may-dien-tai-viet-nam-lan-song-xanh-thu-hut-hanh-khach-va-tai-xe/",""
"5faf216a-e7a9-53d5-a56b-689088e69164","https://cadn.com.vn/dich-vu-dat-xe-may-dien-tai-viet-nam-lan-song-xanh-thu-hut-hanh-khach-va-tai-xe-post287669.html",""
"","https://smoney.vn/lan-song-xanh-tu-xe-may-dien-thu-hut-khach-hang-va-tai-xe-cong-nghe-post739074.html",""
"8ab66476-60d9-58cf-8a84-e3cf31bfd0fc","https://thitruong.nld.com.vn/tieu-dung/nang-cap-chuyen-xe-hang-ngay-voi-business-class-tren-mat-dat-20231129191110847.htm",""
"f0f24a4f-b5e6-5fb7-92a7-a3da38cf7948","https://doanhnhanvn.vn/nang-cap-chuyen-xe-hang-ngay-voi-business-class-tren-mat-dat.html",""
"03dafc55-9bdb-5cd7-b16e-42e5b77a051b","https://nhipcaudautu.vn/xe-thong-minh/nang-cap-chuyen-xe-hang-ngay-voi-business-class-tren-mat-dat-3356429/",""
"e6eda9a8-7cbb-57ea-9452-47b6f96b9a91","https://cafef.vn/nang-cap-chuyen-xe-hang-ngay-voi-business-class-tren-mat-dat-188231204164147039.chn",""
"","https://saigoneconomy.vn/nang-cap-chuyen-xe-hang-ngay-voi-business-class-tren-mat-dat-a148107.html",""
"e26316bd-f90b-54f5-9b23-4203470e62c3","http://nhipsongkinhte.toquoc.vn/nang-cap-chuyen-xe-hang-ngay-voi-business-class-tren-mat-dat-20231204153326527.htm",""
"85bc7e5e-be7b-5479-a74a-f66e3f80a2c8","https://kienthucgiadinh.net/nang-cap-chuyen-xe-hang-ngay-voi-business-class-tren-mat-dat/",""
"","https://www.tiktok.com/@vtkh2004/video/7299816160474778898",""
"","https://vt.tiktok.com/ZSNH1rndL/",""
"","https://vt.tiktok.com/ZSNH1LpUD/",""
"","https://www.tiktok.com/@tronmama93/video/7302404891761315074",""
"","https://www.tiktok.com/@hanh_moe/video/7300569567926029575?lang=vi-VN",""
"","https://www.tiktok.com/@chungminhnee/video/7302442179304115463?lang=vi-VN",""
"","https://www.tiktok.com/@tuongvipham720/video/7302758722512735490?lang=vi-VN",""
"","https://vt.tiktok.com/ZSNmnw46x/",""
"","https://www.tiktok.com/@tunpham97/video/7303837108513344776?_r=1&_t=8hXeYFed8Ww",""
"4a06949e-723f-5c88-9dda-dfe2be9e387f","https://www.tiktok.com/@littlequanzz/video/7315032349178219777?lang=vi-VN",""
"3ebafe3e-e1c8-58d0-bff5-34398c08dd04","https://www.instagram.com/reel/C1QxPbvR4a7/?igsh=aTc3eHlyMnJvaGU4",""
"a99ab286-573f-583c-8024-cad70cd87f91","https://www.tiktok.com/@stayhealthyeasy/video/7316148858751388929?lang=vi-VN",""
"475d3999-ddea-53d1-a2fd-d298912d2ee4","https://www.tiktok.com/@bimnguyen58/video/7316146985680112898?lang=vi-VN",""
"","https://vt.tiktok.com/ZSNtdhn24/",""
