date,timestamp,open,high,low,close,volume
2015-08-12,1439337600,16.432,16.432,14.052,14.052,95200
2015-08-13,1439424000,14.589,14.589,13.283,13.438,32500
2015-08-14,1439510400,13.822,13.973,13.822,13.899,9200
2015-08-17,1439769600,13.667,13.822,13.438,13.59,15500
2015-08-18,1439856000,13.59,13.59,13.207,13.207,2500
2015-08-19,1439942400,13.13,13.13,12.286,12.286,23000
2015-08-20,1440028800,13.053,13.053,12.286,12.977,22300
2015-08-21,1440115200,12.439,12.439,12.286,12.286,18800
2015-08-24,1440374400,12.286,12.286,11.9,11.9,5300
2015-08-25,1440460800,11.9,12.208,11.517,12.055,22800
2015-08-26,1440547200,11.9,12.055,11.826,12.055,6700
2015-08-27,1440633600,11.749,12.977,11.749,12.669,3300
2015-08-28,1440720000,12.899,12.899,12.286,12.286,6000
2015-08-31,1440979200,11.826,11.978,11.826,11.978,7200
2015-09-01,1441065600,11.749,12.208,11.67,11.978,7000
2015-09-03,1441238400,11.517,11.826,11.517,11.594,8100
2015-09-04,1441324800,11.826,11.826,11.67,11.67,6000
2015-09-07,1441584000,12.208,12.747,11.978,12.747,15700
2015-09-08,1441670400,12.747,12.747,12.286,12.286,6100
2015-09-09,1441756800,12.363,12.439,12.286,12.439,1700
2015-09-10,1441843200,12.132,12.515,12.132,12.286,4700
2015-09-11,1441929600,12.208,12.592,12.132,12.286,11400
2015-09-14,1442188800,12.208,12.286,12.208,12.286,3500
2015-09-15,1442275200,11.749,12.132,11.749,12.132,2500
2015-09-16,1442361600,12.132,12.286,12.132,12.208,3500
2015-09-17,1442448000,12.286,12.669,12.286,12.669,5000
2015-09-18,1442534400,12.669,12.669,12.286,12.439,8100
2015-09-21,1442793600,12.286,12.286,12.208,12.208,9100
2015-09-22,1442880000,12.592,13.361,12.592,13.283,23400
2015-09-23,1442966400,14.456,14.456,13.283,13.283,2800
2015-09-24,1443052800,14.3,14.534,14.3,14.534,17100
2015-09-25,1443139200,14.534,15.94,14.534,15.94,73600
2015-09-28,1443398400,17.191,17.503,17.191,17.503,16700
2015-09-29,1443484800,19.222,19.222,17.973,18.128,99600
