country,country_former,name,dob,peak_rating,peak_year,world_classical,world_rapid,world_blitz,world_fisher
Norway,,Magnus Carlsen,1990-11-30,2882,2014-05-01,champion,champion,champion,
Russia,,Garry Kasparov,1963-04-13,2851,1999-07-01,champion,,,
United States,Italy,Fabiano Caruana,1992-07-30,2844,2014-10-01,,,,
United States,Armenia,Levon Aronian,1982-10-06,2830,2014-03-01,,champion,champion,
United States,Philippines,Wesley So,1993-10-09,2822,2017-02-28,,,,champion
Azerbaijan,,Shakhriyar Mamedyarov,1985-04-12,2820,2018-09-01,,champion,,
France,,Maxime Vachier-Lagrave,1990-10-21,2819,2016-08-01,,,champion,
India,,Viswanathan Anand,1969-12-11,2817,2011-03-01,champion,,,
Russia,,Vladimir Kramnik,1975-06-25,2817,2016-10-01,champion,,,
Bulgaria,,Veselin Topalov,1975-03-15,2816,2015-07-01,champion,,,
United States,Japan,Hikaru Nakamura,1987-12-09,2816,2015-10-01,,,,champion
China,,Ding Liren,1992-10-24,2816,2018-11-01,champion,,,
Russia,,Alexander Grischuk,1983-10-31,2810,2014-12-01,,,champion,
France,Iran,Alireza Firouzja,2003-06-18,2804,2021-12-01,,,,
