year,winner,winner_birth_year,winner_height,winner_city,first_runner_up,first_runner_up_birth_year,first_runner_up_city,second_runner_up,second_runner_up_birth_year,second_runner_up_city
1988,Bùi Bích Phương,1971,1.58,Hà Nội,Nguyễn Thu Mai,1970,Hà Nội,,,
1990,Nguyễn Diệu Hoa,1969,1.58,Hà Nội,Trần Thu Hằng,1972,Hà Nội,Trần Vân Anh,1970,Hồ Chí Minh
1992,Hà Kiều Anh,1976,1.74,Hồ Chí Minh,Vi Thị Đông,1975,Hà Nội,Nguyễn Minh Phương,1970,Tuyên Quang
1994,Nguyễn Thu Thủy,1976,1.72,Hà Nội,Tô Hương Lan,1977,Tuyên Quang,Trịnh Kim Chi,1975,Hồ Chí Minh
1996,Nguyễn Thiên Nga,1975,1.70,Hồ Chí Minh,Vũ Minh Thúy,1978,Hải Phòng,Đỗ Vân Anh,1978,Hà Nội
1998,Nguyễn Thị Ngọc Khánh,1976,1.72,Hồ Chí Minh,Vũ Thị Thu,1981,Quảng Ninh,Ngô Thúy Hà,1979,Hà Nội
2000,Phan Thu Ngân,1980,1.69,Hồ Chí Minh,Lê Thanh Nga,1981,Thái Nguyên,Nguyễn Thị Ngọc Oanh,1980,Hải Phòng
2002,Phạm Thị Mai Phương,1985,1.69,Hải Phòng,Bùi Thị Hoàng Oanh,1984,Hồ Chí Minh,Nguyễn Thị Mai Hương,1986,Hải Dương
2004,Nguyễn Thị Huyền,1985,1.72,Hải Phòng,Trịnh Chân Trân,1980,Hồ Chí Minh,Nguyễn Thị Ngọc Bích,1985,Bến Tre
2006,Mai Phương Thúy,1988,1.80,Hà Nội,Lưu Bảo Anh,1982,Cần Thơ,Lương Thị Ngọc Lan,1985,Hồ Chí Minh
2008,Trần Thị Thùy Dung,1990,1.78,Đà Nẵng,Phan Hoàng Minh Thư,1988,Lâm Đồng,Nguyễn Thụy Vân,1986,Hà Nội
2010,Đặng Thị Ngọc Hân,1989,1.73,Hà Nội,Vũ Thị Hoàng My,1988,Đồng Nai,Đặng Thùy Trang,1991,Quảng Ngãi
2012,Đặng Thu Thảo,1991,1.73,Bạc Liêu,Dương Tú Anh,1993,Hà Nội,Đỗ Hoàng Anh,1994,Hà Nội
2014,Nguyễn Cao Kỳ Duyên,1996,1.73,Nam Định,Nguyễn Trần Huyền My,1995,Hà Nội,Nguyễn Lâm Diễm Trang,1991,Vĩnh Long
2016,Đỗ Mỹ Linh,1996,1.71,Hà Nội,Ngô Thanh Thanh Tú,1994,Hà Nội,Huỳnh Thị Thùy Dung,1996,Hồ Chí Minh
2018,Trần Tiểu Vy,2000,1.75,Quảng Nam,Bùi Phương Nga,1998,Hà Nội,Nguyễn Thị Thúy An,1997,Kiên Giang
2020,Đỗ Thị Hà,2001,1.77,Thanh Hóa,Phạm Ngọc Phương Anh,1998,Hồ Chí Minh,Nguyễn Lê Ngọc Thảo,2000,Hồ Chí Minh
2022,Huỳnh Thị Thanh Thủy,2003,1.75,Đà Nẵng,Trịnh Thùy Linh,2002,Thanh Hóa,Lê Nguyễn Ngọc Hằng,2003,Hồ Chí Minh
