number,name,party,state,district
1,Frederick Muhlenberg,Federalist,Pennsylvania,at-large
2,Jonathan Trumbull Jr.,Federalist,Connecticut,at-large
3,Frederick Muhlenberg,Democratic-Republican,Pennsylvania,at-large
4,Jonathan Dayton,Federalist,New Jersey,at-large
5,Jonathan Dayton,Federalist,New Jersey,at-large
6,Theodore Sedgwick,Federalist,Massachusetts,1
7,Nathaniel Macon,Democratic-Republican,North Carolina,5
8,Nathaniel Macon,Democratic-Republican,North Carolina,6
9,Nathaniel Macon,Democratic-Republican,North Carolina,6
10,Joseph Bradley Varnum,Democratic-Republican,Massachusetts,4
11,Joseph Bradley Varnum,Democratic-Republican,Massachusetts,4
12,Henry Clay,Democratic-Republican,Kentucky,5
13,Henry Clay,Democratic-Republican,Kentucky,2
13,Langdon Cheves,Democratic-Republican,South Carolina,1
14,Henry Clay,Democratic-Republican,Kentucky,2
15,Henry Clay,Democratic-Republican,Kentucky,2
16,Henry Clay,Democratic-Republican,Kentucky,2
16,John W. Taylor,Democratic-Republican,New York,11
17,Philip P. Barbour,Democratic-Republican,Virginia,11
18,Henry Clay,Democratic-Republican,Kentucky,3
19,John W. Taylor,National Republican,New York,17
20,Andrew Stevenson,Jacksonian,Virginia,9
21,Andrew Stevenson,Jacksonian,Virginia,9
22,Andrew Stevenson,Jacksonian,Virginia,9
23,Andrew Stevenson,Jacksonian,Virginia,11
23,John Bell,Jacksonian,Tennessee,7
24,James K. Polk,Jacksonian,Tennessee,9
25,James K. Polk,Democratic,Tennessee,9
26,Robert M. T. Hunter,Whig,Virginia,9
27,John White,Whig,Kentucky,9
28,John Winston Jones,Democratic,Virginia,6
29,John Wesley Davis,Democratic,Indiana,6
30,Robert Charles Winthrop,Whig,Massachusetts,1
31,Howell Cobb,Democratic,Georgia,6
32,Linn Boyd,Democratic,Kentucky,1
33,Linn Boyd,Democratic,Kentucky,1
34,Nathaniel P. Banks,American,Massachusetts,7
35,James Lawrence Orr,Democratic,South Carolina,5
36,William Pennington,Republican,New Jersey,5
37,Galusha A. Grow,Republican,Pennsylvania,14
38,Schuyler Colfax,Republican,Indiana,9
39,Schuyler Colfax,Republican,Indiana,9
40,Schuyler Colfax,Republican,Indiana,9
40,Theodore M. Pomeroy,Republican,New York,24
41,James G. Blaine,Republican,Maine,3
42,James G. Blaine,Republican,Maine,3
43,James G. Blaine,Republican,Maine,3
44,Michael C. Kerr,Democratic,Indiana,3
44,Samuel J. Randall,Democratic,Pennsylvania,3
45,Samuel J. Randall,Democratic,Pennsylvania,3
46,Samuel J. Randall,Democratic,Pennsylvania,3
47,J. Warren Keifer,Republican,Ohio,8
48,John G. Carlisle,Democratic,Kentucky,6
49,John G. Carlisle,Democratic,Kentucky,6
50,John G. Carlisle,Democratic,Kentucky,6
51,Thomas Brackett Reed,Republican,Maine,1
52,Charles Frederick Crisp,Democratic,Georgia,3
53,Charles Frederick Crisp,Democratic,Georgia,3
54,Thomas Brackett Reed,Republican,Maine,1
55,Thomas Brackett Reed,Republican,Maine,1
56,David B. Henderson,Republican,Iowa,3
57,David B. Henderson,Republican,Iowa,3
58,Joseph Gurney Cannon,Republican,Illinois,18
59,Joseph Gurney Cannon,Republican,Illinois,18
60,Joseph Gurney Cannon,Republican,Illinois,18
61,Joseph Gurney Cannon,Republican,Illinois,18
62,Champ Clark,Democratic,Missouri,9
63,Champ Clark,Democratic,Missouri,9
64,Champ Clark,Democratic,Missouri,9
65,Champ Clark,Democratic,Missouri,9
66,Frederick H. Gillett,Republican,Massachusetts,2
67,Frederick H. Gillett,Republican,Massachusetts,2
68,Frederick H. Gillett,Republican,Massachusetts,2
69,Nicholas Longworth,Republican,Ohio,1
70,Nicholas Longworth,Republican,Ohio,1
71,Nicholas Longworth,Republican,Ohio,1
72,John Nance Garner,Democratic,Texas,15
73,Henry Thomas Rainey,Democratic,Illinois,20
74,Jo Byrns,Democratic,Tennessee,5
74,William B. Bankhead,Democratic,Alabama,7
