name,location
Ajax,Amsterdam
AZ,Alkmaar
Cambuur,Leeuwarden
FC Emmen,Emmen
Excelsior,Rotterdam
Feyenoord,Rotterdam
Fortuna Sittard,Sittard
Go Ahead Eagles,Deventer
FC Groningen,Groningen
SC Heerenveen,Heerenveen
NEC,Nijmegen
PSV,Eindhoven
RKC Waalwijk,Waalwijk
Sparta Rotterdama,Rotterdam
FC Twente,Enschede
FC Utrecht,Utrecht
Vitesse,Arnhem
FC Volendam,Volendam
