state,no,name,party
Minnesota,1,Henry Hastings Sibley,Democratic
Minnesota,2,Alexander Ramsey,Republican
Minnesota,3,Henry Adoniram Swift,Republican
Minnesota,4,Stephen Miller,Republican
Minnesota,5,William Rainey Marshall,Republican
Minnesota,6,Horace Austin,Republican
Minnesota,7,Cushman Kellogg Davis,Republican
Minnesota,8,John S. Pillsbury,Republican
Minnesota,9,Lucius Frederick Hubbard,Republican
Minnesota,10,Andrew Ryan McGill,Republican
Minnesota,11,William Rush Merriam,Republican
Minnesota,12,Knute Nelson,Republican
Minnesota,13,David Marston Clough,Republican
Minnesota,14,John Lind,Democratic
Minnesota,15,Samuel Rinnah Van Sant,Republican
Minnesota,16,John Albert Johnson,Democratic
Minnesota,17,Adolph Olson Eberhart,Republican
Minnesota,18,Winfield Scott Hammond,Democratic
Minnesota,19,Joseph A. A. Burnquist,Republican
Minnesota,20,J. A. O. Preus,Republican
Minnesota,21,Theodore Christianson,Republican
Minnesota,22,Floyd B. Olson,Farmer-Labor
Minnesota,23,Hjalmar Petersen,Farmer-Labor
Minnesota,24,Elmer Austin Benson,Farmer-Labor
Minnesota,25,Harold Stassen,Republican
Minnesota,26,Edward John Thye,Republican
Minnesota,27,Luther Youngdahl,Republican
Minnesota,28,C. Elmer Anderson,Republican
Minnesota,29,Orville Freeman,Democratic
Minnesota,30,Elmer L. Andersen,Republican
Minnesota,31,Karl Rolvaag,Democratic
Minnesota,32,Harold LeVander,Republican
Minnesota,33,Wendell R. Anderson,Democratic
Minnesota,34,Rudy Perpich,Democratic
Minnesota,35,Al Quie,Republican
Minnesota,36,Rudy Perpich,Democratic
Minnesota,37,Arne Carlson,Republican
Minnesota,38,Jesse Ventura,Reform
Minnesota,39,Tim Pawlenty,Republican
Minnesota,40,Mark Dayton,Democratic
Minnesota,41,Tim Walz,Democratic
Hawaii,1,William F. Quinn,Republican
Hawaii,2,John A. Burns,Democratic
Hawaii,3,George Ariyoshi,Democratic
Hawaii,4,John D. Waiheʻe III,Democratic
Hawaii,5,Ben Cayetano,Democratic
Hawaii,6,Linda Lingle,Republican
Hawaii,7,Neil Abercrombie,Democratic
Hawaii,8,David Ige,Democratic
Hawaii,9,Josh Green,Democratic
Alaska,1,William A. Egan,Democratic
Alaska,2,Wally Hickel,Republican
Alaska,3,Keith Harvey Miller,Republican
Alaska,1,William A. Egan,Democratic
Alaska,4,Jay Hammond,Republican
Alaska,5,Bill Sheffield,Democratic
Alaska,6,Steve Cowper,Democratic
Alaska,2,Wally Hickel,Independence
Alaska,7,Tony Knowles,Republican
Alaska,8,Frank Murkowski,Republican
Alaska,9,Sarah Palin,Republican
Alaska,10,Sean Parnell,Republican
Alaska,11,Bill Walker,Independence
Alaska,12,Mike Dunleavy,Republican
California,1,Peter Hardeman Burnett,
California,2,John McDougal,
California,3,John Bigler,
California,4,J. Neely Johnson,
California,5,John B. Weller,
California,6,Milton Latham,
California,7,John G. Downey,
California,8,Leland Stanford,
California,9,Frederick Low,
California,10,Henry Huntly Haight,
California,11,Newton Booth,
California,12,Romualdo Pacheco,
California,13,William Irwin,
California,14,George C. Perkins,
California,15,George Stoneman,
California,16,Washington Bartlett,
California,17,Robert Waterman,
California,18,Henry Markham,
California,19,James Budd,
California,20,Henry T. Gage,
California,21,George Pardee,
California,22,James Gillett,
California,23,Hiram Johnson,
California,24,William Stephens,
California,25,Friend Richardson,
California,26,C. C. Young,
California,27,James Rolph,
California,28,Frank Merriam,
California,29,Culbert Olson,
California,30,Earl Warren,
California,31,Goodwin Knight,
California,32,Pat Brown,
California,33,Ronald Reagan,
California,34,Jerry Brown,
California,35,George Deukmejian,
California,36,Pete Wilson,
California,37,Gray Davis,
California,38,Arnold Schwarzenegger,
California,39,Jerry Brown,
California,40,Gavin Newsom,
Michigan,1,Stevens T. Mason,
Michigan,2,William Woodbridge,
Michigan,3,James Wright Gordon,
Michigan,4,John S. Barry,
Michigan,5,Alpheus Felch,
Michigan,6,William L. Greenly,
Michigan,7,Epaphroditus Ransom,
Michigan,8,John S. Barry,
Michigan,9,Robert McClelland,
Michigan,10,Andrew Parsons,
Michigan,11,Kinsley S. Bingham,
Michigan,12,Moses Wisner,
Michigan,13,Austin Blair,
Michigan,14,Henry H. Crapo,
Michigan,15,Henry P. Baldwin,
Michigan,16,John J. Bagley,
Michigan,17,Charles Croswell,
Michigan,18,David Jerome,
Michigan,19,Josiah Begole,
Michigan,20,Russell A. Alger,
Michigan,21,Cyrus G. Luce,
Michigan,22,Edwin B. Winans,
Michigan,23,John Treadway Rich,
Michigan,24,Hazen S. Pingree,
Michigan,25,Aaron T. Bliss,
Michigan,26,Fred M. Warner,
Michigan,27,Chase Osborn,
Michigan,28,Woodbridge N. Ferris,
Michigan,29,Albert Sleeper,
Michigan,30,Alex J. Groesbeck,
Michigan,31,Fred W. Green,
Michigan,32,Wilber M. Brucker,
Michigan,33,William Comstock,
Michigan,34,Frank Fitzgerald,
Michigan,35,Frank Murphy,
Michigan,36,Frank Fitzgerald,
Michigan,37,Luren Dickinson,
Michigan,38,Murray Van Wagoner,
Michigan,39,Harry Kelly,
Michigan,40,Kim Sigler,
Michigan,41,G. Mennen Williams,
Michigan,42,John Swainson,
Michigan,43,George W. Romney,
Michigan,44,William Milliken,
Michigan,45,James Blanchard,
Michigan,46,John Engler,
Michigan,47,Jennifer Granholm,
Michigan,48,Rick Snyder,
Michigan,49,Gretchen Whitmer,
Arizona,1,George W. P. Hunt,
Arizona,2,Thomas Edward Campbell,
Arizona,1,George W. P. Hunt,
Arizona,3,John Calhoun Phillips,
Arizona,1,George W. P. Hunt,
Arizona,4,Benjamin Baker Moeur,
Arizona,5,Rawghlie Clement Stanford,
Arizona,6,Robert Taylor Jones,
Arizona,7,Sidney Preston Osborn,
Arizona,8,Dan Edward Garvey,
Arizona,9,John Howard Pyle,
Arizona,10,Ernest McFarland,
Arizona,11,Paul Fannin,
Arizona,12,Samuel Pearson Goddard Jr.,
Arizona,13,Jack Williams,
Arizona,14,Raúl Héctor Castro,
Arizona,15,Wesley Bolin,
Arizona,16,Bruce Babbitt,
Arizona,17,Evan Mecham,
Arizona,18,Rose Mofford,
Arizona,19,Fife Symington,
Arizona,20,Jane Dee Hull,
Arizona,21,Janet Napolitano,
Arizona,22,Jan Brewer,
