name,level,capital,macroregion
Abruzzo,Ordinary,L'Aquila,South
Aosta Valley,Autonomous,Aosta,North-West
Apulia,Ordinary,Bari,South
Basilicata,Ordinary,Potenza,South
Calabria,Ordinary,Catanzaro,South
Campania,Ordinary,Naples,South
Emilia-Romagna,Ordinary,Bologna,North-East
Friuli-Venezia Giulia,Autonomous,Trieste,North-East
Lazio,Ordinary,Rome,Centre
Liguria,Ordinary,Genoa,North-West
Lombardy,Ordinary,Milan,North-West
Marche,Ordinary,Ancona,Centre
Molise,Ordinary,Campobasso,South
Piedmont,Ordinary,Turin,North-West
Sardinia,Autonomous,Cagliari,Islands
Sicily,Autonomous,Palermo,Islands
Trentino-South Tyrol,Autonomous,Trento,North-East
Tuscany,Ordinary,Florence,Centre
Umbria,Ordinary,Perugia,Centre
Veneto,Ordinary,Venice,North-East
