Atalanta,Bergamo
Bologna,Bologna
Cremonese,Cremona
Empoli,Empoli
Fiorentina,Florence
Sampdoria,Genoa
Spezia,La Spezia
Lecce,Lecce
name,location
AC Milan,Milan
Inter Milan,Milan
Monza,Monza
Napoli,Naples
Lazio,Rome
Roma,Rome
Salernitana,Salerno
Sassuolo,Sassuolo
Juventus,Turin
Torino,Turin
Udinese,Udine
Hellas Verona,Verona
