symbol,first,last,change,change_percentage
NCS,6.58,29.65,3.51,351
DAT,9.44,33.3,2.53,253
TNT,7.98,25.0,2.13,213
DRH,4.62,12.97,1.81,181
DST,6.43,16.21,1.52,152
S27,0.7,1.7,1.43,143
SDX,5.3,12.8,1.42,142
GER,1.18,2.84,1.41,141
SWC,2.64,5.89,1.23,123
OCH,5.6,12.5,1.23,123
DHM,2.43,5.42,1.23,123
VTJ,3.16,6.84,1.16,116
VHH,1.3,2.8,1.15,115
VNP,2.6,5.5,1.12,112
SCO,1.3,2.6,1.0,100
VEF,10.1,19.3,0.91,91
SVC,7.12,13.16,0.85,85
DTT,4.97,9.2,0.85,85
PSL,5.7,10.47,0.84,84
VLC,6.53,11.8,0.81,81
VCS,8.09,14.37,0.78,78
SIC,1.5,2.64,0.76,76
OGC,2.5,4.4,0.76,76
SBT,8.67,15.16,0.75,75
VSG,1.1,1.9,0.73,73
VFC,7.0,12.1,0.73,73
TVC,6.35,10.81,0.7,70
PSC,5.6,9.47,0.69,69
PXA,1.9,3.2,0.68,68
TTF,17.5,29.0,0.66,66
DC2,1.86,3.06,0.65,65
ASM,5.12,8.44,0.65,65
HAX,2.25,3.67,0.63,63
TMS,19.58,31.73,0.62,62
SGT,2.34,3.79,0.62,62
THG,5.94,9.51,0.6,60
BHP,5.93,9.39,0.58,58
SJC,4.0,6.3,0.57,57
QHD,14.07,21.77,0.55,55
BSC,8.76,13.58,0.55,55
VE1,5.2,8.0,0.54,54
CTD,63.78,98.07,0.54,54
TBD,6.97,10.69,0.53,53
TPP,4.72,7.12,0.51,51
HPP,16.34,24.75,0.51,51
DGC,6.79,10.09,0.49,49
SHN,7.98,11.79,0.48,48
H11,4.79,7.03,0.47,47
DPC,12.06,17.76,0.47,47
QPH,4.47,6.51,0.46,46
SLS,15.49,22.5,0.45,45
LBM,5.46,7.91,0.45,45
TL4,3.77,5.42,0.44,44
PTB,10.68,15.38,0.44,44
DL1,4.11,5.93,0.44,44
VNG,9.54,13.63,0.43,43
DC4,3.85,5.5,0.43,43
LO5,3.3,4.66,0.41,41
KST,0.93,1.31,0.41,41
COM,25.22,35.52,0.41,41
DXL,1.4,1.96,0.4,40
SRC,12.5,17.36,0.39,39
CT3,5.94,8.27,0.39,39
VFR,12.1,16.7,0.38,38
TPS,6.0,8.3,0.38,38
TNM,2.13,2.93,0.38,38
PXT,3.4,4.7,0.38,38
BII,6.8,9.4,0.38,38
SEB,10.13,13.84,0.37,37
PVI,11.57,15.86,0.37,37
PSE,5.41,7.39,0.37,37
VTX,8.04,10.97,0.36,36
TLT,6.93,9.45,0.36,36
SVN,3.3,4.5,0.36,36
SSM,8.08,10.95,0.36,36
HTL,42.98,58.61,0.36,36
VFG,12.37,16.68,0.35,35
TJC,6.08,8.22,0.35,35
AGX,14.32,19.3,0.35,35
NTW,13.32,17.9,0.34,34
AMC,10.47,14.05,0.34,34
VLF,1.2,1.6,0.33,33
VIT,4.48,5.96,0.33,33
PVA,1.2,1.6,0.33,33
DSN,25.43,33.76,0.33,33
BED,12.61,16.73,0.33,33
PPE,12.0,15.8,0.32,32
CTT,3.09,4.08,0.32,32
