club,location
Aberdeen,Aberdeen
Celtic,Glasgow
Dundee United,Dundee
Heart of Midlothian,Edinburgh
Hibernian,Edinburgh
Kilmarnock,Kilmarnock
Livingston,Livingston
Motherwell,Motherwell
Rangers,Glasgow
Ross County,Dingwall
St Johnstone,Perth
St Mirren,Paisley
