name,location,stadium
Austria Klagenfurt,Klagenfurt,Wörthersee Stadion
Austria Lustenau,Lustenau,Reichshofstadion
Austria Wien,Vienna,Generali Arena
LASK,Linz,Raiffeisen Arena
Rapid Wien,Vienna,Allianz Stadion
Red Bull Salzburg,Wals-Siezenheim,Red Bull Arena
Rheindorf Altach,Altach,Stadion Schnabelholz
Sturm Graz,Graz,Merkur-Arena
SV Ried,Ried im Innkreis,Keine Sorgen Arena
TSV Hartberg,Hartberg,Profertil Arena Hartberg
Wolfsberger AC,Wolfsberg,Lavanttal-Arena
WSG Tirol,Innsbruck,Tivoli Stadion Tirol
