year,host_city,host_country,champion,runner_up
2006,Rishon Lezion,Israel,Alexander Grischuk,Peter Svidler
2007,Moscow,Russia,Vasyl Ivanchuk,Viswanathan Anand
2008,Almaty,Kazakhstan,Leinier Domínguez,Vasyl Ivanchuk
2009,Moscow,Russia,Magnus Carlsen,Viswanathan Anand
2010,Moscow,Russia,Levon Aronian,Teimour Radjabov
2012,Astana,Kazakhstan,Alexander Grischuk,Magnus Carlsen
2013,Khanty-Mansiysk,Russia,Lê Quang Liêm,Alexander Grischuk
2014,Dubai,United Arab Emirates,Magnus Carlsen,Ian Nepomniachtchi
2015,Berlin,Germany,Alexander Grischuk,Maxime Vachier-Lagrave
2016,Doha,Qatar,Sergey Karjakin,Magnus Carlsen
2017,Riyadh,Saudi Arabia,Magnus Carlsen,Sergey Karjakin
2018,Saint Petersburg,Russia,Magnus Carlsen,Jan-Krzysztof Duda
2019,Moscow,Russia,Magnus Carlsen,Hikaru Nakamura
2021,Warsaw,Poland,Maxime Vachier-Lagrave,Jan-Krzysztof Duda
2022,Almaty,Kazakhstan,Magnus Carlsen,Hikaru Nakamura
