date,timestamp,open,high,low,close,volume,price_three_days_ago,price_three_days_ago_difference,price_three_days_ago_return,price_two_days_ago,price_yesterday,price_tomorrow,price_tomorrow_difference,price_tomorrow_return,direction,MA5,MA10,MA20,MA50,MA100,MA200
2016-12-06,1480982400,122.06,122.06,122.06,122.06,3010,,,,,,130.567,8.51,0.07,1,,,,,,
2016-12-07,1481068800,130.567,130.567,130.567,130.567,30,,,,,122.06,139.629,9.06,0.07,1,,,,,,
2016-12-08,1481155200,139.629,139.629,139.629,139.629,1000,,,,122.06,130.567,149.338,9.71,0.07,1,,,,,,
2016-12-09,1481241600,139.629,149.338,139.629,149.338,3010,122.06,27.28,0.22,130.567,139.629,159.788,10.45,0.07,1,,,,,,
2016-12-12,1481500800,159.788,159.788,159.788,159.788,35690,130.567,29.22,0.22,139.629,149.338,170.884,11.1,0.07,1,140.28,,,,,
2016-12-13,1481587200,170.884,170.884,170.884,170.884,96830,139.629,31.25,0.22,149.338,159.788,182.815,11.93,0.07,1,150.04,,,,,
2016-12-14,1481673600,182.815,182.815,182.815,182.815,154380,149.338,33.48,0.22,159.788,170.884,195.573,12.76,0.07,1,160.49,,,,,
2016-12-15,1481760000,195.573,195.573,194.186,195.573,380050,159.788,35.78,0.22,170.884,182.815,208.057,12.48,0.06,1,171.68,,,,,
2016-12-16,1481846400,209.26,209.26,184.94,208.057,387520,170.884,37.17,0.22,182.815,195.573,196.036,-12.02,-0.06,-1,183.42,,,,,
2016-12-19,1482105600,196.036,208.057,196.036,196.036,168190,182.815,13.22,0.07,195.573,208.057,182.351,-13.69,-0.07,-1,190.67,165.47,,,,
2016-12-20,1482192000,195.111,195.573,182.351,182.351,399710,195.573,-13.22,-0.07,208.057,196.036,185.681,3.33,0.02,1,192.97,171.5,,,,
2016-12-21,1482278400,182.351,188.177,171.069,185.681,241750,208.057,-22.38,-0.11,196.036,182.351,187.714,2.03,0.01,1,193.54,177.02,,,,
2016-12-22,1482364800,194.094,194.094,187.714,187.714,52460,196.036,-8.32,-0.04,182.351,185.681,184.94,-2.77,-0.01,-1,191.97,181.82,,,,
2016-12-23,1482451200,187.714,187.714,182.259,184.94,54810,182.351,2.59,0.01,185.681,187.714,184.94,0.0,0.0,-1,187.34,185.38,,,,
2016-12-26,1482710400,185.879,185.879,178.368,184.94,169870,185.681,-0.74,-0.0,187.714,184.94,185.879,0.94,0.01,1,185.13,187.9,,,,
2016-12-27,1482796800,184.94,187.568,181.28,185.879,69880,187.714,-1.84,-0.01,184.94,184.94,186.724,0.84,0.0,1,185.83,189.4,,,,
2016-12-28,1482883200,187.568,187.568,185.034,186.724,28530,184.94,1.78,0.01,184.94,185.879,184.94,-1.78,-0.01,-1,186.04,189.79,,,,
2016-12-29,1482969600,185.879,185.879,181.184,184.94,98560,184.94,0.0,0.0,185.879,186.724,185.596,0.66,0.0,1,185.48,188.73,,,,
2016-12-30,1483056000,185.879,185.879,183.53,185.596,96740,185.879,-0.28,-0.0,186.724,184.94,184.94,-0.66,-0.0,-1,185.62,186.48,,,,
2017-01-03,1483401600,185.596,185.596,183.906,184.94,63170,186.724,-1.78,-0.01,184.94,185.596,184.94,0.0,0.0,-1,185.62,185.37,175.42,,,
2017-01-04,1483488000,184.94,186.441,183.061,184.94,87490,184.94,0.0,0.0,185.596,184.94,185.034,0.09,0.0,1,185.43,185.63,178.57,,,
2017-01-05,1483574400,184.94,185.879,184.0,185.034,27170,185.596,-0.56,-0.0,184.94,184.94,193.387,8.35,0.05,1,185.09,185.56,181.29,,,
2017-01-06,1483660800,185.785,197.049,185.128,193.387,212390,184.94,8.45,0.05,184.94,185.034,192.45,-0.94,-0.0,-1,186.78,186.13,183.98,,,
2017-01-09,1483920000,193.387,195.267,192.45,192.45,31390,184.94,7.51,0.04,185.034,193.387,191.981,-0.47,-0.0,-1,188.15,186.88,186.13,,,
