year,name,position,country,status
1984,Michel Platini,Midfielder,France,unofficial
1988,Marco van Basten,Forward,Netherlands,unofficial
1992,Peter Schmeichel,Goalkeeper,Denmark,unofficial
1996,Matthias Sammer,Midfielder,Germany,official
2000,Zinedine Zidane,Midfielder,France,official
2004,Theodoros Zagorakis,Midfielder,Greece,official
2008,Xavi,Midfielder,Spain,official
2012,Andrés Iniesta,Midfielder,Spain,official
2016,Antoine Griezmann,Forward,France,official
2020,Gianluigi Donnarumma,Goalkeeper,Italy,official
