symbol,first,last,change,change_percentage
EME,25.48,44.35,0.74,74
NAW,10.5,15.8,0.5,50
SNC,6.21,9.27,0.49,49
VGL,14.21,19.33,0.36,36
VGI,21.0,28.2,0.34,34
MEC,2.6,3.4,0.31,31
INC,3.5,4.51,0.29,29
ATG,1.7,2.2,0.29,29
MAS,41.2,52.56,0.28,28
CC1,5.74,7.35,0.28,28
HVG,5.26,6.67,0.27,27
DC1,5.41,6.89,0.27,27
AGF,5.18,6.6,0.27,27
TTG,6.75,8.49,0.26,26
SBS,1.9,2.4,0.26,26
HPP,23.17,29.15,0.26,26
PXA,1.2,1.5,0.25,25
VNC,34.67,42.9,0.24,24
PXT,2.1,2.6,0.24,24
HAS,6.1,7.5,0.23,23
TNT,1.99,2.43,0.22,22
RCL,13.16,15.93,0.21,21
MLS,6.52,7.86,0.21,21
XPH,4.4,5.3,0.2,20
SDG,15.56,18.68,0.2,20
G36,4.03,4.82,0.2,20
ACL,5.83,7.01,0.2,20
AAM,7.46,8.92,0.2,20
POM,10.23,12.21,0.19,19
NST,9.12,10.86,0.19,19
MDG,8.37,9.92,0.19,19
EVS,10.2,12.15,0.19,19
SVI,39.08,45.97,0.18,18
DGT,19.5,23.0,0.18,18
AAV,8.15,9.6,0.18,18
TV2,20.6,24.15,0.17,17
GDW,13.19,15.45,0.17,17
TTP,14.14,16.39,0.16,16
NQN,7.78,9.0,0.16,16
NAF,8.46,9.84,0.16,16
IVS,11.5,13.3,0.16,16
DHB,3.1,3.6,0.16,16
VIH,7.92,9.1,0.15,15
SFG,10.28,11.82,0.15,15
PTT,4.69,5.38,0.15,15
NS2,19.1,21.87,0.15,15
FTS,7.86,9.01,0.15,15
EMS,15.68,18.11,0.15,15
CAN,20.09,23.14,0.15,15
BTS,4.26,4.91,0.15,15
APC,30.5,35.1,0.15,15
SRB,2.1,2.4,0.14,14
SJG,6.34,7.22,0.14,14
POS,7.6,8.65,0.14,14
PLA,4.4,5.0,0.14,14
EVF,5.91,6.76,0.14,14
BTN,4.07,4.65,0.14,14
V21,18.9,21.3,0.13,13
TOT,3.88,4.37,0.13,13
RDP,9.3,10.47,0.13,13
TTF,5.0,5.6,0.12,12
