season_start,season_end,position,name,country,club
1992,1993,GK,Peter Schmeichel,Denmark,Manchester United
1992,1993,RB,David Bardsley,England,Queens Park Rangers
1992,1993,CB,Paul McGrath,Ireland,Aston Villa
1992,1993,CB,Gary Pallister,England,Manchester United
1992,1993,LB,Tony Dorigo,England,Leeds United
1992,1993,MF,Roy Keane,Ireland,Nottingham Forest
1992,1993,MF,Gary Speed,Wales,Leeds United
1992,1993,MF,Paul Ince,England,Manchester United
1992,1993,MF,Ryan Giggs,England,Manchester United
1992,1993,FW,Alan Shearer,England,Blackburn Rovers
1992,1993,FW,Ian Wright,England,Arsenal
1993,1994,GK,Tim Flowers,England,Blackburn Rovers
1993,1994,RB,Gary Kelly,Ireland,Leeds United
1993,1994,CB,Gary Pallister,England,Manchester United
1993,1994,CB,Tony Adams,England,Arsenal
1993,1994,LB,Denis Irwin,Ireland,Manchester United
1993,1994,MF,Paul Ince,England,Manchester United
1993,1994,MF,Gary McAllister,Scotland,Leeds United
1993,1994,MF,David Batty,England,Blackburn Rovers
1993,1994,FW,Alan Shearer,England,Blackburn Rovers
1993,1994,FW,Eric Cantona,France,Manchester United
1993,1994,FW,Peter Beardsley,England,Newcastle United
1994,1995,GK,Tim Flowers,England,Blackburn Rovers
1994,1995,RB,Rob Jones,England,Liverpool
1994,1995,CB,Gary Pallister,England,Manchester United
1994,1995,CB,Colin Hendry,Scotland,Blackburn Rovers
1994,1995,LB,Graeme Le Saux,England,Blackburn Rovers
1994,1995,MF,Tim Sherwood,England,Blackburn Rovers
1994,1995,MF,Matt Le Tissier,England,Southampton
1994,1995,MF,Paul Ince,England,Manchester United
1994,1995,FW,Jürgen Klinsmann,Germany,Tottenham Hotspur
1994,1995,FW,Chris Sutton,England,Blackburn Rovers
1994,1995,FW,Alan Shearer,England,Blackburn Rovers
1995,1996,GK,David James,England,Liverpool
1995,1996,RB,Gary Neville,England,Manchester United
1995,1996,CB,Tony Adams,England,Arsenal
1995,1996,CB,Ugo Ehiogu,England,Aston Villa
1995,1996,LB,Alan Wright,England,Aston Villa
1995,1996,MF,Steve Stone,England,Nottingham Forest
1995,1996,MF,Rob Lee,England,Newcastle United
1995,1996,MF,Ruud Gullit,Netherlands,Chelsea
1995,1996,MF,David Ginola,France,Newcastle United
1995,1996,FW,Les Ferdinand,England,Newcastle United
1995,1996,FW,Alan Shearer,England,Blackburn Rovers
1996,1997,GK,David Seaman,England,Arsenal
1996,1997,RB,Gary Neville,England,Manchester United
1996,1997,CB,Tony Adams,England,Arsenal
1996,1997,CB,Mark Wright,England,Liverpool
1996,1997,LB,Stig Inge Bjørnebye,Norway,Liverpool
1996,1997,MF,David Beckham,England,Manchester United
1996,1997,MF,Roy Keane,Ireland,Manchester United
1996,1997,MF,David Batty,England,Newcastle United
1996,1997,MF,Steve McManaman,England,Liverpool
1996,1997,FW,Alan Shearer,England,Newcastle United
1996,1997,FW,Ian Wright,England,Arsenal
1997,1998,GK,Nigel Martyn,England,Leeds United
1997,1998,RB,Gary Neville,England,Manchester United
1997,1998,CB,Gary Pallister,England,Manchester United
1997,1998,CB,Colin Hendry,Scotland,Blackburn Rovers
1997,1998,LB,Graeme Le Saux,England,Chelsea
1997,1998,MF,David Beckham,England,Manchester United
1997,1998,MF,Nicky Butt,England,Manchester United
1997,1998,MF,David Batty,England,Newcastle United
1997,1998,MF,Ryan Giggs,England,Manchester United
1997,1998,FW,Michael Owen,England,Liverpool
1997,1998,FW,Dennis Bergkamp,Netherlands,Arsenal
1998,1999,GK,Nigel Martyn,England,Leeds United
1998,1999,RB,Gary Neville,England,Manchester United
1998,1999,CB,Sol Campbell,England,Tottenham Hotspur
1998,1999,CB,Jaap Stam,Netherlands,Manchester United
1998,1999,LB,Denis Irwin,Ireland,Manchester United
1998,1999,MF,David Beckham,England,Manchester United
1998,1999,MF,Emmanuel Petit,France,Arsenal
1998,1999,MF,Patrick Vieira,France,Arsenal
1998,1999,MF,David Ginola,France,Tottenham Hotspur
1998,1999,FW,Dwight Yorke,Trinidad and Tobago,Manchester United
1998,1999,FW,Nicolas Anelka,France,Arsenal
1999,2000,GK,Nigel Martyn,England,Leeds United
1999,2000,RB,Gary Kelly,Ireland,Leeds United
1999,2000,CB,Jaap Stam,Netherlands,Manchester United
1999,2000,CB,Sami Hyypiä,Finland,Liverpool
1999,2000,LB,Ian Harte,Ireland,Leeds United
1999,2000,MF,David Beckham,England,Manchester United
1999,2000,MF,Roy Keane,Ireland,Manchester United
1999,2000,MF,Patrick Vieira,France,Arsenal
1999,2000,MF,Harry Kewell,Australia,Leeds United
1999,2000,FW,Andy Cole,England,Manchester United
1999,2000,FW,Kevin Phillips,England,Sunderland
2000,2001,GK,Fabien Barthez,France,Manchester United
2000,2001,RB,Stephen Carr,Ireland,Tottenham Hotspur
2000,2001,CB,Jaap Stam,Netherlands,Manchester United
2000,2001,CB,Wes Brown,England,Manchester United
2000,2001,LB,Sylvinho,Brazil,Arsenal
2000,2001,MF,Steven Gerrard,England,Liverpool
2000,2001,MF,Roy Keane,Ireland,Manchester United
2000,2001,MF,Patrick Vieira,France,Arsenal
2000,2001,MF,Ryan Giggs,England,Manchester United
2000,2001,FW,Teddy Sheringham,England,Manchester United
2000,2001,FW,Thierry Henry,France,Arsenal
2001,2002,GK,Shay Given,Ireland,Newcastle United
2001,2002,RB,Steve Finnan,Ireland,Fulham
2001,2002,CB,Rio Ferdinand,England,Leeds United
2001,2002,CB,Sami Hyypiä,Finland,Liverpool
2001,2002,LB,Wayne Bridge,England,Southampton
2001,2002,MF,Robert Pires,France,Arsenal
2001,2002,MF,Roy Keane,Ireland,Manchester United
2001,2002,MF,Patrick Vieira,France,Arsenal
2001,2002,MF,Ryan Giggs,England,Manchester United
2001,2002,FW,Ruud van Nistelrooy,Netherlands,Manchester United
2001,2002,FW,Thierry Henry,France,Arsenal
2002,2003,GK,Brad Friedel,United States,Blackburn Rovers
2002,2003,RB,Stephen Carr,Ireland,Tottenham Hotspur
2002,2003,CB,Sol Campbell,England,Arsenal
2002,2003,CB,William Gallas,France,Chelsea
2002,2003,LB,Ashley Cole,England,Arsenal
2002,2003,MF,Robert Pires,France,Arsenal
2002,2003,MF,Patrick Vieira,France,Arsenal
2002,2003,MF,Paul Scholes,England,Manchester United
2002,2003,MF,Kieron Dyer,England,Newcastle United
2002,2003,FW,Thierry Henry,France,Arsenal
2002,2003,FW,Alan Shearer,England,Newcastle United
2003,2004,GK,Tim Howard,United States,Manchester United
2003,2004,RB,Lauren,Cameroon,Arsenal
2003,2004,CB,Sol Campbell,England,Arsenal
2003,2004,CB,John Terry,England,Chelsea
2003,2004,LB,Ashley Cole,England,Arsenal
2003,2004,MF,Steven Gerrard,England,Liverpool
2003,2004,MF,Frank Lampard,England,Chelsea
2003,2004,MF,Patrick Vieira,France,Arsenal
2003,2004,MF,Robert Pires,France,Arsenal
2003,2004,FW,Thierry Henry,France,Arsenal
2003,2004,FW,Ruud van Nistelrooy,Netherlands,Manchester United
2004,2005,GK,Petr Čech,Czech Republic,Chelsea
2004,2005,RB,Gary Neville,England,Manchester United
2004,2005,CB,John Terry,England,Chelsea
2004,2005,CB,Rio Ferdinand,England,Manchester United
2004,2005,LB,Ashley Cole,England,Arsenal
2004,2005,MF,Shaun Wright-Phillips,England,Manchester City
2004,2005,MF,Steven Gerrard,England,Liverpool
2004,2005,MF,Frank Lampard,England,Chelsea
2004,2005,MF,Arjen Robben,Netherlands,Chelsea
2004,2005,FW,Andrew Johnson,England,Crystal Palace
2004,2005,FW,Thierry Henry,France,Arsenal
2005,2006,GK,Shay Given,Ireland,Newcastle United
2005,2006,RB,Pascal Chimbonda,France,Wigan Athletic
2005,2006,CB,John Terry,England,Chelsea
2005,2006,CB,Jamie Carragher,England,Liverpool
2005,2006,LB,William Gallas,France,Chelsea
2005,2006,MF,Cristiano Ronaldo,Portugal,Manchester United
2005,2006,MF,Steven Gerrard,England,Liverpool
2005,2006,MF,Frank Lampard,England,Chelsea
2005,2006,MF,Joe Cole,England,Chelsea
2005,2006,FW,Thierry Henry,France,Arsenal
2005,2006,FW,Wayne Rooney,England,Manchester United
2006,2007,GK,Edwin van der Sar,Netherlands,Manchester United
2006,2007,RB,Gary Neville,England,Manchester United
