name,regional_bank,president
Charles Hamlin,Boston,Woodrow Wilson
Paul Warburg,New York,Woodrow Wilson
Frederic Delano,Chicago,Woodrow Wilson
William Harding,Atlanta,Woodrow Wilson
Adolph Miller,San Francisco / Richmond,Woodrow Wilson
Albert Strauss,New York,Woodrow Wilson
Henry Moehlenpah,Chicago,Woodrow Wilson
Edmund Platt,New York,Woodrow Wilson
David Wills,Cleveland,Woodrow Wilson
John Mitchell,Minneapolis,Warren G. Harding
Milo Campbell,Chicago,Warren G. Harding
Daniel Crissinger,Cleveland,Warren G. Harding
Edward Cunningham,Chicago,Warren G. Harding
George James,St. Louis,Warren G. Harding
Roy Young,Minneapolis,Calvin Coolidge
Eugene Meyer,New York,Herbert Hoover
Wayland Magee,Kansas City,Herbert Hoover
Eugene Black,Atlanta,Franklin D. Roosevelt
Menc Szymczak,Chicago,Franklin D. Roosevelt
John Thomas,Kansas City,Franklin D. Roosevelt
Marriner Eccles,San Francisco,Franklin D. Roosevelt
Joseph Broderick,New York,Franklin D. Roosevelt
John McKee,Cleveland,Franklin D. Roosevelt
Ronald Ransom,Atlanta,Franklin D. Roosevelt
Ralph Morrison,Dallas,Franklin D. Roosevelt
Chester Davis,Richmond,Franklin D. Roosevelt
Ernest Draper,New York,Franklin D. Roosevelt
Rudolph Evans,Richmond,Franklin D. Roosevelt
Jake Vardaman,St. Louis,Harry S. Truman
Larry Clayton,Boston,Harry S. Truman
Thomas McCabe,Philadelphia,Harry S. Truman
Edward Norton,Atlanta,Harry S. Truman
Oliver S. Powell,Minneapolis,Harry S. Truman
Bill Martin,New York,Harry S. Truman
Abbot Mills,San Francisco,Harry S. Truman
James Robertson,Kansas City,Harry S. Truman
Canby Balderston,Philadelphia,Dwight D. Eisenhower
Paul Miller,Minneapolis,Dwight D. Eisenhower
Charles Shepardson,Dallas,Dwight D. Eisenhower
George King,Atlanta,Dwight D. Eisenhower
George Mitchell,Chicago,John F. Kennedy
Dewey Daane,Richmond,John F. Kennedy
Sherman Maisel,San Francisco,Lyndon B. Johnson
Andrew Brimmer,Philadelphia,Lyndon B. Johnson
William Sherrill,Dallas,Lyndon B. Johnson
Arthur Burns,New York,Richard Nixon
John Sheehan,St. Louis,Richard Nixon
Jeffrey Bucher,San Francisco,Richard Nixon
Robert Holland,Kansas City,Richard Nixon
Henry Wallich,Boston,Richard Nixon
Philip Coldwell,Dallas,Gerald Ford
Philip Jackson,Atlanta,Gerald Ford
Charles Partee,Richmond,Gerald Ford
Stephen Gardner,Philadelphia,Gerald Ford
David Lilly,Minneapolis,Gerald Ford
William Miller,San Francisco,Jimmy Carter
Nancy Teeters,Chicago,Jimmy Carter
Emmett Rice,New York,Jimmy Carter
Frederick Schultz,Atlanta,Jimmy Carter
Paul Volcker,Philadelphia,Jimmy Carter
Lyle Gramley,Kansas City,Jimmy Carter
Preston Martin,San Francisco,Ronald Reagan
Martha Seger,Chicago,Ronald Reagan
Wayne Angell,Kansas City,Ronald Reagan
Manley Johnson,Richmond,Ronald Reagan
Robert Heller,San Francisco,Ronald Reagan
Edward W. Kelley,Dallas,Ronald Reagan
Alan Greenspan,New York,Ronald Reagan
John LaWare,Boston,Ronald Reagan
David Mullins,St. Louis,George H. W. Bush
Larry Lindsey,Richmond,George H. W. Bush
Susan Phillips,Chicago,George H. W. Bush
Alan Blinder,Philadelphia,Bill Clinton
Janet Yellen,San Francisco,Bill Clinton
Laurence Meyer,St. Louis,Bill Clinton
Alice Rivlin,Philadelphia,Bill Clinton
Roger Ferguson,Boston,Bill Clinton
Edward Gramlich,Richmond,Bill Clinton
Susan Bies,Chicago,George W. Bush
Mark W. Olson,Minneapolis,George W. Bush
Ben Bernanke,Atlanta,George W. Bush
Don Kohn,Kansas City,George W. Bush
Ben Bernanke,Atlanta,George W. Bush
Kevin Warsh,New York,George W. Bush
Randall Kroszner,Richmond,George W. Bush
Rick Mishkin,Boston,George W. Bush
Betsy Duke,Philadelphia,George W. Bush
Dan Tarullo,Boston,Barack Obama
Sarah Bloom Raskin,Richmond,Barack Obama
Janet Yellen,San Francisco,Barack Obama
Jay Powell,Philadelphia,Barack Obama
Jeremy Stein,Chicago,Barack Obama
Stan Fischer,New York,Barack Obama
Lael Brainard,Richmond,Barack Obama
Randy Quarles,Kansas City,Donald Trump
Richard Clarida,Boston,Donald Trump
Miki Bowman,St. Louis,Donald Trump
Chris Waller,Minneapolis,Donald Trump
Lisa Cook,Atlanta,Joe Biden
Philip Jefferson,New York,Joe Biden
Michael Barr,Chicago,Joe Biden
