district_court,district_court_state,district_court_city,court_of_appeal,court_of_appeal_state,court_of_appeal_city
District of Maine,Maine,Portland,1st,Massachusetts,Boston
District of Massachusetts,Massachusetts,Boston,1st,Massachusetts,Boston
District of New Hampshire,New Hampshire,Concord,1st,Massachusetts,Boston
District of Puerto Rico,Puerto Rico,San Juan,1st,Massachusetts,Boston
District of Rhode Island,Rhode Island,Providence,1st,Massachusetts,Boston
District of Connecticut,Connecticut,New Haven,2nd,New York City,New York
District of Vermont,Vermont,Burlington,2nd,New York City,New York
Eastern District of New York,New York,Brooklyn,2nd,New York City,New York
Northern District of New York,New York,Albany,2nd,New York City,New York
Southern District of New York,New York,Manhattan,2nd,New York City,New York
Western District of New York,New York,Buffalo,2nd,New York City,New York
District of Delaware,Delaware,Wilmington,3rd,Philadelphia,Pennsylvania
District of New Jersey,New Jersey,Newark,3rd,Philadelphia,Pennsylvania
District of the Virgin Islands,Virgin Islands,Charlotte Amalie,3rd,Philadelphia,Pennsylvania
Eastern District of Pennsylvania,Pennsylvania,Philadelphia,3rd,Philadelphia,Pennsylvania
Middle District of Pennsylvania,Pennsylvania,Harrisburg,3rd,Philadelphia,Pennsylvania
Western District of Pennsylvania,Pennsylvania,Pittsburgh,3rd,Philadelphia,Pennsylvania
District of Maryland,Maryland,Baltimore,4th,Richmond,Virginia
District of South Carolina,South Carolina,Charleston,4th,Richmond,Virginia
Eastern District of Virginia,Virginia,Alexandria,4th,Richmond,Virginia
Eastern District of North Carolina,North Carolina,Raleigh,4th,Richmond,Virginia
Middle District of North Carolina,North Carolina,Greensboro,4th,Richmond,Virginia
Northern District of West Virginia,West Virginia,Martinsburg,4th,Richmond,Virginia
Southern District of West Virginia,West Virginia,Charleston,4th,Richmond,Virginia
Western District of Virginia,Virginia,Roanoke,4th,Richmond,Virginia
Western District of North Carolina,North Carolina,Charlotte,4th,Richmond,Virginia
Eastern District of Louisiana,Louisiana,New Orleans,5th,New Orleans,Louisiana
Eastern District of Texas,Texas,Tyler,5th,New Orleans,Louisiana
Middle District of Louisiana,Louisiana,Baton Rouge,5th,New Orleans,Louisiana
Northern District of Mississippi,Mississippi,Oxford,5th,New Orleans,Louisiana
Northern District of Texas,Texas,Dallas,5th,New Orleans,Louisiana
Southern District of Mississippi,Mississippi,Jackson,5th,New Orleans,Louisiana
Southern District of Texas,Texas,Houston,5th,New Orleans,Louisiana
Western District of Louisiana,Louisiana,Shreveport,5th,New Orleans,Louisiana
Western District of Texas,Texas,San Antonio,5th,New Orleans,Louisiana
