state,no,name,gender,party,start,end
New York,1,George Clinton,male,Democratic–Republican,,
New York,2,John Jay,male,Federalist,,
New York,1,George Clinton,male,Democratic–Republican,,
New York,3,Morgan Lewis,male,Democratic–Republican,,
New York,4,Daniel D. Tompkins,male,Democratic–Republican,,
New York,5,John Tayler,male,Democratic–Republican,,
New York,6,DeWitt Clinton,male,Democratic–Republican,,
New York,7,Joseph C. Yates,male,Democratic–Republican,,
New York,6,DeWitt Clinton,male,Democratic–Republican,,
New York,8,Nathaniel Pitcher,male,Democratic–Republican,,
New York,9,Martin Van Buren,male,Democratic,,
New York,10,Enos T. Throop,male,Democratic,,
New York,11,William L. Marcy,male,Democratic,,
New York,12,William H. Seward,male,Whig,,
New York,13,William C. Bouck,male,Democratic,,
New York,14,Silas Wright,male,Democratic,,
New York,15,John Young,male,Whig,,
New York,16,Hamilton Fish,male,Whig,,
New York,17,Washington Hunt,male,Whig,,
New York,18,Horatio Seymour,male,Democratic,,
New York,19,Myron H. Clark,male,Whig,,
New York,20,John A. King,male,Republican,,
New York,21,Edwin D. Morgan,male,Republican,,
New York,18,Horatio Seymour,male,Democratic,,
New York,22,Reuben Fenton,male,Republican,,
New York,23,John T. Hoffman,male,Democratic,,
New York,24,John Adams Dix,male,Republican,,
New York,25,Samuel J. Tilden,male,Democratic,,
New York,26,Lucius Robinson,male,Democratic,,
New York,27,Alonzo B. Cornell,male,Republican,,
New York,28,Grover Cleveland,male,Democratic,,
New York,29,David B. Hill,male,Democratic,,
New York,30,Roswell P. Flower,male,Democratic,,
New York,31,Levi P. Morton,male,Republican,,
New York,32,Frank S. Black,male,Republican,,
New York,33,Theodore Roosevelt,male,Republican,,
New York,34,Benjamin Odell,male,Republican,,
New York,35,Frank W. Higgins,male,Republican,,
New York,36,Charles Evans Hughes,male,Republican,,
New York,37,Horace White,male,Republican,,
New York,38,John Alden Dix,male,Democratic,,
New York,39,William Sulzer,male,Democratic,,
New York,40,Martin H. Glynn,male,Democratic,,
New York,41,Charles Seymour Whitman,male,Republican,,
New York,42,Al Smith,male,Democratic,,
New York,43,Nathan L. Miller,male,Republican,,
New York,42,Al Smith,male,Democratic,,
New York,44,Franklin D. Roosevelt,male,Democratic,,
New York,45,Herbert H. Lehman,male,Democratic,,
New York,46,Charles Poletti,male,Democratic,,
New York,47,Thomas E. Dewey,male,Republican,,
New York,48,W. Averell Harriman,male,Democratic,,
New York,49,Nelson Rockefeller,male,Republican,,
New York,50,Malcolm Wilson,male,Republican,,
New York,51,Hugh Carey,male,Democratic,,
New York,52,Mario Cuomo,male,Democratic,,
New York,53,George Pataki,male,Republican,,
New York,54,Eliot Spitzer,male,Democratic,,
New York,55,David Paterson,male,Democratic,,
New York,56,Andrew Cuomo,male,Democratic,,
New York,57,Kathy Hochul,female,Democratic,,
