,id,fund_id,created,modified,stock,sector_vi,sector_en,bourse_vi,bourse_en,per_nav,data_index_id,shares,market_value,foreign_ownership
0,7360,2,2023-02-28 00:00:00,2023-03-13 04:42:32,VCB,Ngân Hàng,Banks,Ho Chi Minh,HOSE,8.80,6089,0,0.00,0.00
1,7361,2,2023-02-28 00:00:00,2023-03-13 04:42:32,FPT,Phần Mềm & Dịch Vụ Phần Mềm,Software & Services,Ho Chi Minh,HOSE,7.20,6089,0,0.00,0.00
2,7362,2,2023-02-28 00:00:00,2023-03-13 04:42:32,BID,Ngân Hàng,Banks,Ho Chi Minh,HOSE,5.10,6089,0,0.00,0.00
3,7363,2,2023-02-28 00:00:00,2023-03-13 04:42:32,HPG,Vật Liệu,Materials,Ho Chi Minh,HOSE,4.10,6089,0,0.00,0.00
4,7364,2,2023-02-28 00:00:00,2023-03-13 04:42:32,CTG,Ngân Hàng,Banks,Ho Chi Minh,HOSE,4.00,6089,0,0.00,0.00
5,7365,2,2023-02-28 00:00:00,2023-03-13 04:42:32,VPB,Ngân Hàng,Banks,Ho Chi Minh,HOSE,4.00,6089,0,0.00,0.00
6,7366,2,2023-02-28 00:00:00,2023-03-13 04:42:32,MWG,Bán Lẻ,Retailing,Ho Chi Minh,HOSE,3.50,6089,0,0.00,0.00
7,7367,2,2023-02-28 00:00:00,2023-03-13 04:42:32,STB,Ngân Hàng,Banks,Ho Chi Minh,HOSE,3.40,6089,0,0.00,0.00
8,7368,2,2023-02-28 00:00:00,2023-03-13 04:42:32,PVD,Năng Lượng,Energy,Ho Chi Minh,HOSE,3.10,6089,0,0.00,0.00
9,7369,2,2023-02-28 00:00:00,2023-03-13 04:42:32,PVS,Năng Lượng,Energy,Hanoi Equities,HNX,2.60,6089,0,0.00,0.00
10,7154,2,2023-01-31 00:00:00,2023-02-13 03:13:22,VPB,Ngân Hàng,Banks,Ho Chi Minh,HOSE,7.70,5933,0,0.00,0.00
11,7155,2,2023-01-31 00:00:00,2023-02-13 03:13:22,FPT,Phần Mềm & Dịch Vụ Phần Mềm,Software & Services,Ho Chi Minh,HOSE,6.60,5933,0,0.00,0.00
12,7156,2,2023-01-31 00:00:00,2023-02-13 03:13:22,MWG,Bán Lẻ,Retailing,Ho Chi Minh,HOSE,6.10,5933,0,0.00,0.00
13,7157,2,2023-01-31 00:00:00,2023-02-13 03:13:23,VCB,Ngân Hàng,Banks,Ho Chi Minh,HOSE,5.50,5933,0,0.00,0.00
14,7158,2,2023-01-31 00:00:00,2023-02-13 03:13:23,STB,Ngân Hàng,Banks,Ho Chi Minh,HOSE,5.30,5933,0,0.00,0.00
15,7159,2,2023-01-31 00:00:00,2023-02-13 03:13:23,HPG,Vật Liệu,Materials,Ho Chi Minh,HOSE,4.40,5933,0,0.00,0.00
16,7160,2,2023-01-31 00:00:00,2023-02-13 03:13:23,BID,Ngân Hàng,Banks,Ho Chi Minh,HOSE,3.80,5933,0,0.00,0.00
17,7161,2,2023-01-31 00:00:00,2023-02-13 03:13:23,CTG,Ngân Hàng,Banks,Ho Chi Minh,HOSE,3.00,5933,0,0.00,0.00
18,7162,2,2023-01-31 00:00:00,2023-02-13 03:13:23,PNJ,Bán Lẻ,Retailing,Ho Chi Minh,HOSE,2.70,5933,0,0.00,0.00
19,7163,2,2023-01-31 00:00:00,2023-02-13 03:13:23,MBB,Ngân Hàng,Banks,Ho Chi Minh,HOSE,2.60,5933,0,0.00,0.00
20,7008,2,2022-12-31 00:00:00,2023-01-17 02:52:01,VPB,Ngân Hàng,Banks,Ho Chi Minh,HOSE,7.20,5873,0,0.00,0.00
21,7009,2,2022-12-31 00:00:00,2023-01-17 02:52:01,MWG,Bán Lẻ,Retailing,Ho Chi Minh,HOSE,6.90,5873,0,0.00,0.00
22,7010,2,2022-12-31 00:00:00,2023-01-17 02:52:01,FPT,Phần Mềm & Dịch Vụ Phần Mềm,Software & Services,Ho Chi Minh,HOSE,6.60,5873,0,0.00,0.00
23,7011,2,2022-12-31 00:00:00,2023-01-17 02:52:01,STB,Ngân Hàng,Banks,Ho Chi Minh,HOSE,4.20,5873,0,0.00,0.00
24,7012,2,2022-12-31 00:00:00,2023-01-17 02:52:01,VCB,Ngân Hàng,Banks,Ho Chi Minh,HOSE,3.70,5873,0,0.00,0.00
25,7013,2,2022-12-31 00:00:00,2023-01-17 02:52:01,HPG,Vật Liệu,Materials,Ho Chi Minh,HOSE,3.00,5873,0,0.00,0.00
26,7014,2,2022-12-31 00:00:00,2023-01-17 02:52:01,PNJ,Bán Lẻ,Retailing,Ho Chi Minh,HOSE,2.90,5873,0,0.00,0.00
27,7015,2,2022-12-31 00:00:00,2023-01-17 02:52:01,NLG,Bất Động Sản,Real Estate,Ho Chi Minh,HOSE,2.80,5873,0,0.00,0.00
28,7016,2,2022-12-31 00:00:00,2023-01-17 02:52:01,KBC,Bất Động Sản,Real Estate,Ho Chi Minh,HOSE,2.60,5873,0,0.00,0.00
29,7017,2,2022-12-31 00:00:00,2023-01-17 02:52:01,HDG,Hàng Hóa Công Nghiệp,Capital Goods,Ho Chi Minh,HOSE,2.50,5873,0,0.00,0.00
30,6880,2,2022-11-30 00:00:00,2022-12-16 08:03:32,VCB,Ngân Hàng,Banks,Ho Chi Minh,HOSE,5.60,5637,0,0.00,0.00
31,6881,2,2022-11-30 00:00:00,2022-12-16 08:03:32,FPT,Phần Mềm & Dịch Vụ Phần Mềm,Software & Services,Ho Chi Minh,HOSE,5.20,5637,0,0.00,0.00
32,6882,2,2022-11-30 00:00:00,2022-12-16 08:03:32,MWG,Bán Lẻ,Retailing,Ho Chi Minh,HOSE,4.70,5637,0,0.00,0.00
33,6883,2,2022-11-30 00:00:00,2022-12-16 08:03:32,BID,Ngân Hàng,Banks,Ho Chi Minh,HOSE,4.40,5637,0,0.00,0.00
34,6884,2,2022-11-30 00:00:00,2022-12-16 08:03:32,GAS,Tiện Ích Công Cộng,Utilities,Ho Chi Minh,HOSE,3.80,5637,0,0.00,0.00
35,6885,2,2022-11-30 00:00:00,2022-12-16 08:03:32,CTG,Ngân Hàng,Banks,Ho Chi Minh,HOSE,3.50,5637,0,0.00,0.00
36,6886,2,2022-11-30 00:00:00,2022-12-16 08:03:32,STB,Ngân Hàng,Banks,Ho Chi Minh,HOSE,3.20,5637,0,0.00,0.00
37,6887,2,2022-11-30 00:00:00,2022-12-16 08:03:32,VHM,Bất Động Sản,Real Estate,Ho Chi Minh,HOSE,2.90,5637,0,0.00,0.00
38,6888,2,2022-11-30 00:00:00,2022-12-16 08:03:32,MBB,Ngân Hàng,Banks,Ho Chi Minh,HOSE,2.80,5637,0,0.00,0.00
39,6889,2,2022-11-30 00:00:00,2022-12-16 08:03:32,PNJ,Bán Lẻ,Retailing,Ho Chi Minh,HOSE,2.70,5637,0,0.00,0.00
40,6653,2,2022-10-31 00:00:00,2022-11-10 08:10:39,MWG,Bán Lẻ,Retailing,Ho Chi Minh,HOSE,8.10,5446,0,0.00,0.00
41,6654,2,2022-10-31 00:00:00,2022-11-10 08:10:39,FPT,Phần Mềm & Dịch Vụ Phần Mềm,Software & Services,Ho Chi Minh,HOSE,5.10,5446,0,0.00,0.00
42,6655,2,2022-10-31 00:00:00,2022-11-10 08:10:39,VCB,Ngân Hàng,Banks,Ho Chi Minh,HOSE,4.80,5446,0,0.00,0.00
