year,week,symbol,change_percentage
2023,9,CFV,74.0
2023,8,CFV,73.0
2023,6,VNZ,75.0
2022,42,BMN,72.0
2022,39,EPC,74.0
2022,38,VTX,75.0
2022,37,CFV,75.0
2022,36,CFV,74.0
2022,34,GTD,74.0
2022,16,DXL,73.0
2022,13,PLA,72.0
2022,12,DXL,72.0
2022,11,USC,70.0
2022,10,SQC,73.0
2022,9,XMD,73.0
2022,8,XMD,71.0
2022,2,BIG,74.0
2021,51,GER,74.0
2021,50,GER,70.0
2021,47,LG9,72.0
2021,46,LIC,74.0
2021,45,L12,74.0
2021,43,DCF,71.0
2021,39,CBS,74.0
2021,38,CBS,73.0
2021,37,HFB,72.0
2021,34,POB,70.0
2021,32,SSH,74.0
2021,31,MVN,73.0
2021,24,BVL,73.0
2021,23,BMN,73.0
2021,21,TV6,74.0
2021,20,BIO,74.0
2021,19,BIO,74.0
2021,15,SCG,74.0
2021,13,RGC,73.0
2021,11,HFC,72.0
2021,2,AIC,73.0
2021,1,MRF,74.0
2020,52,BTV,73.0
2020,51,PND,72.0
2020,49,LMC,71.0
2020,44,BTH,73.0
2020,37,NAW,70.0
2020,26,RAT,73.0
2020,24,PPI,100.0
2020,16,WTC,70.0
2020,11,VTX,72.0
2020,3,TNW,72.0
2019,52,HCI,74.0
2019,51,HCI,71.0
2019,44,SCC,88.0
2019,33,LWS,74.0
2019,31,SCC,71.0
2019,30,PMW,74.0
2019,29,FRC,73.0
2019,25,SPC,74.0
2019,21,VGL,73.0
2019,19,VNX,74.0
2019,17,VNX,73.0
2019,15,VIM,73.0
2019,12,CSI,71.0
2019,8,BOT,73.0
2019,1,FTM,732.0
2018,43,YBC,71.0
2018,39,EME,74.0
2018,34,NQN,71.0
2018,29,CEN,75.0
2018,27,NAW,72.0
2018,25,BBT,72.0
2018,20,EME,74.0
2018,19,PEQ,98.0
2018,16,NAW,72.0
2018,14,TBD,74.0
2018,3,CMN,71.0
2017,49,THW,82.0
2017,47,SNZ,73.0
2017,44,UPC,73.0
2017,41,RGC,71.0
2017,34,ART,74.0
2017,32,ART,73.0
2017,23,HMS,71.0
2017,21,DVN,72.0
2017,19,HLB,77.0
2017,12,DC1,71.0
2017,10,HFC,74.0
2017,9,SPD,70.0
2017,7,SD8,80.0
2017,3,DPG,70.0
2017,2,SID,74.0
2016,44,BHN,75.0
2016,43,GTS,74.0
2016,30,DTV,74.0
2016,29,DTV,73.0
2016,13,VLC,90.0
2016,7,IME,74.0
2016,5,IME,72.0
2015,50,NCS,74.0
2015,48,GER,71.0
2015,38,SSF,73.0
2014,52,VQC,95.0
2014,1,GTT,224.00000000000003
2013,21,TS4,88.0
2013,1,SPI,229.0
2010,52,SGS,684.0
2001,1,LAF,78.0
