year,champion,champion_country,runner_up,runner_up_country
2011,Fnatic,United Kingdom,against All authority,France
2012,J Team,Taiwan,OGN Entus,South Korea
2013,T1,South Korea,Royal Club,China
2014,Samsung Galaxy,South Korea,Royal Club,China
2015,T1,South Korea,Hanwha Life Esports,South Korea
2016,T1,South Korea,Samsung Galaxy,South Korea
2017,Samsung Galaxy,South Korea,T1,South Korea
2018,Invictus Gaming,China,Fnatic,United Kingdom
2019,FunPlus Phoenix,China,G2 Esports,Germany
2020,Dplus KIA,South Korea,Weibo Gaming,China
2021,Edward Gaming,China,DWG KIA,South Korea
2022,DRX,South Korea,T1,South Korea
2023,T1,South Korea,Weibo Gaming,China
