,id,fund_id,created,modified,stock,sector_vi,sector_en,bourse_vi,bourse_en,per_nav,data_index_id,shares,market_value,foreign_ownership
0,7350,1,2023-02-28 00:00:00,2023-03-13 04:42:13,VCB,Ngân Hàng,Banks,Ho Chi Minh,HOSE,9.19,6088,0,0.00,0.00
1,7351,1,2023-02-28 00:00:00,2023-03-13 04:42:13,PNJ,Bán Lẻ,Retailing,Ho Chi Minh,HOSE,4.68,6088,0,0.00,0.00
2,7352,1,2023-02-28 00:00:00,2023-03-13 04:42:13,FPT,Phần Mềm & Dịch Vụ Phần Mềm,Software & Services,Ho Chi Minh,HOSE,4.36,6088,0,0.00,0.00
3,7353,1,2023-02-28 00:00:00,2023-03-13 04:42:13,BID,Ngân Hàng,Banks,Ho Chi Minh,HOSE,4.18,6088,0,0.00,0.00
4,7354,1,2023-02-28 00:00:00,2023-03-13 04:42:13,MWG,Bán Lẻ,Retailing,Ho Chi Minh,HOSE,3.61,6088,0,0.00,0.00
5,7355,1,2023-02-28 00:00:00,2023-03-13 04:42:13,PVS,Năng Lượng,Energy,Hanoi Equities,HNX,3.48,6088,0,0.00,0.00
6,7356,1,2023-02-28 00:00:00,2023-03-13 04:42:13,VPB,Ngân Hàng,Banks,Ho Chi Minh,HOSE,3.48,6088,0,0.00,0.00
7,7357,1,2023-02-28 00:00:00,2023-03-13 04:42:13,STB,Ngân Hàng,Banks,Ho Chi Minh,HOSE,3.31,6088,0,0.00,0.00
8,7358,1,2023-02-28 00:00:00,2023-03-13 04:42:13,PVD,Năng Lượng,Energy,Ho Chi Minh,HOSE,3.12,6088,0,0.00,0.00
9,7359,1,2023-02-28 00:00:00,2023-03-13 04:42:13,HPG,Vật Liệu,Materials,Ho Chi Minh,HOSE,2.77,6088,0,0.00,0.00
10,7144,1,2023-01-31 00:00:00,2023-02-13 03:12:48,VCB,Ngân Hàng,Banks,Ho Chi Minh,HOSE,6.16,5932,0,0.00,0.00
11,7145,1,2023-01-31 00:00:00,2023-02-13 03:12:48,MWG,Bán Lẻ,Retailing,Ho Chi Minh,HOSE,5.79,5932,0,0.00,0.00
12,7146,1,2023-01-31 00:00:00,2023-02-13 03:12:48,STB,Ngân Hàng,Banks,Ho Chi Minh,HOSE,4.40,5932,0,0.00,0.00
13,7147,1,2023-01-31 00:00:00,2023-02-13 03:12:48,HPG,Vật Liệu,Materials,Ho Chi Minh,HOSE,3.37,5932,0,0.00,0.00
14,7148,1,2023-01-31 00:00:00,2023-02-13 03:12:48,VHM,Bất Động Sản,Real Estate,Ho Chi Minh,HOSE,3.22,5932,0,0.00,0.00
15,7149,1,2023-01-31 00:00:00,2023-02-13 03:12:48,FPT,Phần Mềm & Dịch Vụ Phần Mềm,Software & Services,Ho Chi Minh,HOSE,3.09,5932,0,0.00,0.00
