symbol,first,last,change,change_percentage
SDG,4.85,5.61,0.16,16
SGC,7.01,7.99,0.14,14
SGH,13.96,15.61,0.12,12
RCL,13.19,14.57,0.1,10
KSB,3.54,3.9,0.1,10
BXH,6.57,7.21,0.1,10
VC6,6.95,7.61,0.09,9
UNI,27.45,29.83,0.09,9
DNC,1.38,1.5,0.09,9
PLC,4.06,4.38,0.08,8
L10,5.86,6.33,0.08,8
DBT,3.16,3.42,0.08,8
BED,4.83,5.23,0.08,8
VNM,7.67,8.21,0.07,7
SVI,5.59,5.98,0.07,7
LM3,12.9,13.7,0.06,6
L43,15.94,16.97,0.06,6
HCC,1.99,2.11,0.06,6
CID,16.93,18.01,0.06,6
VNT,6.54,6.84,0.05,5
TPC,3.12,3.29,0.05,5
SSM,16.8,17.65,0.05,5
SCC,20.0,21.0,0.05,5
LGL,18.21,19.17,0.05,5
HGM,11.13,11.69,0.05,5
BBS,6.43,6.77,0.05,5
SDJ,21.7,22.5,0.04,4
NBP,7.33,7.6,0.04,4
LSS,15.9,16.48,0.04,4
CYC,8.5,8.8,0.04,4
BVH,23.05,23.89,0.04,4
ABT,13.12,13.69,0.04,4
SAP,10.56,10.83,0.03,3
NST,5.6,5.75,0.03,3
MKV,8.96,9.22,0.03,3
L18,5.43,5.58,0.03,3
FPT,7.35,7.54,0.03,3
VTL,11.81,12.02,0.02,2
VTB,4.05,4.15,0.02,2
VNR,4.39,4.46,0.02,2
VFR,12.44,12.72,0.02,2
TMX,4.15,4.24,0.02,2
TIE,15.36,15.69,0.02,2
SRF,1.92,1.95,0.02,2
SGD,3.24,3.3,0.02,2
PVA,31.7,32.2,0.02,2
PHC,3.87,3.96,0.02,2
HEV,3.46,3.54,0.02,2
EBS,3.52,3.58,0.02,2
DHT,3.12,3.18,0.02,2
DHC,2.37,2.41,0.02,2
DCL,12.96,13.21,0.02,2
BMI,6.15,6.3,0.02,2
XMC,15.96,16.16,0.01,1
VTC,6.15,6.21,0.01,1
VIC,8.57,8.66,0.01,1
VC3,5.07,5.11,0.01,1
TPP,1.99,2.0,0.01,1
TPH,4.34,4.38,0.01,1
STC,3.48,3.51,0.01,1
SJD,3.31,3.33,0.01,1
SJ1,3.03,3.05,0.01,1
SFN,5.95,6.02,0.01,1
SD6,22.43,22.69,0.01,1
MSN,17.96,18.07,0.01,1
MCG,33.7,34.0,0.01,1
LCG,13.66,13.85,0.01,1
HAG,61.52,62.32,0.01,1
DZM,28.26,28.41,0.01,1
DST,5.66,5.72,0.01,1
ACL,3.51,3.54,0.01,1
VTV,6.88,6.88,0.0,0
VGP,7.22,7.2,-0.0,0
VE9,4.97,4.97,0.0,0
VDL,5.97,5.99,0.0,0
TRC,23.93,23.93,0.0,0
TMC,9.87,9.91,0.0,0
TKU,4.7,4.68,-0.0,0
TH1,47.18,47.27,0.0,0
TC6,3.32,3.31,-0.0,0
SRA,2.58,2.58,0.0,0
