symbol,first,last,change,change_percentage
TYA,14.39,19.73,0.37,37
ILC,16.93,22.4,0.32,32
KDC,5.97,7.33,0.23,23
BBT,13.5,16.3,0.21,21
SAM,7.17,8.13,0.13,13
VSH,8.18,9.14,0.12,12
TS4,11.28,12.65,0.12,12
NHC,5.13,5.68,0.11,11
BT6,43.8,47.95,0.09,9
VTC,27.79,30.15,0.08,8
TNA,3.62,3.88,0.07,7
DXP,2.71,2.9,0.07,7
AGF,32.6,34.26,0.05,5
HTV,7.49,7.82,0.04,4
PMS,7.06,7.28,0.03,3
KHA,15.05,15.48,0.03,3
SFC,9.52,9.73,0.02,2
CID,15.75,16.11,0.02,2
REE,6.46,6.51,0.01,1
BBC,26.52,26.66,0.01,1
DHA,16.26,15.98,-0.02,-2
BBS,5.19,5.07,-0.02,-2
BPC,8.69,8.42,-0.03,-3
VNM,4.11,3.96,-0.04,-4
GMD,17.89,17.18,-0.04,-4
DPC,9.81,9.4,-0.04,-4
SAV,11.47,10.8,-0.06,-6
CAN,17.8,16.52,-0.07,-7
HAS,41.73,38.49,-0.08,-8
KHP,4.38,4.0,-0.09,-9
SGH,7.51,6.77,-0.1,-10
VNR,7.33,6.51,-0.11,-11
LAF,26.0,23.2,-0.11,-11
SSC,26.45,23.24,-0.12,-12
TKU,9.66,8.39,-0.13,-13
GIL,6.39,5.59,-0.13,-13
PNC,23.39,18.41,-0.21,-21
HAP,12.34,9.78,-0.21,-21
VTL,14.13,10.98,-0.22,-22
TMS,10.65,7.95,-0.25,-25
PPC,11.34,8.4,-0.26,-26
MHC,15.41,11.37,-0.26,-26
CII,22.71,15.58,-0.31,-31
