area,competition,season,id,utcDate,status,matchday,stage,group,lastUpdated,homeTeam,awayTeam,score,odds,referees
"{'id': 2072, 'name': 'England', 'code': 'ENG', 'flag': 'https://crests.football-data.org/770.svg'}","{'id': 2021, 'name': 'Premier League', 'code': 'PL', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/PL.png'}","{'id': 1564, 'startDate': '2023-08-11', 'endDate': '2024-05-19', 'currentMatchday': 10, 'winner': None}",435951,2023-08-13T15:30:00Z,FINISHED,1,REGULAR_SEASON,,2023-10-25T10:21:25Z,"{'id': 61, 'name': 'Chelsea FC', 'shortName': 'Chelsea', 'tla': 'CHE', 'crest': 'https://crests.football-data.org/61.png'}","{'id': 64, 'name': 'Liverpool FC', 'shortName': 'Liverpool', 'tla': 'LIV', 'crest': 'https://crests.football-data.org/64.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 1}, 'halfTime': {'home': 1, 'away': 1}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 11580, 'name': 'Anthony Taylor', 'type': 'REFEREE', 'nationality': 'England'}]"
"{'id': 2072, 'name': 'England', 'code': 'ENG', 'flag': 'https://crests.football-data.org/770.svg'}","{'id': 2021, 'name': 'Premier League', 'code': 'PL', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/PL.png'}","{'id': 1564, 'startDate': '2023-08-11', 'endDate': '2024-05-19', 'currentMatchday': 10, 'winner': None}",435956,2023-08-19T14:00:00Z,FINISHED,2,REGULAR_SEASON,,2023-10-25T10:21:25Z,"{'id': 64, 'name': 'Liverpool FC', 'shortName': 'Liverpool', 'tla': 'LIV', 'crest': 'https://crests.football-data.org/64.png'}","{'id': 1044, 'name': 'AFC Bournemouth', 'shortName': 'Bournemouth', 'tla': 'BOU', 'crest': 'https://crests.football-data.org/1044.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 3, 'away': 1}, 'halfTime': {'home': 2, 'away': 1}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 11620, 'name': 'Thomas Bramall', 'type': 'REFEREE', 'nationality': 'England'}]"
"{'id': 2072, 'name': 'England', 'code': 'ENG', 'flag': 'https://crests.football-data.org/770.svg'}","{'id': 2021, 'name': 'Premier League', 'code': 'PL', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/PL.png'}","{'id': 1564, 'startDate': '2023-08-11', 'endDate': '2024-05-19', 'currentMatchday': 10, 'winner': None}",435971,2023-08-27T15:30:00Z,FINISHED,3,REGULAR_SEASON,,2023-10-25T10:21:25Z,"{'id': 67, 'name': 'Newcastle United FC', 'shortName': 'Newcastle', 'tla': 'NEW', 'crest': 'https://crests.football-data.org/67.png'}","{'id': 64, 'name': 'Liverpool FC', 'shortName': 'Liverpool', 'tla': 'LIV', 'crest': 'https://crests.football-data.org/64.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 2}, 'halfTime': {'home': 1, 'away': 0}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 11327, 'name': 'John Brooks', 'type': 'REFEREE', 'nationality': 'England'}]"
"{'id': 2072, 'name': 'England', 'code': 'ENG', 'flag': 'https://crests.football-data.org/770.svg'}","{'id': 2021, 'name': 'Premier League', 'code': 'PL', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/PL.png'}","{'id': 1564, 'startDate': '2023-08-11', 'endDate': '2024-05-19', 'currentMatchday': 10, 'winner': None}",435979,2023-09-03T13:00:00Z,FINISHED,4,REGULAR_SEASON,,2023-10-25T10:21:25Z,"{'id': 64, 'name': 'Liverpool FC', 'shortName': 'Liverpool', 'tla': 'LIV', 'crest': 'https://crests.football-data.org/64.png'}","{'id': 58, 'name': 'Aston Villa FC', 'shortName': 'Aston Villa', 'tla': 'AVL', 'crest': 'https://crests.football-data.org/58.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 3, 'away': 0}, 'halfTime': {'home': 2, 'away': 0}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 11430, 'name': 'Simon Hooper', 'type': 'REFEREE', 'nationality': 'England'}]"
"{'id': 2072, 'name': 'England', 'code': 'ENG', 'flag': 'https://crests.football-data.org/770.svg'}","{'id': 2021, 'name': 'Premier League', 'code': 'PL', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/PL.png'}","{'id': 1564, 'startDate': '2023-08-11', 'endDate': '2024-05-19', 'currentMatchday': 10, 'winner': None}",435992,2023-09-16T11:30:00Z,FINISHED,5,REGULAR_SEASON,,2023-10-25T10:21:25Z,"{'id': 76, 'name': 'Wolverhampton Wanderers FC', 'shortName': 'Wolverhampton', 'tla': 'WOL', 'crest': 'https://crests.football-data.org/76.svg'}","{'id': 64, 'name': 'Liverpool FC', 'shortName': 'Liverpool', 'tla': 'LIV', 'crest': 'https://crests.football-data.org/64.png'}","{'winner': 'AWAY_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 1, 'away': 3}, 'halfTime': {'home': 1, 'away': 0}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 11605, 'name': 'Michael Oliver', 'type': 'REFEREE', 'nationality': 'England'}]"
"{'id': 2072, 'name': 'England', 'code': 'ENG', 'flag': 'https://crests.football-data.org/770.svg'}","{'id': 2021, 'name': 'Premier League', 'code': 'PL', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/PL.png'}","{'id': 1564, 'startDate': '2023-08-11', 'endDate': '2024-05-19', 'currentMatchday': 10, 'winner': None}",435999,2023-09-24T13:00:00Z,FINISHED,6,REGULAR_SEASON,,2023-10-25T10:21:25Z,"{'id': 64, 'name': 'Liverpool FC', 'shortName': 'Liverpool', 'tla': 'LIV', 'crest': 'https://crests.football-data.org/64.png'}","{'id': 563, 'name': 'West Ham United FC', 'shortName': 'West Ham', 'tla': 'WHU', 'crest': 'https://crests.football-data.org/563.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 3, 'away': 1}, 'halfTime': {'home': 1, 'away': 1}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 11443, 'name': 'Chris Kavanagh', 'type': 'REFEREE', 'nationality': 'England'}]"
"{'id': 2072, 'name': 'England', 'code': 'ENG', 'flag': 'https://crests.football-data.org/770.svg'}","{'id': 2021, 'name': 'Premier League', 'code': 'PL', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/PL.png'}","{'id': 1564, 'startDate': '2023-08-11', 'endDate': '2024-05-19', 'currentMatchday': 10, 'winner': None}",436010,2023-09-30T16:30:00Z,FINISHED,7,REGULAR_SEASON,,2023-10-25T10:21:25Z,"{'id': 73, 'name': 'Tottenham Hotspur FC', 'shortName': 'Tottenham', 'tla': 'TOT', 'crest': 'https://crests.football-data.org/73.svg'}","{'id': 64, 'name': 'Liverpool FC', 'shortName': 'Liverpool', 'tla': 'LIV', 'crest': 'https://crests.football-data.org/64.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 2, 'away': 1}, 'halfTime': {'home': 1, 'away': 1}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 11430, 'name': 'Simon Hooper', 'type': 'REFEREE', 'nationality': 'England'}]"
"{'id': 2072, 'name': 'England', 'code': 'ENG', 'flag': 'https://crests.football-data.org/770.svg'}","{'id': 2021, 'name': 'Premier League', 'code': 'PL', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/PL.png'}","{'id': 1564, 'startDate': '2023-08-11', 'endDate': '2024-05-19', 'currentMatchday': 10, 'winner': None}",436014,2023-10-08T13:00:00Z,FINISHED,8,REGULAR_SEASON,,2023-10-25T10:21:25Z,"{'id': 397, 'name': 'Brighton & Hove Albion FC', 'shortName': 'Brighton Hove', 'tla': 'BHA', 'crest': 'https://crests.football-data.org/397.svg'}","{'id': 64, 'name': 'Liverpool FC', 'shortName': 'Liverpool', 'tla': 'LIV', 'crest': 'https://crests.football-data.org/64.png'}","{'winner': 'DRAW', 'duration': 'REGULAR', 'fullTime': {'home': 2, 'away': 2}, 'halfTime': {'home': 1, 'away': 2}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 11580, 'name': 'Anthony Taylor', 'type': 'REFEREE', 'nationality': 'England'}]"
"{'id': 2072, 'name': 'England', 'code': 'ENG', 'flag': 'https://crests.football-data.org/770.svg'}","{'id': 2021, 'name': 'Premier League', 'code': 'PL', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/PL.png'}","{'id': 1564, 'startDate': '2023-08-11', 'endDate': '2024-05-19', 'currentMatchday': 10, 'winner': None}",436027,2023-10-21T11:30:00Z,FINISHED,9,REGULAR_SEASON,,2023-10-25T10:21:25Z,"{'id': 64, 'name': 'Liverpool FC', 'shortName': 'Liverpool', 'tla': 'LIV', 'crest': 'https://crests.football-data.org/64.png'}","{'id': 62, 'name': 'Everton FC', 'shortName': 'Everton', 'tla': 'EVE', 'crest': 'https://crests.football-data.org/62.png'}","{'winner': 'HOME_TEAM', 'duration': 'REGULAR', 'fullTime': {'home': 2, 'away': 0}, 'halfTime': {'home': 0, 'away': 0}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},"[{'id': 11585, 'name': 'Craig Pawson', 'type': 'REFEREE', 'nationality': 'England'}]"
"{'id': 2072, 'name': 'England', 'code': 'ENG', 'flag': 'https://crests.football-data.org/770.svg'}","{'id': 2021, 'name': 'Premier League', 'code': 'PL', 'type': 'LEAGUE', 'emblem': 'https://crests.football-data.org/PL.png'}","{'id': 1564, 'startDate': '2023-08-11', 'endDate': '2024-05-19', 'currentMatchday': 10, 'winner': None}",436039,2023-10-29T14:00:00Z,TIMED,10,REGULAR_SEASON,,2023-10-25T10:21:25Z,"{'id': 64, 'name': 'Liverpool FC', 'shortName': 'Liverpool', 'tla': 'LIV', 'crest': 'https://crests.football-data.org/64.png'}","{'id': 351, 'name': 'Nottingham Forest FC', 'shortName': 'Nottingham', 'tla': 'NOT', 'crest': 'https://crests.football-data.org/351.png'}","{'winner': None, 'duration': 'REGULAR', 'fullTime': {'home': None, 'away': None}, 'halfTime': {'home': None, 'away': None}}",{'msg': 'Activate Odds-Package in User-Panel to retrieve odds.'},[]
