id,area,name,code,type,emblem,plan,currentSeason,numberOfAvailableSeasons,lastUpdated
2166,"{'id': 2001, 'name': 'Africa', 'code': 'AFR', 'flag': None}",AFC Champions League,ACL,CUP,,TIER_FOUR,"{'id': 1559, 'startDate': '2022-04-06', 'endDate': '2023-05-05', 'currentMatchday': None, 'winner': None}",1,2023-02-26T12:57:33Z
2006,"{'id': 2001, 'name': 'Africa', 'code': 'AFR', 'flag': None}",WC Qualification CAF,QCAF,CUP,,TIER_FOUR,"{'id': 555, 'startDate': '2019-09-04', 'endDate': '2021-11-16', 'currentMatchday': 6, 'winner': None}",3,2022-03-13T18:51:44Z
2023,"{'id': 2011, 'name': 'Argentina', 'code': 'ARG', 'flag': 'https://crests.football-data.org/762.png'}",Primera B Nacional,PBN,LEAGUE,,TIER_FOUR,"{'id': 716, 'startDate': '2021-03-13', 'endDate': '2021-12-26', 'currentMatchday': 17, 'winner': None}",5,2023-08-01T08:40:24Z
2024,"{'id': 2011, 'name': 'Argentina', 'code': 'ARG', 'flag': 'https://crests.football-data.org/762.png'}",Liga Profesional,ASL,LEAGUE,https://crests.football-data.org/LPDF.svg,TIER_TWO,"{'id': 1536, 'startDate': '2023-01-27', 'endDate': '2023-08-05', 'currentMatchday': 27, 'winner': None}",6,2021-05-28T18:02:40Z
2025,"{'id': 2011, 'name': 'Argentina', 'code': 'ARG', 'flag': 'https://crests.football-data.org/762.png'}",Supercopa Argentina,,SUPER_CUP,,TIER_FOUR,"{'id': 430, 'startDate': '2019-04-04', 'endDate': '2019-04-04', 'currentMatchday': None, 'winner': None}",2,2019-05-03T05:08:18Z
2149,"{'id': 2011, 'name': 'Argentina', 'code': 'ARG', 'flag': 'https://crests.football-data.org/762.png'}",Copa Liga Profesional,,LEAGUE,,TIER_FOUR,"{'id': 717, 'startDate': '2021-02-12', 'endDate': '2021-05-30', 'currentMatchday': 13, 'winner': None}",2,2021-04-17T06:00:34Z
2147,"{'id': 2014, 'name': 'Asia', 'code': 'ASI', 'flag': None}",WC Qualification AFC,QAFC,CUP,,TIER_FOUR,"{'id': 1616, 'startDate': '2023-10-12', 'endDate': '2024-06-11', 'currentMatchday': 2, 'winner': None}",3,2021-11-11T10:31:11Z
2008,"{'id': 2015, 'name': 'Australia', 'code': 'AUS', 'flag': None}",A League,AAL,LEAGUE,,TIER_TWO,"{'id': 1628, 'startDate': '2023-10-20', 'endDate': '2024-04-28', 'currentMatchday': 2, 'winner': None}",7,2021-04-17T07:19:35Z
2026,"{'id': 2015, 'name': 'Australia', 'code': 'AUS', 'flag': None}",FFA Cup,,CUP,,TIER_FOUR,"{'id': 592, 'startDate': '2020-02-19', 'endDate': '2020-10-28', 'currentMatchday': None, 'winner': None}",3,2019-10-23T23:59:22Z
2020,"{'id': 2016, 'name': 'Austria', 'code': 'AUT', 'flag': 'https://crests.football-data.org/816.svg'}",Erste Liga,AEL,LEAGUE,,TIER_FOUR,"{'id': 1626, 'startDate': '2023-07-28', 'endDate': '2024-05-26', 'currentMatchday': 12, 'winner': None}",5,2023-08-22T20:41:17Z
2012,"{'id': 2016, 'name': 'Austria', 'code': 'AUT', 'flag': 'https://crests.football-data.org/816.svg'}",Bundesliga,ABL,LEAGUE,,TIER_THREE,"{'id': 1588, 'startDate': '2023-07-28', 'endDate': '2024-03-16', 'currentMatchday': 12, 'winner': None}",7,2021-04-17T07:19:35Z
