,id,fund_id,created,modified,stock,sector_vi,sector_en,bourse_vi,bourse_en,per_nav,data_index_id,shares,market_value,foreign_ownership
0,7370,5,2023-02-28 00:00:00,2023-03-13 07:23:06,VPB,,,,,8.20,6090,38701669,659.90,100.00
1,7371,5,2023-02-28 00:00:00,2023-03-13 07:23:06,FPT,,,,,7.70,6090,7676033,617.90,100.00
2,7372,5,2023-02-28 00:00:00,2023-03-13 07:23:06,ACB,,,,,7.20,6090,23651471,577.10,100.00
3,7373,5,2023-02-28 00:00:00,2023-03-13 07:23:06,HPG,,,,,6.50,6090,26349133,527.00,48.00
4,7374,5,2023-02-28 00:00:00,2023-03-13 07:23:06,VNM,,,,,6.50,6090,6886729,519.90,55.80
5,7375,5,2023-02-28 00:00:00,2023-03-13 07:23:06,TCB,,,,,6.20,6090,18828275,498.90,100.00
6,7376,5,2023-02-28 00:00:00,2023-03-13 07:23:06,MSN,,,,,5.40,6090,5274212,432.50,62.50
7,7377,5,2023-02-28 00:00:00,2023-03-13 07:23:06,VIC,,,,,5.10,6090,7854141,413.10,26.50
8,7378,5,2023-02-28 00:00:00,2023-03-13 07:23:06,VCB,,,,,5.00,6090,4286419,400.80,78.70
9,7379,5,2023-02-28 00:00:00,2023-03-13 07:23:06,VHM,,,,,4.60,6090,8965226,372.10,48.10
10,7380,5,2023-02-28 00:00:00,2023-03-13 07:23:06,STB,,,,,4.60,6090,15525841,368.70,96.80
11,7381,5,2023-02-28 00:00:00,2023-03-13 07:23:06,MWG,,,,,4.50,6090,9037316,361.50,100.00
12,7382,5,2023-02-28 00:00:00,2023-03-13 07:23:06,MBB,,,,,4.40,6090,20542139,354.40,100.00
13,7383,5,2023-02-28 00:00:00,2023-03-13 07:23:06,HDB,,,,,3.10,6090,14502227,247.30,92.80
14,7384,5,2023-02-28 00:00:00,2023-03-13 07:23:06,VJC,,,,,2.80,6090,2232556,223.30,57.50
15,7385,5,2023-02-28 00:00:00,2023-03-13 07:23:07,VRE,,,,,2.50,6090,7484923,199.80,66.40
16,7386,5,2023-02-28 00:00:00,2023-03-13 07:23:07,TPB,,,,,2.30,6090,7820207,182.20,99.90
17,7387,5,2023-02-28 00:00:00,2023-03-13 07:23:07,VIB,,,,,2.20,6090,8682950,178.40,100.00
18,7388,5,2023-02-28 00:00:00,2023-03-13 07:23:07,CTG,,,,,2.00,6090,5940653,162.80,93.50
19,7389,5,2023-02-28 00:00:00,2023-03-13 07:23:07,SSI,,,,,1.90,6090,8582070,156.60,43.20
20,7390,5,2023-02-28 00:00:00,2023-03-13 07:23:07,SAB,,,,,1.40,6090,579000,108.90,62.60
21,7391,5,2023-02-28 00:00:00,2023-03-13 07:23:07,NVL,,,,,1.20,6090,8835941,93.70,12.10
22,7392,5,2023-02-28 00:00:00,2023-03-13 07:23:07,GAS,,,,,1.00,6090,791740,81.90,6.20
23,7393,5,2023-02-28 00:00:00,2023-03-13 07:23:07,BID,,,,,0.90,6090,1671321,73.70,57.50
24,7394,5,2023-02-28 00:00:00,2023-03-13 07:23:07,POW,,,,,0.70,6090,4819800,58.30,12.30
25,7395,5,2023-02-28 00:00:00,2023-03-13 07:23:07,PLX,,,,,0.50,6090,1044240,39.00,90.20
26,7396,5,2023-02-28 00:00:00,2023-03-13 07:23:07,BVH,,,,,0.40,6090,608900,29.50,55.70
27,7397,5,2023-02-28 00:00:00,2023-03-13 07:23:07,BCM,,,,,0.30,6090,330000,27.60,5.70
28,7398,5,2023-02-28 00:00:00,2023-03-13 07:23:07,PDR,,,,,0.30,6090,2485815,25.10,8.00
29,7399,5,2023-02-28 00:00:00,2023-03-13 07:23:07,GVR,,,,,0.20,6090,1318100,18.40,4.20
30,7164,5,2023-01-31 00:00:00,2023-02-16 04:35:30,VPB,,,,,7.60,5956,34928369,679.40,100.00
31,7165,5,2023-01-31 00:00:00,2023-02-16 04:35:30,FPT,,,,,6.90,5956,7401233,618.00,100.00
32,7166,5,2023-01-31 00:00:00,2023-02-16 04:35:30,ACB,,,,,6.70,5956,23023671,599.80,100.00
33,7167,5,2023-01-31 00:00:00,2023-02-16 04:35:30,HPG,,,,,6.40,5956,25878333,571.90,46.60
34,7168,5,2023-01-31 00:00:00,2023-02-16 04:35:30,TCB,,,,,6.00,5956,18224275,535.80,100.00
35,7169,5,2023-01-31 00:00:00,2023-02-16 04:35:30,VNM,,,,,5.90,5956,6812229,525.20,56.00
36,7170,5,2023-01-31 00:00:00,2023-02-16 04:35:30,MSN,,,,,5.80,5956,5102412,515.90,62.60
37,7171,5,2023-01-31 00:00:00,2023-02-16 04:35:30,VHM,,,,,4.90,5956,8658026,440.70,48.80
38,7172,5,2023-01-31 00:00:00,2023-02-16 04:35:30,VIC,,,,,4.90,5956,7666241,437.70,26.70
39,7173,5,2023-01-31 00:00:00,2023-02-16 04:35:30,STB,,,,,4.60,5956,15150441,410.60,92.10
40,7174,5,2023-01-31 00:00:00,2023-02-16 04:35:30,MWG,,,,,4.60,5956,8762116,407.40,100.00
41,7175,5,2023-01-31 00:00:00,2023-02-16 04:35:30,MBB,,,,,4.40,5956,19934939,389.70,100.00
42,7176,5,2023-01-31 00:00:00,2023-02-16 04:35:30,VCB,,,,,4.40,5956,4235219,389.20,78.80
43,7177,5,2023-01-31 00:00:00,2023-02-16 04:35:30,HDB,,,,,2.90,5956,14086427,262.70,90.40
44,7178,5,2023-01-31 00:00:00,2023-02-16 04:35:30,VJC,,,,,2.90,5956,2207056,256.70,57.10
45,7179,5,2023-01-31 00:00:00,2023-02-16 04:35:30,VIB,,,,,2.40,5956,9216850,217.10,100.00
46,7180,5,2023-01-31 00:00:00,2023-02-16 04:35:30,VRE,,,,,2.40,5956,7278723,216.20,66.40
47,7181,5,2023-01-31 00:00:00,2023-02-16 04:35:30,SSI,,,,,2.10,5956,8486670,183.30,43.10
48,7182,5,2023-01-31 00:00:00,2023-02-16 04:35:30,CTG,,,,,2.00,5956,5870253,179.00,93.60
49,7183,5,2023-01-31 00:00:00,2023-02-16 04:35:30,TPB,,,,,2.00,5956,7016207,175.40,100.00
50,7184,5,2023-01-31 00:00:00,2023-02-16 04:35:30,KDH,,,,,1.20,5956,3775364,105.70,75.70
51,7185,5,2023-01-31 00:00:00,2023-02-16 04:35:30,SAB,,,,,1.10,5956,533200,100.80,62.70
52,7186,5,2023-01-31 00:00:00,2023-02-16 04:35:30,NVL,,,,,1.00,5956,6341741,90.10,12.40
53,7187,5,2023-01-31 00:00:00,2023-02-16 04:35:30,GAS,,,,,1.00,5956,813140,86.40,6.00
54,7188,5,2023-01-31 00:00:00,2023-02-16 04:35:30,BID,,,,,0.90,5956,1689121,76.20,57.30
55,7189,5,2023-01-31 00:00:00,2023-02-16 04:35:30,POW,,,,,0.50,5956,3794400,47.10,11.50
56,7190,5,2023-01-31 00:00:00,2023-02-16 04:35:30,PLX,,,,,0.40,5956,999640,36.80,89.60
57,7191,5,2023-01-31 00:00:00,2023-02-16 04:35:30,PDR,,,,,0.30,5956,2161815,29.90,7.80
58,7192,5,2023-01-31 00:00:00,2023-02-16 04:35:30,BVH,,,,,0.30,5956,554100,27.90,55.20
59,7193,5,2023-01-31 00:00:00,2023-02-16 04:35:30,GVR,,,,,0.20,5956,1282700,21.40,4.30
