year,week,symbol,change_percentage
2023,11,DAS,49.0
2023,10,VHD,49.0
2023,9,CFV,74.0
2023,8,CFV,73.0
2023,7,ANT,38.0
2023,6,VNZ,75.0
2023,5,XDH,68.0
2023,3,TVA,34.0
2023,2,SCJ,62.0
2023,1,HAF,38.0
2022,52,HFB,65.0
2022,51,GCF,52.0
2022,50,RIC,66.0
2022,49,SCY,51.0
2022,48,VNH,50.0
2022,47,SVG,49.0
2022,46,DM7,50.0
2022,45,BBM,39.0
2022,44,PAP,40.0
2022,43,PRC,45.0
2022,42,BMN,72.0
2022,41,BMG,51.0
2022,40,L43,41.0
2022,39,EPC,74.0
2022,38,VTX,75.0
2022,37,CFV,75.0
2022,36,CFV,74.0
2022,35,CFV,31.0
2022,34,GTD,74.0
2022,33,CFV,69.0
2022,32,PDC,52.0
2022,31,RGC,51.0
2022,30,CLM,46.0
2022,29,CT6,50.0
2022,28,CAR,32.0
2022,27,ILC,47.0
2022,26,XMD,53.0
2022,25,KTC,51.0
2022,24,SCC,45.0
2022,23,TVP,39.0
2022,22,CCV,51.0
2022,21,E12,68.0
2022,20,CQN,39.0
2022,19,L45,48.0
2022,18,QNT,30.0
2022,17,RGC,48.0
2022,16,DXL,73.0
2022,15,DCF,40.0
2022,14,POT,45.0
2022,13,PLA,72.0
2022,12,DXL,72.0
2022,11,USC,70.0
2022,10,SQC,73.0
2022,9,XMD,73.0
2022,8,XMD,71.0
2022,7,XMD,66.0
2022,6,BBH,50.0
2022,4,DCF,59.0
2022,3,NAU,35.0
2022,2,BIG,74.0
2022,1,SZG,51.0
2021,52,DLD,65.0
2021,51,GER,74.0
2021,50,GER,70.0
2021,49,CID,58.0
2021,48,VHH,69.0
2021,47,LG9,72.0
2021,46,LIC,74.0
2021,45,L12,74.0
2021,44,SDJ,67.0
2021,43,DCF,71.0
2021,42,YBC,57.0
2021,41,CI5,65.0
2021,40,MIC,47.0
2021,39,CBS,74.0
2021,38,CBS,73.0
2021,37,HFB,72.0
2021,36,DPC,45.0
2021,35,PAP,33.0
2021,34,POB,70.0
2021,33,MGC,56.0
2021,32,SSH,74.0
2021,31,MVN,73.0
2021,30,VC2,39.0
2021,29,KLM,47.0
2021,28,NTF,39.0
2021,27,S74,49.0
2021,26,BLN,67.0
2021,25,CCR,67.0
2021,24,BVL,73.0
2021,23,BMN,73.0
2021,22,DP1,55.0
2021,21,TV6,74.0
2021,20,BIO,74.0
2021,19,BIO,74.0
2021,18,HSV,52.0
2021,17,HAM,51.0
2021,16,SPB,50.0
2021,15,SCG,74.0
2021,14,DCR,50.0
2021,13,RGC,73.0
2021,12,KCB,58.0
2021,11,HFC,72.0
2021,10,KCB,56.0
2021,9,DSG,69.0
2021,8,KSV,68.0
2021,7,NDC,32.0
2021,6,SDP,23.0
2021,5,PND,45.0
2021,4,INC,35.0
2021,3,VIG,43.0
2021,2,AIC,73.0
2021,1,MRF,74.0
2020,53,BVG,44.0
2020,52,BTV,73.0
2020,51,PND,72.0
2020,50,PND,49.0
2020,49,LMC,71.0
2020,48,RAT,49.0
2020,47,DTK,43.0
2020,46,CC4,47.0
2020,45,CKD,32.0
2020,44,BTH,73.0
2020,43,DAS,35.0
2020,42,GCB,48.0
2020,41,ITS,51.0
2020,40,MRF,47.0
2020,39,TST,46.0
2020,38,UPC,43.0
2020,37,NAW,70.0
2020,36,TEL,48.0
2020,35,SCI,46.0
2020,34,DAC,49.0
2020,33,AFX,64.0
2020,32,VCX,49.0
2020,31,SRB,50.0
2020,30,YBC,51.0
2020,29,DAS,46.0
2020,28,GCB,68.0
2020,27,HCI,52.0
