year,host_city,host_country,champion,champion_country,runner_up,runner_up_country
2005,Khanty-Mansiysk,Russia,Levon Aronian,Armenia,Ruslan Ponomariov,Ukraine
2007,Khanty-Mansiysk,Russia,Gata Kamsky,United States,Alexei Shirov,Spain
2009,Khanty-Mansiysk,Russia,Boris Gelfand,Israel,Ruslan Ponomariov,Ukraine
2011,Khanty-Mansiysk,Russia,Peter Svidler,Russia,Alexander Grischuk,Russia
2013,Tromsø,Norway,Vladimir Kramnik,Russia,Dmitry Andreikin,Russia
2015,Baku,Azerbaijan,Sergey Karjakin,Russia,Peter Svidler,Russia
2017,Tbilisi,Georgia,Levon Aronian,Armenia,Ding Liren,China
2019,Khanty-Mansiysk,Russia,Teimour Radjabov,Azerbaijan,Ding Liren,China
2021,Sochi,Russia,Jan-Krzysztof Duda,Poland,Sergey Karjakin,Russia
