abbreviation,name,capital,largest,region,subregion,year,month,date,level
AL,Alabama,Montgomery,Huntsville,South,East South Central,1819,12,14,state
AK,Alaska,Juneau,Anchorage,West,Pacific,1959,01,03,state
AZ,Arizona,Phoenix,Phoenix,West,Mountain,1912,02,14,state
AR,Arkansas,Little Rock,Little Rock,South,West South Central,1836,06,15,state
CA,California,Sacramento,Los Angeles,West,Pacific,1850,09,09,state
CO,Colorado,Denver,Denver,West,Mountain,1876,08,01,state
CT,Connecticut,Hartford,Bridgeport,Northeast,New England,1788,01,09,state
DE,Delaware,Dover,Wilmington,South,South Atlantic,1787,12,07,state
FL,Florida,Tallahassee,Jacksonville,South,South Atlantic,1845,03,03,state
GA,Georgia,Atlanta,Atlanta,South,South Atlantic,1788,01,02,state
HI,Hawaii,Honolulu,Honolulu,West,Pacific,1959,08,21,state
ID,Idaho,Boise,Boise,West,Mountain,1890,07,03,state
IL,Illinois,Springfield,Chicago,Midwest,East North Central,1818,12,03,state
IN,Indiana,Indianapolis,Indianapolis,Midwest,East North Central,1816,12,11,state
IA,Iowa,Des Moines,Des Moines,Midwest,West North Central,1846,12,28,state
KS,Kansas,Topeka,Wichita,Midwest,West North Central,1861,01,29,state
KY,Kentucky,Frankfort,Louisville,South,East South Central,1792,06,01,state
LA,Louisiana,Baton Rouge,New Orleans,South,West South Central,1812,04,30,state
ME,Maine,Augusta,Portland,Northeast,New England,1820,03,15,state
MD,Maryland,Annapolis,Baltimore,South,South Atlantic,1788,04,28,state
MA,Massachusetts,Boston,Boston,Northeast,New England,1788,02,06,state
MI,Michigan,Lansing,Detroit,Midwest,East North Central,1837,01,26,state
MN,Minnesota,St. Paul,Minneapolis,Midwest,West North Central,1858,05,11,state
MS,Mississippi,Jackson,Jackson,South,East South Central,1817,12,10,state
MO,Missouri,Jefferson City,Kansas City,Midwest,West North Central,1821,08,10,state
MT,Montana,Helena,Billings,West,Mountain,1889,11,08,state
NE,Nebraska,Lincoln,Omaha,Midwest,West North Central,1867,03,01,state
NV,Nevada,Carson City,Las Vegas,West,Mountain,1864,10,31,state
NH,New Hampshire,Concord,Manchester,Northeast,New England,1788,06,21,state
NJ,New Jersey,Trenton,Newark,Northeast,"Middle Atlantic ",1787,12,18,state
NM,New Mexico,Santa Fe,Albuquerque,West,Mountain,1912,01,06,state
NY,New York,Albany,New York City,Northeast,"Middle Atlantic ",1788,07,26,state
NC,North Carolina,Raleigh,Charlotte,South,South Atlantic,1789,11,21,state
ND,North Dakota,Bismarck,Fargo,Midwest,West North Central,1889,11,02,state
OH,Ohio,Columbus,Columbus,Midwest,East North Central,1803,03,01,state
OK,Oklahoma,Oklahoma City,Oklahoma City,South,West South Central,1907,11,16,state
OR,Oregon,Salem,Portland,West,Pacific,1859,02,14,state
PA,Pennsylvania,Harrisburg,Philadelphia,Northeast,"Middle Atlantic ",1787,12,12,state
RI,Rhode Island,Providence,Providence,Northeast,New England,1790,05,29,state
SC,South Carolina,Columbia,Charleston,South,South Atlantic,1788,05,23,state
SD,South Dakota,Pierre,Sioux Falls,Midwest,West North Central,1889,11,02,state
TN,Tennessee,Nashville,Nashville,South,East South Central,1796,06,01,state
TX,Texas,Austin,Houston,South,West South Central,1845,12,29,state
UT,Utah,Salt Lake City,Salt Lake City,West,Mountain,1896,01,04,state
VT,Vermont,Montpelier,Burlington,Northeast,New England,1791,03,04,state
VA,Virginia,Richmond,Virginia Beach,South,South Atlantic,1788,06,25,state
WA,Washington,Olympia,Seattle,West,Pacific,1889,11,11,state
WV,West Virginia,Charleston,Charleston,South,South Atlantic,1863,06,20,state
WI,Wisconsin,Madison,Milwaukee,Midwest,East North Central,1848,05,29,state
WY,Wyoming,Cheyenne,Cheyenne,West,Mountain,1890,07,10,state
AS,American Samoa,Pago Pago,Pago Pago,,,1900,,,territory
GU,Guam,Hagåtña,Hagåtña,,,1899,,,territory
MP,Northern Mariana Islands,Saipan,Saipan,,,1986,,,territory
PR,Puerto Rico,San Juan,San Juan,,,1899,,,territory
VI,U.S. Virgin Islands,Charlotte Amalie,Charlotte Amalie,,,1917,,,territory
DC,"Washington, D.C.","Washington, D.C.","Washington, D.C.",South,South Atlantic,1790,07,16,federal
