symbol,first,last,change,change_percentage
POB,16.97,28.85,0.7,70
PND,13.1,19.6,0.5,50
MGC,8.44,12.47,0.48,48
SMT,8.6,12.4,0.44,44
KSQ,3.3,4.6,0.39,39
VE4,26.0,34.5,0.33,33
GTH,5.01,6.65,0.33,33
BMV,4.05,5.33,0.32,32
BCP,12.5,16.5,0.32,32
VMD,48.63,63.65,0.31,31
SPM,17.76,23.21,0.31,31
DAT,18.13,23.68,0.31,31
LEC,11.7,15.2,0.3,30
PTT,6.9,8.9,0.29,29
CCP,8.0,10.2,0.27,27
VFR,5.6,7.0,0.25,25
GKM,10.9,13.6,0.25,25
MVN,39.5,49.0,0.24,24
DAD,18.32,22.69,0.24,24
AGP,15.67,19.48,0.24,24
LPT,10.7,13.11,0.23,23
HLC,8.78,10.67,0.22,22
SSG,6.6,8.0,0.21,21
QPH,20.95,25.36,0.21,21
MVB,19.34,23.32,0.21,21
EID,15.68,19.0,0.21,21
VNA,26.5,31.6,0.19,19
NBC,14.37,17.17,0.19,19
CDP,21.36,25.44,0.19,19
SVG,14.6,17.3,0.18,18
PGT,5.1,6.0,0.18,18
BIC,22.48,26.57,0.18,18
SBV,12.06,14.11,0.17,17
PC1,21.01,24.67,0.17,17
CMT,18.3,21.2,0.16,16
BCC,14.55,16.85,0.16,16
VGR,34.99,40.17,0.15,15
TRA,75.53,86.89,0.15,15
TNG,21.89,25.22,0.15,15
TAW,14.86,17.02,0.15,15
MTP,11.12,12.83,0.15,15
MDC,8.7,10.03,0.15,15
HNB,13.4,15.4,0.15,15
GVT,72.27,82.94,0.15,15
DP1,30.6,35.19,0.15,15
BVN,8.2,9.4,0.15,15
AAV,16.23,18.74,0.15,15
TVD,8.52,9.75,0.14,14
TDN,8.51,9.7,0.14,14
TC6,6.12,6.98,0.14,14
MTG,3.6,4.1,0.14,14
MIG,17.52,20.0,0.14,14
HPX,31.32,35.67,0.14,14
CST,12.46,14.2,0.14,14
CNC,23.14,26.27,0.14,14
VTO,8.9,10.03,0.13,13
TW3,15.0,16.9,0.13,13
TTS,6.9,7.8,0.13,13
TMB,13.24,14.91,0.13,13
POW,10.38,11.71,0.13,13
PCC,15.12,17.15,0.13,13
PAS,15.11,17.04,0.13,13
MVC,7.99,9.02,0.13,13
DPP,17.55,19.9,0.13,13
DPG,34.64,39.25,0.13,13
CDN,26.78,30.18,0.13,13
BMC,15.25,17.28,0.13,13
VSI,17.32,19.38,0.12,12
TMG,38.52,43.06,0.12,12
THT,8.81,9.83,0.12,12
TGG,24.05,27.0,0.12,12
SRA,8.6,9.6,0.12,12
REE,49.14,55.07,0.12,12
NTL,27.99,31.41,0.12,12
NNT,24.58,27.48,0.12,12
ICC,26.36,29.41,0.12,12
HRT,4.9,5.5,0.12,12
VNP,16.1,17.9,0.11,11
SEA,20.08,22.26,0.11,11
L18,24.28,26.98,0.11,11
HU1,8.1,9.0,0.11,11
HDP,11.21,12.42,0.11,11
HAM,12.94,14.3,0.11,11
DXS,20.32,22.53,0.11,11
BTS,6.2,6.87,0.11,11
ABI,42.91,47.51,0.11,11
VPA,4.8,5.3,0.1,10
VOS,13.1,14.45,0.1,10
VHC,40.2,44.22,0.1,10
TSG,10.0,11.0,0.1,10
TJC,11.34,12.47,0.1,10
SFG,10.37,11.36,0.1,10
SDN,32.69,35.91,0.1,10
QHW,16.09,17.7,0.1,10
PVT,19.26,21.14,0.1,10
PVI,35.19,38.68,0.1,10
PRT,13.43,14.82,0.1,10
PLC,31.14,34.12,0.1,10
PHC,16.47,18.11,0.1,10
NS2,8.07,8.86,0.1,10
NKG,26.55,29.32,0.1,10
L40,33.0,36.3,0.1,10
KVC,3.1,3.4,0.1,10
IDJ,11.64,12.77,0.1,10
DSG,5.2,5.7,0.1,10
CLM,22.01,24.17,0.1,10
CEN,10.57,11.64,0.1,10
ABS,17.57,19.32,0.1,10
VDL,19.0,20.7,0.09,9
TV2,32.56,35.46,0.09,9
TLG,37.04,40.47,0.09,9
SKG,11.4,12.4,0.09,9
SIC,14.0,15.3,0.09,9
PHP,28.01,30.57,0.09,9
PGV,18.66,20.32,0.09,9
PET,21.59,23.45,0.09,9
MBG,5.81,6.35,0.09,9
L35,4.3,4.7,0.09,9
KDM,7.5,8.2,0.09,9
KBC,27.0,29.55,0.09,9
IHK,28.87,31.53,0.09,9
HT1,17.56,19.07,0.09,9
HOM,5.4,5.9,0.09,9
GVR,32.78,35.85,0.09,9
GSP,12.0,13.1,0.09,9
G36,11.0,12.0,0.09,9
FID,3.3,3.6,0.09,9
DRI,11.15,12.19,0.09,9
DRC,28.84,31.43,0.09,9
DDN,16.29,17.71,0.09,9
CNG,22.23,24.19,0.09,9
CKG,18.82,20.45,0.09,9
CCR,22.76,24.91,0.09,9
ASM,9.63,10.46,0.09,9
XLV,8.06,8.74,0.08,8
VPS,14.21,15.41,0.08,8
TTN,9.46,10.23,0.08,8
TTA,12.31,13.24,0.08,8
TNH,30.4,32.8,0.08,8
SHE,12.15,13.08,0.08,8
SGP,34.2,36.93,0.08,8
PWA,10.5,11.3,0.08,8
PLP,9.8,10.54,0.08,8
NHA,19.53,21.18,0.08,8
LIG,7.14,7.71,0.08,8
ILS,16.6,17.9,0.08,8
HLB,150.27,162.03,0.08,8
GMD,46.14,49.85,0.08,8
GIC,19.02,20.54,0.08,8
FRT,25.11,27.17,0.08,8
DXP,18.98,20.56,0.08,8
DVN,22.92,24.77,0.08,8
DMC,47.91,51.74,0.08,8
DHD,18.25,19.67,0.08,8
BWE,36.03,38.86,0.08,8
ANV,26.89,29.15,0.08,8
AAT,15.96,17.29,0.08,8
VNX,46.92,50.16,0.07,7
VNE,7.45,7.98,0.07,7
UIC,59.3,63.17,0.07,7
UDC,6.88,7.36,0.07,7
TTL,8.22,8.8,0.07,7
SZC,41.34,44.31,0.07,7
SSC,41.56,44.44,0.07,7
SMC,35.05,37.56,0.07,7
SED,16.79,18.01,0.07,7
RGC,10.8,11.6,0.07,7
PSB,6.0,6.4,0.07,7
PPC,20.79,22.31,0.07,7
OGC,5.4,5.77,0.07,7
OCH,7.1,7.6,0.07,7
NDN,17.35,18.64,0.07,7
MST,14.46,15.5,0.07,7
MSN,104.89,112.24,0.07,7
LAI,19.9,21.23,0.07,7
L10,14.18,15.15,0.07,7
HTM,21.0,22.5,0.07,7
HRC,58.9,63.0,0.07,7
HDW,12.03,12.92,0.07,7
