country,requirement
Pakistan,eTA/30 days
South Korea,eTA/30 days
Sri Lanka,eTA/30 days
Albania,eVisa
Australia,eVisa
Bahrain,eVisa
Bhutan,eVisa
Burkina Faso,eVisa
Colombia,eVisa
Djibouti,eVisa
Japan,eVisa
Kazakhstan,eVisa
Moldova,eVisa
Mongolia,eVisa
Myanmar [Burma],eVisa
Sao Tome and Principe,eVisa
South Sudan,eVisa
Uganda,eVisa
Uzbekistan,eVisa
Azerbaijan,eVisa/30 days
India,eVisa/30 days
Iran,eVisa/30 days
Papua New Guinea,eVisa/30 days
Congo (Dem. Rep.),eVisa/90 days
Ethiopia,eVisa/90 days
Guinea,eVisa/90 days
Türkiye,eVisa/90 days
Qatar,free visa on arrival/30 days
Cote d'Ivoire (Ivory Coast),pre-enrollment/90 days
Cuba,tourist card/30 days
Seychelles,tourist registration/90 days
Mauritania,visa on arrival
Nigeria,visa on arrival
Cape Verde,visa on arrival (EASE)
Armenia,visa on arrival / eVisa/120 days
Cambodia,visa on arrival / eVisa/30 days
Egypt,visa on arrival / eVisa/30 days
Indonesia,visa on arrival / eVisa/30 days
Kyrgyzstan,visa on arrival / eVisa/30 days
Laos,visa on arrival / eVisa/30 days
Oman,visa on arrival / eVisa/30 days
Rwanda,visa on arrival / eVisa/30 days
Tajikistan,visa on arrival / eVisa/45 days
Bolivia,visa on arrival / eVisa/90 days
Madagascar,visa on arrival / eVisa/90 days
Togo,visa on arrival/15 days
Nepal,visa on arrival/150 days
Burundi,visa on arrival/30 days
Ghana,visa on arrival/30 days
Jordan,visa on arrival/30 days
Maldives,visa on arrival/30 days
Palau,visa on arrival/30 days
Senegal,visa on arrival/30 days
Sierra Leone,visa on arrival/30 days
Somalia,visa on arrival/30 days
Timor-Leste,visa on arrival/30 days
Tuvalu,visa on arrival/30 days
Comoros,visa on arrival/45 days
Marshall Islands,visa on arrival/90 days
Samoa,visa on arrival/90 days
Afghanistan,visa required
Algeria,visa required
Andorra,visa required
Austria,visa required
Bangladesh,visa required
Belarus,visa required
Belgium,visa required
Bosnia and Herzegovina,visa required
Brunei,visa required
Bulgaria,visa required
Cameroon,visa required
Canada,visa required
Central African Republic,visa required
Chad,visa required
China,visa required
Congo,visa required
Croatia,visa required
Cyprus,visa required
Czech Republic,visa required
Denmark,visa required
Equatorial Guinea,visa required
Eritrea,visa required
Estonia,visa required
Finland,visa required
France,visa required
Germany,visa required
Greece,visa required
Guinea-Bissau,visa required
Hungary,visa required
Iceland,visa required
Iraq,visa required
Italy,visa required
Kiribati,visa required
Kuwait,visa required
Latvia,visa required
Lebanon,visa required
Liberia,visa required
Libya,visa required
Liechtenstein,visa required
Lithuania,visa required
Luxembourg,visa required
Mali,visa required
Malta,visa required
Mexico,visa required
Monaco,visa required
Montenegro,visa required
Morocco,visa required
Nauru,visa required
Netherlands,visa required
New Zealand,visa required
Niger,visa required
North Korea,visa required
North Macedonia,visa required
Norway,visa required
Poland,visa required
Portugal,visa required
Romania,visa required
San Marino,visa required
Saudi Arabia,visa required
Serbia,visa required
Slovakia,visa required
Slovenia,visa required
Solomon Islands,visa required
Spain,visa required
Sudan,visa required
Sweden,visa required
Switzerland,visa required
Syria,visa required
Taiwan,visa required
Tonga,visa required
Turkmenistan,visa required
Ukraine,visa required
United Arab Emirates,visa required
United Kingdom,visa required
United States of America,visa required
Vatican City,visa required
Viet Nam,visa required
Yemen,visa required
Belize,visa-free
Dominican Republic,visa-free
Jamaica,visa-free
Lesotho,visa-free
Mozambique,visa-free
Palestinian Territories,visa-free
Fiji,visa-free/120 days
Antigua and Barbuda,visa-free/180 days
Barbados,visa-free/180 days
Dominica,visa-free/180 days
Peru,visa-free/180 days
Angola,visa-free/30 days
Eswatini,visa-free/30 days
Gabon,visa-free/30 days
Guyana,visa-free/30 days
Hong Kong,visa-free/30 days
Kenya,visa-free/30 days
Macao,visa-free/30 days
Micronesia,visa-free/30 days
Philippines,visa-free/30 days
Singapore,visa-free/30 days
Thailand,visa-free/30 days
Vanuatu,visa-free/30 days
Georgia,visa-free/360 days
Saint Lucia,visa-free/42 days
Argentina,visa-free/90 days
Bahamas,visa-free/90 days
Benin,visa-free/90 days
Botswana,visa-free/90 days
Brazil,visa-free/90 days
Chile,visa-free/90 days
Costa Rica,visa-free/90 days
Ecuador,visa-free/90 days
El Salvador,visa-free/90 days
Gambia,visa-free/90 days
Grenada,visa-free/90 days
Guatemala,visa-free/90 days
Haiti,visa-free/90 days
Honduras,visa-free/90 days
Ireland,visa-free/90 days
Israel,visa-free/90 days
Kosovo,visa-free/90 days
Malawi,visa-free/90 days
Malaysia,visa-free/90 days
Mauritius,visa-free/90 days
Namibia,visa-free/90 days
Nicaragua,visa-free/90 days
Panama,visa-free/90 days
Paraguay,visa-free/90 days
Russian Federation,visa-free/90 days
Saint Kitts and Nevis,visa-free/90 days
St. Vincent and the Grenadines,visa-free/90 days
Suriname,visa-free/90 days
Tanzania,visa-free/90 days
Trinidad and Tobago,visa-free/90 days
Tunisia,visa-free/90 days
Uruguay,visa-free/90 days
Venezuela,visa-free/90 days
Zambia,visa-free/90 days
Zimbabwe,visa-free/90 days
