state,no,name,gender,party,start,end
Texas,1,James Pinckney Henderson,male,Democratic,,
Texas,2,George T. Wood,male,Democratic,,
Texas,3,Peter Hansborough Bell,male,Democratic,,
Texas,4,James W. Henderson,male,Democratic,,
Texas,5,Elisha M. Pease,male,Unionist,,
Texas,6,Hardin R. Runnels,male,Democratic,,
Texas,7,Sam Houston,male,Independent,,
Texas,8,Edward Clark,male,Democratic,,
Texas,9,Francis Lubbock,male,Democratic,,
Texas,10,Pendleton Murrah,male,Democratic,,
Texas,11,Andrew Jackson Hamilton,male,Democratic,,
Texas,12,James W. Throckmorton,male,Democratic,,
Texas,13,Elisha M. Pease,male,Republican,,
Texas,14,Edmund J. Davis,male,Republican,,
Texas,15,Richard Coke,male,Democratic,,
Texas,16,Richard B. Hubbard,male,Democratic,,
Texas,17,Oran Milo Roberts,male,Democratic,,
Texas,18,John Ireland,male,Democratic,,
Texas,19,"Lawrence Sullivan ""Sul"" Ross",male,Democratic,,
Texas,20,Jim Hogg,male,Democratic,,
Texas,21,Charles A. Culberson,male,Democratic,,
Texas,22,Joseph D. Sayers,male,Democratic,,
Texas,23,S. W. T. Lanham,male,Democratic,,
Texas,24,Thomas Mitchell Campbell,male,Democratic,,
Texas,25,Oscar Branch Colquitt,male,Democratic,,
Texas,26,"James E. ""Pa"" Ferguson",male,Democratic,,
Texas,27,William P. Hobby,male,Democratic,,
Texas,28,Pat Morris Neff,male,Democratic,,
Texas,29,"Miriam A. ""Ma"" Ferguson",female,Democratic,,
Texas,30,Dan Moody,male,Democratic,,
Texas,31,Ross S. Sterling,male,Democratic,,
Texas,32,"Miriam A. ""Ma"" Ferguson",female,Democratic,,
Texas,33,James V. Allred,male,Democratic,,
Texas,34,"Wilbert Lee ""Pappy"" O'Daniel",male,Democratic,,
Texas,35,Coke R. Stevenson,male,Democratic,,
Texas,36,Beauford H. Jester,male,Democratic,,
Texas,37,Allan Shivers,male,Democratic,,
Texas,38,Price Daniel,male,Democratic,,
Texas,39,John Connally,male,Democratic,,
Texas,40,Preston Smith,male,Democratic,,
Texas,41,Dolph Briscoe,male,Democratic,,
Texas,42,Bill Clements,male,Republican,,
Texas,43,Mark White,male,Democratic,,
Texas,44,Bill Clements,male,Republican,,
Texas,45,Ann Richards,female,Democratic,,
Texas,46,George W. Bush,male,Republican,,
Texas,47,Rick Perry,male,Republican,,
Texas,48,Greg Abbott,male,Republican,,
