cca3,name,timeZone,utcOffset
AND,Andorra,Europe/Andorra,UTC+02:00
ARE,United Arab Emirates,Asia/Dubai,UTC+04:00
AFG,Afghanistan,Asia/Kabul,UTC+04:30
ATG,Antigua and Barbuda,America/Antigua,UTC-04:00
AIA,Anguilla,America/Anguilla,UTC-04:00
ALB,Albania,Europe/Tirane,UTC+02:00
ARM,Armenia,Asia/Yerevan,UTC+04:00
AGO,Angola,Africa/Luanda,UTC+01:00
ATA,Antarctica,Antarctica/Casey,UTC+11:00
ATA,Antarctica,Antarctica/Davis,UTC+07:00
ATA,Antarctica,Antarctica/DumontDUrville,UTC+10:00
ATA,Antarctica,Antarctica/Mawson,UTC+05:00
ATA,Antarctica,Antarctica/McMurdo,UTC+12:00
ATA,Antarctica,Antarctica/Palmer,UTC-03:00
ATA,Antarctica,Antarctica/Rothera,UTC-03:00
ATA,Antarctica,Antarctica/Syowa,UTC+03:00
ATA,Antarctica,Antarctica/Troll,UTC+02:00
ATA,Antarctica,Antarctica/Vostok,UTC+06:00
ARG,Argentina,America/Argentina/Buenos_Aires,UTC-03:00
ARG,Argentina,America/Argentina/Catamarca,UTC-03:00
ARG,Argentina,America/Argentina/Cordoba,UTC-03:00
ARG,Argentina,America/Argentina/Jujuy,UTC-03:00
ARG,Argentina,America/Argentina/La_Rioja,UTC-03:00
ARG,Argentina,America/Argentina/Mendoza,UTC-03:00
ARG,Argentina,America/Argentina/Rio_Gallegos,UTC-03:00
ARG,Argentina,America/Argentina/Salta,UTC-03:00
ARG,Argentina,America/Argentina/San_Juan,UTC-03:00
ARG,Argentina,America/Argentina/San_Luis,UTC-03:00
ARG,Argentina,America/Argentina/Tucuman,UTC-03:00
ARG,Argentina,America/Argentina/Ushuaia,UTC-03:00
ASM,American Samoa,Pacific/Pago_Pago,UTC-11:00
AUT,Austria,Europe/Vienna,UTC+02:00
AUS,Australia,Antarctica/Macquarie,UTC+10:00
AUS,Australia,Australia/Adelaide,UTC+09:30
AUS,Australia,Australia/Brisbane,UTC+10:00
AUS,Australia,Australia/Broken_Hill,UTC+09:30
AUS,Australia,Australia/Darwin,UTC+09:30
AUS,Australia,Australia/Eucla,UTC+08:45
AUS,Australia,Australia/Hobart,UTC+10:00
AUS,Australia,Australia/Lindeman,UTC+10:00
AUS,Australia,Australia/Lord_Howe,UTC+10:30
AUS,Australia,Australia/Melbourne,UTC+10:00
AUS,Australia,Australia/Perth,UTC+08:00
AUS,Australia,Australia/Sydney,UTC+10:00
ABW,Aruba,America/Aruba,UTC-04:00
ALA,Åland Islands,Europe/Mariehamn,UTC+03:00
AZE,Azerbaijan,Asia/Baku,UTC+04:00
BIH,Bosnia and Herzegovina,Europe/Sarajevo,UTC+02:00
BRB,Barbados,America/Barbados,UTC-04:00
BGD,Bangladesh,Asia/Dhaka,UTC+06:00
BEL,Belgium,Europe/Brussels,UTC+02:00
BFA,Burkina Faso,Africa/Ouagadougou,UTC
BGR,Bulgaria,Europe/Sofia,UTC+03:00
BHR,Bahrain,Asia/Bahrain,UTC+03:00
BDI,Burundi,Africa/Bujumbura,UTC+02:00
BEN,Benin,Africa/Porto-Novo,UTC+01:00
BLM,Saint Barthélemy,America/St_Barthelemy,UTC-04:00
BMU,Bermuda,Atlantic/Bermuda,UTC-03:00
BRN,Brunei Darussalam,Asia/Brunei,UTC+08:00
BOL,"Bolivia, Plurinational State of",America/La_Paz,UTC-04:00
BES,"Bonaire, Sint Eustatius and Saba",America/Kralendijk,UTC-04:00
BRA,Brazil,America/Araguaina,UTC-03:00
BRA,Brazil,America/Bahia,UTC-03:00
BRA,Brazil,America/Belem,UTC-03:00
BRA,Brazil,America/Boa_Vista,UTC-04:00
BRA,Brazil,America/Campo_Grande,UTC-04:00
BRA,Brazil,America/Cuiaba,UTC-04:00
BRA,Brazil,America/Eirunepe,UTC-05:00
BRA,Brazil,America/Fortaleza,UTC-03:00
BRA,Brazil,America/Maceio,UTC-03:00
BRA,Brazil,America/Manaus,UTC-04:00
BRA,Brazil,America/Noronha,UTC-02:00
BRA,Brazil,America/Porto_Velho,UTC-04:00
BRA,Brazil,America/Recife,UTC-03:00
BRA,Brazil,America/Rio_Branco,UTC-05:00
BRA,Brazil,America/Santarem,UTC-03:00
BRA,Brazil,America/Sao_Paulo,UTC-03:00
BHS,Bahamas,America/Nassau,UTC-04:00
BTN,Bhutan,Asia/Thimphu,UTC+06:00
BWA,Botswana,Africa/Gaborone,UTC+02:00
