year,host_city,host_country,champion,runner_up
1948,The Hague;Moscow,Netherlands;Soviet Union,Mikhail Botvinnik,Vasily Smyslov
1951,Moscow,Soviet Union,Mikhail Botvinnik,David Bronstein
1954,Moscow,Soviet Union,Mikhail Botvinnik,Vasily Smyslov
1957,Moscow,Soviet Union,Vasily Smyslov,Mikhail Botvinnik
1958,Moscow,Soviet Union,Mikhail Botvinnik,Vasily Smyslov
1960,Moscow,Soviet Union,Mikhail Tal,Mikhail Botvinnik
1961,Moscow,Soviet Union,Mikhail Botvinnik,Mikhail Tal
1963,Moscow,Soviet Union,Tigran Petrosian,Mikhail Botvinnik
1966,Moscow,Soviet Union,Tigran Petrosian,Boris Spassky
1969,Moscow,Soviet Union,Boris Spassky,Tigran Petrosian
1972,Reykjavík,Iceland,Bobby Fischer,Boris Spassky
1975,Manila,Philippines,Anatoly Karpov,Bobby Fischer
1978,Baguio,Philippines,Anatoly Karpov,Viktor Korchnoi
1981,Merano,Italy,Anatoly Karpov,Viktor Korchnoi
1985,Moscow,Soviet Union,Garry Kasparov,Anatoly Karpov
1986,London;Leningrad,United Kingdom;Soviet Union,Garry Kasparov,Anatoly Karpov
1987,Seville,Spain,Garry Kasparov,Anatoly Karpov
1990,New York City;Lyon,United States;France,Garry Kasparov,Anatoly Karpov
1993,Zwolle;Arnhem;Amsterdam;Jakarta,Netherlands;Indonesia,Anatoly Karpov,Jan Timman
1996,Elista,Russia,Anatoly Karpov,Gata Kamsky
1998,Groningen;Lausanne,Netherlands;Switzerland,Anatoly Karpov,Viswanathan Anand
1999,"Las Vegas ",United States,Alexander Khalifman,Vladimir Akopian
2000,New Delhi;Tehran,India;Iran,Viswanathan Anand,Alexei Shirov
2002,Moscow,Russia,Ruslan Ponomariov,Vasyl Ivanchuk
2004,"Tripoli ",Libya,Rustam Kasimdzhanov,Michael Adams
2005,Potrero de los Funes;San Luis,Argentina,Veselin Topalov,Viswanathan Anand
2006,Elista,Russia,Vladimir Kramnik,Veselin Topalov
2007,Mexico City,Mexico,Viswanathan Anand,Vladimir Kramnik
2008,Bonn,Germany,Viswanathan Anand,Vladimir Kramnik
2010,Sofia,Bulgaria,Viswanathan Anand,Veselin Topalov
2012,Moscow,Russia,Viswanathan Anand,Boris Gelfand
2013,Chennai,India,Magnus Carlsen,Viswanathan Anand
2014,Sochi,Russia,Magnus Carlsen,Viswanathan Anand
2016,New York City,United States,Magnus Carlsen,Sergey Karjakin
2018,London,United Kingdom,Magnus Carlsen,Fabiano Caruana
2021,Dubai,United Arab Emirates,Magnus Carlsen,Ian Nepomniachtchi
2023,Astana,Kazakhstan,Ding Liren,Ian Nepomniachtchi
