state,no,name,party,start,end
Hawaii,1,William F. Quinn,Republican,21-08-1959,03-12-1962
Hawaii,2,John A. Burns,Democratic,03-12-1962,02-12-1974
Hawaii,3,George Ariyoshi,Democratic,02-12-1974,01-12-1986
Hawaii,4,John D. Waihe'e III,Democratic,01-12-1986,05-12-1994
Hawaii,5,Ben Cayetano,Democratic,05-12-1994,02-12-2002
Hawaii,6,Linda Lingle,Republican,02-12-2002,06-12-2010
Hawaii,7,Neil Abercrombie,Democratic,06-12-2010,01-12-2014
Hawaii,8,David Ige,Democratic,01-12-2014,05-12-2022
Hawaii,9,Josh Green,Democratic,05-12-2022,incumbent
