uuid,symbol,name,color,iconUrl,marketCap,price,listedAt,tier,change,rank,sparkline,lowVolume,coinrankingUrl,24hVolume,btcPrice
Qwsogvtv82FCd,BTC,Bitcoin,#f7931A,https://cdn.coinranking.com/bOabBYkcX/bitcoin_btc.svg,667100377320,34169.10986779995,1330214400,1,0.04,1,"['34175.372074059895', '34333.67797613977', '34523.97855132789', '34571.28179054264', '34437.111494392775', '34301.45775052533', '34016.00891778816', '33915.69343903845', '33946.10886783587', '33731.904413854645', '33771.985912521006', '33797.41866602753', '33689.94767160247', '34027.25793253667', '33990.41184449124', '33921.569284899975', '34160.19448141798', '34114.88180481207', '34034.206510677795', '34056.612598647596', '34079.46212381165', '34121.389117508705', '34058.41464652388', '33945.08399999582']",False,https://coinranking.com/coin/Qwsogvtv82FCd+bitcoin-btc,30909769629,1
razxDUgYGNAdQ,ETH,Ethereum,#3C3C3D,https://cdn.coinranking.com/rk4RKHOuW/eth.svg,216832035511,1776.4734633312396,1438905600,1,-2.34,2,"['1820.6558780963112', '1824.9266843630853', '1829.599995370455', '1843.0952741188528', '1829.5044467485404', '1820.0323593944495', '1802.0687933181705', '1784.4121693444756', '1783.7812383601954', '1772.237295450467', '1776.6344736049552', '1777.1787243522635', '1773.7394909261368', '1783.8491639522156', '1788.469678021848', '1786.0861679127167', '1796.7788049148962', '1795.3172225234941', '1791.45485529569', '1789.8544415494855', '1788.255972090739', '1787.7475011282347', '1781.4828346654588', '1771.9288022200594']",False,https://coinranking.com/coin/razxDUgYGNAdQ+ethereum-eth,18812215200,0.05199062750549848
HIVsRcGKkPFtW,USDT,Tether USD,#22a079,https://cdn.coinranking.com/mgHqwlCLj/usdt.svg,84085723981,0.9979709294816496,1420761600,1,-0.04,3,"['0.9983038582008793', '0.9985496214147297', '0.9982182612887297', '0.9985148104573273', '1.000065495691956', '0.9998481302889266', '1.0023353942131386', '0.9995112814652806', '1.000049745675933', '1.001119097690946', '0.9994082426727333', '0.9996093318328227', '1.0001947867067653', '0.9981740390768624', '1.0008436625569166', '1.0005392933758543', '0.9984522190950108', '1.0006274456571989', '1.0008712901158237', '1.000124121079401', '1.0005609764221108', '1.0003476638913669', '1.001960227157754', '1.0015211260787138']",False,https://coinranking.com/coin/HIVsRcGKkPFtW+tetherusd-usdt,44899874464,0.000029206816722554
WcwrkfNI4FUAe,BNB,BNB,#e8b342,https://cdn.coinranking.com/B1N19L_dZ/bnb.svg,34025556920,225.64070181982598,1503014400,1,-1.23,4,"['228.79295943128645', '229.68752403915474', '230.52279677553568', '231.8881573414406', '230.65870440036076', '229.55897496783248', '227.38038294532652', '224.77727324164258', '225.01300820128776', '224.55937926701958', '225.3127753920562', '225.2485201220902', '224.32651023016908', '225.68427923123727', '226.1585293716484', '225.96064599208563', '227.79874027054237', '227.690216105544', '228.1989075125957', '227.08856931560075', '227.4737682996394', '227.15459200835127', '226.10918289864256', '225.0525425653498']",False,https://coinranking.com/coin/WcwrkfNI4FUAe+bnb-bnb,688883358,0.006603645886381832
-l8Mn2pVlRs-p,XRP,XRP,#000000,https://cdn.coinranking.com/B1oPuTyfX/xrp.svg,29359996148,0.5493905634873049,1421798400,1,0.42,5,"['0.546730116218415', '0.5478808433588493', '0.5504139711717636', '0.5672737941374161', '0.5716984507967675', '0.5741098630178607', '0.5653699576228725', '0.5567738248723915', '0.5558671099284274', '0.5528686480715713', '0.5598263834583164', '0.5589781697884053', '0.556635002500354', '0.5611695727609948', '0.5599225077396418', '0.5558932413247607', '0.5586018955692602', '0.5569814950804385', '0.5540753399162237', '0.5549636250405646', '0.5535833927024055', '0.5514377486569579', '0.5489802410647463', '0.5459267937714529']",False,https://coinranking.com/coin/-l8Mn2pVlRs-p+xrp-xrp,2432495139,0.000016078574057472
aKzUVe4Hh_CON,USDC,USDC,#7894b4,https://cdn.coinranking.com/jkDf8sQbY/usdc.svg,25023374301,0.9984886645114207,1539043200,1,-0.01,6,"['0.9982174453548357', '0.9988426602216571', '0.9987099043005555', '0.9990505714619542', '1.0004390825969058', '0.9996984850936355', '1.0019989115561394', '0.9991152947193754', '0.9996976621854446', '1.0005750646366418', '0.9989719555811805', '0.9990259190560996', '0.9996925370156379', '0.9980169052418847', '1.0008181860573937', '1.0005426286370258', '0.9986977195988247', '1.0007514052269615', '1.0008520209453036', '1.0000692616426259', '1.0005132815139033', '1.0001426993556852', '1.0018276584194166', '1.0012480446172414']",False,https://coinranking.com/coin/aKzUVe4Hh_CON+usdc-usdc,9706297078,0.000029221968859434
zNZHO_Sjf,SOL,Solana,#000,https://cdn.coinranking.com/yvUG4Qex5/solana.svg,13266156415,31.74763378741356,1586539320,1,1.05,7,"['31.47440480317679', '31.619833632281924', '31.698694151738046', '31.890109204732735', '31.580949160273857', '31.504603950269857', '31.557923880112366', '30.86115338710503', '30.755895014775298', '30.464221512052646', '30.581109986073496', '30.487860925994593', '30.0358495298082', '30.09112474570294', '30.253258604865604', '30.36835463007552', '31.614623260367768', '31.246095542590886', '31.167633590146814', '31.170165321340217', '31.412429140037123', '31.6380020289986', '31.32280444690125', '31.159915202887895']",False,https://coinranking.com/coin/zNZHO_Sjf+solana-sol,1330235660,0.000929132596963893
qzawljRxB5bYu,ADA,Cardano,#3cc8c8,https://cdn.coinranking.com/ryY28nXhW/ada.svg,10197743937,0.2810084813469359,1506902400,1,-0.25,8,"['0.28202915674496515', '0.28370430848934397', '0.2842173484956503', '0.28895643131874216', '0.28856563297456655', '0.2873253589098354', '0.28303642306764043', '0.27845055895328774', '0.2782827166584539', '0.27686734928699425', '0.2784189647768587', '0.27779303653384585', '0.2765907994981732', '0.27907474174333113', '0.2796679022282248', '0.27994595564850683', '0.28332445223190184', '0.28156899169547744', '0.28090561345987086', '0.2808993429699912', '0.2814565414986462', '0.28204999434263794', '0.2808803422020587', '0.27854425554528645']",False,https://coinranking.com/coin/qzawljRxB5bYu+cardano-ada,325874500,0.000008224050390372
a91GCGd_u96cF,DOGE,Dogecoin,#c2a633,https://cdn.coinranking.com/H1arXIuOZ/doge.svg,9275522442,0.06573307581627923,1391212800,1,-1.65,9,"['0.06684976702416986', '0.06728196847587022', '0.06733772085361077', '0.06842686246826309', '0.06801270814194868', '0.06761642632586991', '0.06666758722954207', '0.06597396505938286', '0.06610146384130167', '0.06578404704952749', '0.06642387209349343', '0.06647758046230123', '0.0660012369773276', '0.0667122716027217', '0.06673796012677306', '0.06643657196578069', '0.06676456013226992', '0.06632453767131975', '0.06607841444491991', '0.06603535368168874', '0.06600164585423438', '0.06612627021918081', '0.06578843914116048', '0.0653569765622917']",False,https://coinranking.com/coin/a91GCGd_u96cF+dogecoin-doge,506802923,0.000001923757337273
qUhEFk1I61atv,TRX,TRON,#eb0029,https://cdn.coinranking.com/behejNqQs/trx.svg,8300014525,0.09278730699025763,1505260800,1,-0.15,10,"['0.09287831237870026', '0.0930169483258376', '0.09317528358454083', '0.0934669570771831', '0.09327771470906401', '0.0931447552148857', '0.09291461626653143', '0.09232396858033227', '0.09244750928266626', '0.09226497315927426', '0.09226034411383585', '0.09220787932869084', '0.09213293290286348', '0.09215788746807269', '0.09246743063433073', '0.09262358466584723', '0.09264009838465449', '0.09269127737615677', '0.09265858329103917', '0.09271708516226032', '0.0928691056816356', '0.09311202830225403', '0.09301252436159423', '0.09276393546059744']",False,https://coinranking.com/coin/qUhEFk1I61atv+tron-trx,359896792,0.000002715531875113
CiixT63n3,wstETH,Wrapped liquid staked Ether 2.0,#70b9dc,https://cdn.coinranking.com/LQg69oxqx/wstETH.PNG,6481668034,2029.6901540171762,1638756833,1,-2.45,11,"['2080.5725577079174', '2086.7826793825525', '2091.0381746779167', '2106.781243483386', '2092.8502015173312', '2082.0666503158022', '2064.4866052066986', '2040.1554333491', '2040.6823528412292', '2027.4924662321591', '2030.7846714303826', '2031.887493486817', '2027.6119064542795', '2038.5887065104787', '2045.5005977734445', '2041.7359524681622', '2053.395157890617', '2053.485530145188', '2049.3161638320403', '2046.3245633951465', '2045.6748588097087', '2044.0486832533554', '2039.6570302135917', '2026.5274306851597']",False,https://coinranking.com/coin/CiixT63n3+wrappedliquidstakedether20-wsteth,45390220,0.05940131779464064
VLqpJwogdhHNb,LINK,Chainlink,#2c5cdc,https://cdn.coinranking.com/9NOP9tOem/chainlink.svg,6153575716,11.050688771372219,1505952000,1,6.27,12,"['10.365154310639207', '10.424918190706231', '10.433411888251808', '10.427193647517583', '10.309826769718526', '10.254955850515055', '10.067419931775502', '9.97775800400168', '9.993366777122088', '9.942096975687713', '10.01438043352763', '10.001457595403089', '10.0279831037281', '10.132396876365418', '10.375026348984225', '10.546898452084662', '11.312468534495672', '11.34634814132138', '11.351594056775538', '11.427853192869883', '11.484322401322737', '11.467055026799937', '11.19823452208535', '10.876803184907216']",False,https://coinranking.com/coin/VLqpJwogdhHNb+chainlink-link,1244444127,0.00032341166668161
Mtfb0obXVh59u,WETH,Wrapped Ether,#303030,https://cdn.coinranking.com/KIviQyZlt/weth.svg,6044073265,1776.6514368485896,1600259445,1,-2.31,13,"['1818.8818377456455', '1828.2899245659698', '1831.9385303684187', '1843.1685456076636', '1833.3313176727424', '1820.483032986469', '1809.445980449597', '1783.0095193867996', '1786.623985251937', '1775.1723009981913', '1775.1357320754153', '1777.375593793968', '1773.4643911845876', '1782.995064621503', '1790.039113737036', '1783.7816714496478', '1796.311868021257', '1799.289346012853', '1790.3579359608439', '1788.5134323518107', '1788.954033683142', '1782.9715863411702', '1785.2988582257797', '1772.4702597247463']",False,https://coinranking.com/coin/Mtfb0obXVh59u+wrappedether-weth,334598813,0.051995836114035215
uW2tk-ILY0ii,MATIC,Polygon,#8247e5,https://cdn.coinranking.com/M-pwilaq-/polygon-matic-logo.svg,5817335010,0.6248612340902577,1558961160,1,-2.94,14,"['0.6434486853357682', '0.6471683451123306', '0.6512413399284395', '0.6565363379143297', '0.6558369878693846', '0.6470400025663359', '0.6370671524982378', '0.6267546718405732', '0.6287728019225709', '0.625157536615799', '0.6267923261980968', '0.624731237916814', '0.6213003443652908', '0.6246103444925262', '0.6261186260811026', '0.6259385265967734', '0.6368438214114195', '0.6368546536221499', '0.634805178111977', '0.635577894306102', '0.6360332754958515', '0.6335169489873058', '0.6272609713995547', '0.6194953897536504']",False,https://coinranking.com/coin/uW2tk-ILY0ii+polygon-matic,435277307,0.000018287313790375
x4WXHge-vvFY,WBTC,Wrapped BTC,#000000,https://cdn.coinranking.com/o3-8cvCHu/wbtc[1].svg,5798545795,34092.92552539323,1549894980,1,0.01,15,"['34131.35071305207', '34272.485882912326', '34457.94914598175', '34526.65424447737', '34407.96381102555', '34265.77848968475', '34010.41531306376', '33865.11481347178', '33911.98163030095', '33720.904412590484', '33752.30223330803', '33760.144264533454', '33658.42601709062', '33991.755413199644', '34010.629904306516', '33924.53931691336', '34149.84648002967', '34129.452581243', '34056.58298557621', '34052.03694497526', '34083.10925279906', '34102.87018620563', '34057.11924959584', '33946.84532290645']",False,https://coinranking.com/coin/x4WXHge-vvFY+wrappedbtc-wbtc,37658677,0.9977703738054202
25W7FG7om,DOT,Polkadot,#E6007A,https://cdn.coinranking.com/V3NSSybv-/polkadot-dot.svg,5526607428,4.209230461555955,1598365200,1,-1.73,16,"['4.272738620529297', '4.286886344954607', '4.279720977197754', '4.324061849784718', '4.31702344953317', '4.280075475961309', '4.223384924816474', '4.186780512740863', '4.192066055101924', '4.170581942259902', '4.184252287793849', '4.177744218772606', '4.161568688405589', '4.194168472302194', '4.195001215917273', '4.190107473853345', '4.249223344355095', '4.230971936448038', '4.214659544878277', '4.220296992511198', '4.234330353473412', '4.237343555227941', '4.215798385135539', '4.182415851216776']",False,https://coinranking.com/coin/25W7FG7om+polkadot-dot,274495642,0.000123188180138184
D7B1x_ks7WhV5,LTC,Litecoin,#345d9d,https://cdn.coinranking.com/BUvPxmc9o/ltcnew.svg,5071893960,68.83632281939056,1382572800,1,-1.05,17,"['69.60993050385191', '69.82771971060289', '69.81951240788919', '70.67278271839986', '70.55218794503853', '70.38090667060479', '69.49634246490942', '68.53680914028865', '68.55089640903695', '68.25028429496749', '68.53648916987966', '68.53222859316266', '68.26264763465528', '68.70286660971813', '69.06777977800412', '69.20140973279933', '70.03653837416051', '69.86382631776135', '69.57621378214127', '69.56046566064033', '69.52182133263882', '69.5078638266923', '69.05443978313488', '68.40262588172173']",False,https://coinranking.com/coin/D7B1x_ks7WhV5+litecoin-ltc,640282637,0.002014577584423997
ZlZpzOJo43mIo,BCH,Bitcoin Cash,#8dc451,https://cdn.coinranking.com/By8ziihX7/bch.svg,4863718896,254.22702582953434,1541808000,1,-1.66,18,"['258.59078799703224', '258.6361547635206', '259.9175811116811', '261.72077719012606', '258.45375284989126', '258.30701541244974', '254.89298702923597', '251.25036857609985', '251.69664038605427', '250.76837584159492', '251.8952817489616', '251.15613286320522', '249.50404767169536', '251.40338361136347', '252.26832575908753', '252.58249624779245', '255.96305482704835', '254.1221250818223', '253.1316515824747', '253.06156532906158', '253.19911046238224', '254.2542938257551', '252.87679778679532', '250.88645256779773']",False,https://coinranking.com/coin/ZlZpzOJo43mIo+bitcoincash-bch,275670456,0.007440258959426715
xz24e0BjL,SHIB,Shiba Inu,#fda32b,https://cdn.coinranking.com/fiZ4HfnRR/shib.png,4352680215,0.000007382883323912,1620650373,1,-1.81,19,"['0.000007509028019884', '0.000007536196240207', '0.000007542703692028', '0.000007627632725109', '0.000007593654054685', '0.000007545287559003', '0.000007466655190359', '0.000007380356573823', '0.000007401384620574', '0.0000073535196514', '0.000007387103931338', '0.000007380480785784', '0.000007348578670673', '0.000007415383193298', '0.000007409476212442', '0.000007405920171801', '0.000007480244846075', '0.000007463176006599', '0.000007443051867673', '0.000007425151634437', '0.00000742763591149', '0.000007435141736639', '0.000007388639275067', '0.00000733470395028']",False,https://coinranking.com/coin/xz24e0BjL+shibainu-shib,194199030,2.16068939e-10
MoTuySvg7,DAI,Dai,#ea9999,https://cdn.coinranking.com/mAZ_7LwOE/mutli-collateral-dai.svg,3872562787,0.9990901733370281,1585574040,1,0.00,20,"['0.9983215398251122', '0.9980920759040722', '0.9975627393256764', '0.9982633296963669', '0.99927254998262', '0.999861924888236', '1.000648356218703', '0.9994489310119082', '0.9996670586947187', '1.0011303404949994', '0.9992326035172003', '0.9994502839468978', '1.0010554724860914', '0.998898105222467', '1.00044649445083', '1.0008047235144901', '0.9987847853042149', '1.000305969634279', '1.0008543343306138', '1.0002725873606257', '1.000231786030218', '1.0006914027784692', '1.001479461279052', '1.0016231789571266']",False,https://coinranking.com/coin/MoTuySvg7+dai-dai,79091810,0.000029239572736969
dvUj0CzDZ,AVAX,Avalanche,#e84242,https://cdn.coinranking.com/S0C6Cw2-w/avax-avalanche.png,3679460939,10.364313281481435,1600961596,1,-1.96,21,"['10.560372205730822', '10.604181563757638', '10.576305207070126', '10.686382996780473', '10.675351493724337', '10.630902106545086', '10.473949631352117', '10.273847031152485', '10.306183172201445', '10.229781184730728', '10.283417064403404', '10.272663024721561', '10.23625044015249', '10.353175432313632', '10.346723539673201', '10.311421565546288', '10.465041953048964', '10.448192824020527', '10.42553198044391', '10.431787107466164', '10.474955239930122', '10.49616655684287', '10.417201894955275', '10.270016248944367']",False,https://coinranking.com/coin/dvUj0CzDZ+avalanche-avax,267319910,0.00030332406438391
_H5FVG9iW,UNI,Uniswap,#ff007a,https://cdn.coinranking.com/1heSvUgtl/uniswap-v2.svg?size=48x48,3537099501,4.19638088537978,1600323371,1,-3.43,22,"['4.34485610062608', '4.352540240876355', '4.366743675623132', '4.426270782395674', '4.353702115550398', '4.339643342466791', '4.284527505005736', '4.216962200836731', '4.216035829017513', '4.1782174909793754', '4.18272879711927', '4.173825693719194', '4.148629732685477', '4.183337226607373', '4.223757874739535', '4.216881752125397', '4.301986323836902', '4.291523103290531', '4.287098957190622', '4.290334745541693', '4.2715055663172965', '4.248063530494454', '4.205116779429619', '4.171688133385448']",False,https://coinranking.com/coin/_H5FVG9iW+uniswap-uni,175726158,0.000122812121873106
