code,name,countries,population
eng,English,24,42554818
fra,French,4,871764
smo,Samoan,3,255018
cha,Chamorro,2,226340
hmo,Hiri Motu,1,8947027
tpi,Tok Pisin,1,8947027
mri,Māori,1,5084300
nzs,New Zealand Sign Language,1,5084300
fij,Fijian,1,896444
hif,Fiji Hindi,1,896444
bis,Bislama,1,307150
spa,Spanish,1,168783
gil,Gilbertese,1,119446
ton,Tongan,1,105697
mah,Marshallese,1,59194
cal,Carolinian,1,57557
rar,Cook Islands Māori,1,18100
pau,Palauan,1,18092
tvl,Tuvaluan,1,11792
nau,Nauru,1,10834
pih,Norfuk,1,2302
niu,Niuean,1,1470
tkl,Tokelauan,1,1411
