code,language,countries,population,africa,africa_population,americas,americas_population,antarctic,antarctic_population,asia,asia_population,europe,europe_population,oceania,oceania_population
lin,Lingala,2,179122808,2,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
que,Quechua,2,44644875,0,1427153322,2,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
ron,Romanian,2,21903943,0,1427153322,0,1020976420,0,1430,0,4604594974,2,746934072,0,43119432
srp,Serbian,2,10189039,0,1427153322,0,1020976420,0,1430,0,4604594974,2,746934072,0,43119432
slk,Slovak,2,16157723,0,1427153322,0,1020976420,0,1430,0,4604594974,2,746934072,0,43119432
ssw,Swazi,2,60468854,2,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
swe,Swedish,2,15884161,0,1427153322,0,1020976420,0,1430,0,4604594974,2,746934072,0,43119432
tso,Tsonga,2,74171617,2,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
tur,Turkish,2,85546428,0,1427153322,0,1020976420,0,1430,1,4604594974,1,746934072,0,43119432
tuk,Turkmen,2,46249421,0,1427153322,0,1020976420,0,1430,2,4604594974,0,746934072,0,43119432
ven,Venda,2,74171617,2,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
xho,Xhosa,2,74171617,2,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
sqi,Albanian,1,2837743,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
amh,Amharic,1,114963583,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
arc,Aramaic,1,40222503,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
hye,Armenian,1,2963234,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
bar,Austro-Bavarian German,1,8917205,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
aze,Azerbaijani,1,10110116,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
bel,Belarusian,1,9398861,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
bjz,Belizean Creole,1,397621,0,1427153322,1,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
ben,Bengali,1,164689383,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
ber,Berber,1,36910558,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
bis,Bislama,1,307150,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,1,43119432
bos,Bosnian,1,3280815,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
bul,Bulgarian,1,6927288,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
mya,Burmese,1,54409794,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
cat,Catalan,1,77265,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
bwg,Chibarwe,1,14862927,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
zdj,Comorian,1,869595,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
ces,Czech,1,10698896,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
dan,Danish,1,5831404,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
prs,Dari,1,40218234,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
dzo,Dzongkha,1,771612,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
est,Estonian,1,1331057,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
hif,Fiji Hindi,1,896444,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,1,43119432
fij,Fijian,1,896444,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,1,43119432
fil,Filipino,1,109581085,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
fin,Finnish,1,5530719,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
kat,Georgian,1,3714000,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
gil,Gilbertese,1,119446,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,1,43119432
hat,Haitian Creole,1,11402533,0,1427153322,1,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
heb,Hebrew,1,9216900,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
her,Herero,1,2540916,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
hin,Hindi,1,1380004385,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
hmo,Hiri Motu,1,8947027,0,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,1,43119432
hun,Hungarian,1,9749763,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
isl,Icelandic,1,366425,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
ind,Indonesian,1,273523621,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
gle,Irish,1,4994724,0,1427153322,0,1020976420,0,1430,0,4604594974,1,746934072,0,43119432
jam,Jamaican Patois,1,2961161,0,1427153322,1,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
jpn,Japanese,1,125836021,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
kck,Kalanga,1,14862927,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
kaz,Kazakh,1,18754440,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
khm,Khmer,1,16718971,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
hgm,Khoekhoe,1,2540916,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
khi,Khoisan,1,14862927,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
kin,Kinyarwanda,1,12952209,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
run,Kirundi,1,11890781,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
kwn,Kwangali,1,2540916,1,1427153322,0,1020976420,0,1430,0,4604594974,0,746934072,0,43119432
kir,Kyrgyz,1,6591600,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
lao,Lao,1,7275556,0,1427153322,0,1020976420,0,1430,1,4604594974,0,746934072,0,43119432
