type,color,ace_mode,tm_scope,language
programming,#E8274B,abap,source.abap,ABAP
programming,#882B0F,actionscript,source.actionscript.3,ActionScript
programming,#02f88c,ada,source.ada,Ada
programming,#101F1F,applescript,source.applescript,AppleScript
programming,#0B3D91,assembly_x86,source.agc,Apollo Guidance Computer
programming,#6E4C13,assembly_x86,source.assembly,Assembly
programming,#005daa,assembly_x86,source.m68k,Motorola 68K Assembly
programming,,assembly_x86,source.x86,Unix Assembly
programming,#6594b9,autohotkey,source.ahk,AutoHotkey
programming,#1C3552,autohotkey,source.autoit,AutoIt
programming,#C1F12E,batchfile,source.batchfile,Batchfile
programming,#3B2F63,batchfile,source.procfile,Procfile
programming,#555555,c_cpp,source.c,C
programming,,c_cpp,source.c,DTrace
programming,#ed2e2d,c_cpp,source.c,OpenCL
programming,,c_cpp,source.c,RPC
programming,#4e3617,c_cpp,source.c,Unified Parallel C
programming,,c_cpp,source.c,XS
programming,#B9D9FF,c_cpp,source.c++,AGS Script
programming,#ff0000,c_cpp,source.c++,Asymptote
programming,#f34b7d,c_cpp,source.c++,C++
programming,#71b417,c_cpp,source.c++,Game Maker Language
programming,#8f14e9,c_cpp,source.c++,Metal
programming,,c_cpp,source.c++,SWIG
programming,#111522,c_cpp,source.c.nwscript,NWScript
programming,#3A4E3A,c_cpp,source.cuda-c++,Cuda
programming,#447265,c_cpp,source.dm,DM
programming,#FF6800,c_cpp,source.gsc,GSC
programming,#ffefaf,c_cpp,source.hc,HolyC
programming,#8D6747,c_cpp,source.mc,Monkey C
programming,#62A8D6,c_cpp,source.mql5,MQL4
programming,#4A76B8,c_cpp,source.mql5,MQL5
programming,#800000,c_cpp,source.nut,Squirrel
programming,#99DA07,c_cpp,source.xc,XC
programming,#ccccff,cirru,source.cirru,Cirru
programming,#db5855,clojure,source.clojure,Clojure
programming,#cc0088,clojure,source.clojure,Rouge
programming,#7582D1,clojure,source.clojure,wisp
programming,,cobol,source.cobol,COBOL
programming,#244776,coffee,source.coffee,CoffeeScript
programming,#FFF4F3,coffee,source.coffee,EmberScript
programming,#ed2cd6,coldfusion,source.cfscript,ColdFusion CFC
programming,#ed2cd6,coldfusion,text.html.cfm,ColdFusion
programming,#a52f4e,csharp,source.cs,Beef
programming,#178600,csharp,source.cs,C#
programming,#a78649,csharp,source.cs,EQ
programming,#9933cc,csharp,source.cs,Uno
programming,#1a1a1a,csound_document,source.csound-document,Csound Document
programming,#1a1a1a,csound_orchestra,source.csound,Csound
programming,#1a1a1a,csound_score,source.csound-score,Csound Score
programming,#ba595e,d,source.d,D
programming,#1F1F1F,d,source.d,Volt
programming,#00B4AB,dart,source.dart,Dart
programming,#384d54,dockerfile,source.dockerfile,Dockerfile
programming,#4d6977,eiffel,source.eiffel,Eiffel
programming,#6e4a7e,elixir,source.elixir,Elixir
programming,#60B5CC,elm,source.elm,Elm
programming,#B83998,erlang,source.erlang,Erlang
programming,,forth,none,MUF
programming,#341708,forth,source.forth,Forth
programming,#0050b2,ftl,text.html.ftl,FreeMarker
programming,#D08CF2,gcode,source.gcode,G-code
programming,#5686a5,glsl,source.glsl,GLSL
programming,#00ADD8,golang,source.go,Go
programming,#4f87c4,golang,source.v,V
programming,#4298b8,groovy,source.groovy,Groovy
programming,#3ac486,groovy,source.nextflow,Nextflow
programming,#531242,haskell,source.curry,Curry
programming,#ff0000,haskell,source.gf,Grammatical Framework
programming,#12223c,haskell,source.haskell,Bluespec BH
programming,,haskell,source.haskell,C2hs Haskell
programming,#dfafff,haskell,source.haskell,Dhall
programming,#00cafe,haskell,source.haskell,Frege
programming,#5e5086,haskell,source.haskell,Haskell
programming,#1D222D,haskell,source.purescript,PureScript
programming,#df7900,haxe,source.hx,Haxe
programming,#a9188d,io,source.io,Io
programming,#1797c0,java,source.apex,Apex
programming,#d03600,java,source.jasmin,Jasmin
programming,#3f8000,java,source.java,ChucK
programming,#b07219,java,source.java,Java
programming,#a54c4d,java,source.java,UnrealScript
programming,,javascript,source.js,Cycript
programming,#f1e05a,javascript,source.js,JavaScript
programming,#f1e05a,javascript,source.js,JavaScript+ERB
programming,#00b841,javascript,source.js,Qt Script
programming,#234d6b,javascript,source.pegjs,PEG.js
programming,#3178c6,javascript,source.tsx,TSX
programming,#c4a79c,json,source.json,Max
programming,#40d47e,jsoniq,source.jsoniq,JSONiq
programming,#4298b8,jsp,text.html.jsp,Groovy Server Pages
programming,#2A6277,jsp,text.html.jsp,Java Server Pages
programming,#a270ba,julia,source.julia,Julia
programming,#5546ff,lisp,source.clar,Clarity
