name,location
Almería,Almería
Athletic Bilbao,Bilbao
Atlético Madrid,Madrid
Barcelona,Barcelona
Cádiz,Cádiz
Celta Vigo,Vigo
Elche,Elche
Espanyol,Cornellà de Llobregat
Getafe,Getafe
Girona,Girona
Mallorca,Palma
Osasuna,Pamplona
Rayo Vallecano,Madrid
Real Betis,Seville
Real Madrid,Madrid
Real Sociedad,San Sebastián
Real Valladolid,Valladolid
Sevilla,Seville
Valencia,Valencia
Villarreal,Villarreal
