state,no,name,gender,party,start,end
California,1,Peter Hardeman Burnett,male,Independent,,
California,2,John McDougal,male,Independent,,
California,3,John Bigler,male,Democratic,,
California,4,J. Neely Johnson,male,American,,
California,5,John B. Weller,male,Democratic,,
California,6,Milton Latham,male,Democratic,,
California,7,John G. Downey,male,Democratic,,
California,8,Leland Stanford,male,Republican,,
California,9,Frederick Low,male,Union,,
California,10,Henry Huntly Haight,male,Democratic,,
California,11,Newton Booth,male,Republican,,
California,12,Romualdo Pacheco,male,Republican,,
California,13,William Irwin,male,Democratic,,
California,14,George Clement Perkins,male,Republican,,
California,15,George Stoneman,male,Democratic,,
California,16,Washington Bartlett,male,Democratic,,
California,17,Robert Waterman,male,Republican,,
California,18,Henry Markham,male,Republican,,
California,19,James Budd,male,Democratic,,
California,20,Henry Tifft Gage,male,Republican,,
California,21,George Pardee,male,Republican,,
California,22,James Gillett,male,Republican,,
California,23,Hiram Johnson,male,Republican,,
California,24,William Stephens,male,Republican,,
California,25,Friend Richardson,male,Republican,,
California,26,C. C. Young,male,Republican,,
California,27,James Rolph,male,Republican,,
California,28,Frank Merriam,male,Republican,,
California,29,Culbert Olson,male,Democratic,,
California,30,Earl Warren,male,Republican,,
California,31,Goodwin Knight,male,Republican,,
California,32,Pat Brown,male,Democratic,,
California,33,Ronald Reagan,male,Republican,,
California,34,Jerry Brown,male,Democratic,,
California,35,George Deukmejian,male,Republican,,
California,36,Pete Wilson,male,Republican,,
California,37,Gray Davis,male,Democratic,,
California,38,Arnold Schwarzenegger,male,Republican,,
California,39,Jerry Brown,male,Democratic,,
California,40,Gavin Newsom,male,Democratic,,
