name,capital
Andalusia,Seville
Aragon,Zaragoza
Asturias,Oviedo
Balearic Islands,Palma
Basque Country,Vitoria-Gasteiz
Canary Islands,"Las Palmas, Santa Cruz"
Cantabria,Santander
Castile and León,Valladolid
Castilla-La Mancha,Toledo
Catalonia,Barcelona
Madrid,City of Madrid
Extremadura,Mérida
Galicia,Santiago de Compostela
La Rioja,Logroño
Navarre,Pamplona
Murcia,City of Murcia
Valencia,City of Valencia
