country,macroregion,level,state,capital
Spain,,Division,Andalusia,Seville
Spain,,Division,Aragon,Zaragoza
Spain,,Division,Asturias,Oviedo
Spain,,Division,Balearic Islands,Palma
Spain,,Division,Basque Country,Vitoria-Gasteiz
Spain,,Division,Canary Islands,"Las Palmas, Santa Cruz"
Spain,,Division,Cantabria,Santander
Spain,,Division,Castile and León,Valladolid
Spain,,Division,Castilla-La Mancha,Toledo
Spain,,Division,Catalonia,Barcelona
Spain,,Division,Madrid,City of Madrid
Spain,,Division,Extremadura,Mérida
Spain,,Division,Galicia,Santiago de Compostela
Spain,,Division,La Rioja,Logroño
Spain,,Division,Navarre,Pamplona
Spain,,Division,Murcia,City of Murcia
Spain,,Division,Valencia,City of Valencia
Italy,South,Ordinary,Abruzzo,L'Aquila
Italy,North-West,Autonomous,Aosta Valley,Aosta
Italy,South,Ordinary,Apulia,Bari
Italy,South,Ordinary,Basilicata,Potenza
Italy,South,Ordinary,Calabria,Catanzaro
Italy,South,Ordinary,Campania,Naples
Italy,North-East,Ordinary,Emilia-Romagna,Bologna
Italy,North-East,Autonomous,Friuli-Venezia Giulia,Trieste
Italy,Centre,Ordinary,Lazio,Rome
Italy,North-West,Ordinary,Liguria,Genoa
Italy,North-West,Ordinary,Lombardy,Milan
Italy,Centre,Ordinary,Marche,Ancona
Italy,South,Ordinary,Molise,Campobasso
Italy,North-West,Ordinary,Piedmont,Turin
Italy,Islands,Autonomous,Sardinia,Cagliari
Italy,Islands,Autonomous,Sicily,Palermo
Italy,North-East,Autonomous,Trentino-South Tyrol,Trento
Italy,Centre,Ordinary,Tuscany,Florence
Italy,Centre,Ordinary,Umbria,Perugia
Italy,North-East,Ordinary,Veneto,Venice
Finland,,Region,Lapland,Rovaniemi
Finland,,Region,North Ostrobothnia,Oulu
Finland,,Region,Kainuu,Kajaani
Finland,,Region,North Karelia,Joensuu
Finland,,Region,North Savo,Kuopio
Finland,,Region,South Savo,Mikkeli
Finland,,Region,South Karelia,Lappeenranta
Finland,,Region,Central Finland,Jyväskylä
Finland,,Region,South Ostrobothnia,Seinäjoki
Finland,,Region,Ostrobothnia,Vaasa
Finland,,Region,Central Ostrobothnia,Kokkola
Finland,,Region,Pirkanmaa,Tampere
Finland,,Region,Satakunta,Pori
Finland,,Region,Päijät-Häme,Lahti
Finland,,Region,Kanta-Häme,Hämeenlinna
Finland,,Region,Kymenlaakso,"Kotka, Kouvola"
Finland,,Region,Uusimaa,Helsinki
Finland,,Region,Southwest Finland,Turku
Finland,,Region,Åland,Mariehamn
England,South East,County,Berkshire,
England,South East,County,Buckinghamshire,
England,South East,County,East Sussex,
England,South East,County,Hampshire,
England,South East,County,Isle of Wight,
England,South East,County,Kent,
England,South East,County,Oxfordshire,
England,South East,County,Surrey,
England,South East,County,West Sussex,
England,London,County,City of London,
England,London,County,Greater London,
England,North West,County,Cheshire,
England,North West,County,Cumbria,
England,North West,County,Greater Manchester,
England,North West,County,Lancashire,
England,North West,County,Merseyside,
England,East of England,County,Bedfordshire,
England,East of England,County,Cambridgeshire,
England,East of England,County,Essex,
England,East of England,County,Hertfordshire,
England,East of England,County,Norfolk,
England,East of England,County,Suffolk,
England,West Midlands,County,Herefordshire,
England,West Midlands,County,Shropshire,
England,West Midlands,County,Staffordshire,
England,West Midlands,County,Warwickshire,
England,West Midlands,County,West Midlands,
England,West Midlands,County,Worcestershire,
England,South West,County,Bristol,
England,South West,County,Cornwall,
England,South West,County,Devon,
England,South West,County,Dorset,
England,South West,County,Gloucestershire,
England,South West,County,Somerset,
England,South West,County,Wiltshire,
England,"Yorkshire and the Humber ",County,East Riding of Yorkshire,
England,"Yorkshire and the Humber ",County,North Yorkshire,
England,"Yorkshire and the Humber ",County,South Yorkshire,
England,"Yorkshire and the Humber ",County,West Yorkshire,
England,"Yorkshire and the Humber ",County,Lincolnshire,
England,East Midlands,County,Derbyshire,
England,East Midlands,County,Leicestershire,
England,East Midlands,County,Lincolnshire,
England,East Midlands,County,Northamptonshire,
England,East Midlands,County,Nottinghamshire,
England,East Midlands,County,Rutland,
England,North East,County,County Durham,
England,North East,County,Northumberland,
England,North East,County,Tyne and Wear,
England,North East,County,North Yorkshire,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
