no,name,party,president
1,William C. Redfield,Democratic,Woodrow Wilson
2,Joshua W. Alexander,Democratic,Woodrow Wilson
3,Herbert Hoover,Republican,Warren G. Harding
4,William F. Whiting,Republican,Calvin Coolidge
5,Robert P. Lamont,Republican,Herbert C. Hoover
6,Roy D. Chapin,Republican,Herbert C. Hoover
7,Daniel C. Roper,Democratic,Franklin D. Roosevelt
8,Harry Hopkins,Democratic,Franklin D. Roosevelt
9,Jesse H. Jones,Democratic,Franklin D. Roosevelt
10,Henry A. Wallace,Democratic,Harry S. Truman
11,W. Averell Harriman,Democratic,Harry S. Truman
12,Charles W. Sawyer,Democratic,Harry S. Truman
13,Sinclair Weeks,Republican,Dwight D. Eisenhower
14,Frederick H. Mueller,Republican,Dwight D. Eisenhower
15,Luther H. Hodges,Democratic,John F. Kennedy
16,John T. Connor,Independent,Lyndon B. Johnson
17,Alexander Trowbridge,Democratic,Lyndon B. Johnson
18,C. R. Smith,Democratic,Lyndon B. Johnson
19,Maurice Stans,Republican,Richard Nixon
20,Peter G. Peterson,Republican,Richard Nixon
21,Frederick B. Dent,Republican,Gerald Ford
22,Rogers Morton,Republican,Gerald Ford
23,Elliot Richardson,Republican,Gerald Ford
24,Juanita M. Kreps,Democratic,Jimmy Carter
25,Philip Klutznick,Democratic,Jimmy Carter
26,Malcolm Baldrige Jr.,Republican,Ronald Reagan
27,William Verity Jr.,Republican,Ronald Reagan
28,Robert Mosbacher,Republican,George H. W. Bush
29,Barbara Franklin,Republican,George H. W. Bush
30,Ron Brown,Democratic,Bill Clinton
31,Mickey Kantor,Democratic,Bill Clinton
32,William M. Daley,Democratic,Bill Clinton
33,Norman Mineta,Democratic,Bill Clinton
34,Donald Evans,Republican,George W. Bush
35,Carlos Gutierrez,Republican,George W. Bush
36,Gary Locke,Democratic,Barack Obama
37,John Bryson,Democratic,Barack Obama
38,Penny Pritzker,Democratic,Barack Obama
39,Wilbur Ross,Republican,Donald Trump
40,Gina Raimondo,Democratic,Joe Biden
