no,name,party,president
1,Alexander Hamilton,Federalist,George Washington
2,Oliver Wolcott Jr.,Federalist,John Adams
3,Samuel Dexter,Federalist,Thomas Jefferson
4,Albert Gallatin,Democratic-Republican,James Madison
5,George W. Campbell,Democratic-Republican,James Madison
6,Alexander J. Dallas,Democratic-Republican,James Madison
7,William H. Crawford,Democratic-Republican,James Monroe
8,Richard Rush,Federalist,John Quincy Adams
9,Samuel D. Ingham,Democratic,Andrew Jackson
10,Louis McLane,Democratic,Andrew Jackson
11,William J. Duane,Democratic,Andrew Jackson
12,Roger B. Taney,Democratic,Andrew Jackson
13,Levi Woodbury,Democratic,Martin Van Buren
14,Thomas Ewing,Whig,William Henry Harrison
15,Walter Forward,Whig,John Tyler
16,John Canfield Spencer,Whig,John Tyler
17,George M. Bibb,Democratic,John Tyler
18,Robert J. Walker,Democratic,James K. Polk
19,William M. Meredith,Whig,Zachary Taylor
20,Thomas Corwin,Whig,Millard Fillmore
21,James Guthrie,Democratic,Franklin Pierce
22,Howell Cobb,Democratic,James Buchanan
23,Philip Francis Thomas,Democratic,James Buchanan
24,John Adams Dix,Democratic,James Buchanan
25,Salmon P. Chase,Republican,Abraham Lincoln
26,William P. Fessenden,Republican,Abraham Lincoln
27,Hugh McCulloch,Republican,Andrew Johnson
28,George S. Boutwell,Republican,Ulysses S. Grant
29,William Adams Richardson,Republican,Ulysses S. Grant
30,Benjamin Bristow,Republican,Ulysses S. Grant
31,Lot M. Morrill,Republican,Ulysses S. Grant
32,John Sherman,Republican,Rutherford B. Hayes
33,William Windom,Republican,James A. Garfield
34,Charles J. Folger,Republican,Chester A. Arthur
35,Walter Q. Gresham,Republican,Chester A. Arthur
36,Hugh McCulloch,Republican,Chester A. Arthur
37,Daniel Manning,Democratic,Grover Cleveland
38,Charles S. Fairchild,Democratic,Grover Cleveland
39,William Windom,Republican,Benjamin Harrison
40,Charles Foster,Republican,Benjamin Harrison
41,John G. Carlisle,Democratic,Grover Cleveland
42,Lyman J. Gage,Republican,William McKinley
43,L. M. Shaw,Republican,Theodore Roosevelt
44,George B. Cortelyou,Republican,Theodore Roosevelt
45,Franklin MacVeagh,Republican,William Howard Taft
46,William Gibbs McAdoo,Democratic,Woodrow Wilson
47,Carter Glass,Democratic,Woodrow Wilson
48,David F. Houston,Democratic,Woodrow Wilson
49,Andrew Mellon,Republican,Warren G. Harding
50,Ogden L. Mills,Republican,Herbert Hoover
51,William H. Woodin,Republican,Franklin D. Roosevelt
52,Henry Morgenthau Jr.,Democratic,Franklin D. Roosevelt
53,Fred M. Vinson,Democratic,Harry S. Truman
54,John Wesley Snyder,Democratic,Harry S. Truman
55,George M. Humphrey,Republican,Dwight D. Eisenhower
56,Robert B. Anderson,Republican,Dwight D. Eisenhower
57,C. Douglas Dillon,Republican,John F. Kennedy
58,Henry H. Fowler,Democratic,Lyndon B. Johnson
59,Joseph W. Barr,Democratic,Lyndon B. Johnson
60,David M. Kennedy,Republican,Richard Nixon
61,John Connally,Democratic,Richard Nixon
62,George Shultz,Republican,Richard Nixon
63,William E. Simon,Republican,Gerald Ford
64,W. Michael Blumenthal,Democratic,Jimmy Carter
65,G. William Miller,Democratic,Jimmy Carter
66,Donald Regan,Republican,Ronald Reagan
67,James Baker,Republican,Ronald Reagan
68,Nicholas F. Brady,Republican,George H. W. Bush
69,Lloyd Bentsen,Democratic,Bill Clinton
70,Robert Rubin,Democratic,Bill Clinton
71,Lawrence Summers,Democratic,Bill Clinton
72,Paul H. O'Neill,Republican,George W. Bush
73,John W. Snow,Republican,George W. Bush
74,Henry Paulson,Republican,George W. Bush
75,Timothy Geithner,Independent,Barack Obama
76,Jack Lew,Democratic,Barack Obama
77,Steven Mnuchin,Republican,Donald Trump
78,Janet Yellen,Democratic,Joe Biden
