no,name,party,president
1,Shirley Hufstedler,Democratic,Jimmy Carter
2,Terrel Bell,Republican,Ronald Reagan
3,William Bennett,Democratic,Ronald Reagan
4,Lauro Cavazos,Democratic,George H. W. Bush
5,Lamar Alexander,Republican,George H. W. Bush
6,Richard Riley,Democratic,Bill Clinton
7,Rod Paige,Republican,George W. Bush
8,Margaret Spellings,Republican,George W. Bush
9,Arne Duncan,Democratic,Barack Obama
10,John King Jr.,Democratic,Barack Obama
11,Betsy DeVos,Republican,Donald Trump
12,Miguel Cardona,Democratic,Joe Biden
