no,name,party,president
1,William B. Wilson,Democratic,Woodrow Wilson
2,James J. Davis,Republican,Warren G. Harding
3,William N. Doak,Republican,Herbert Hoover
4,Frances Perkins,Democratic,Franklin D. Roosevelt
5,Lewis B. Schwellenbach,Democratic,Harry S. Truman
6,Maurice J. Tobin,Democratic,Harry S. Truman
7,Martin P. Durkin,Democratic,Dwight D. Eisenhower
8,James P. Mitchell,Republican,Dwight D. Eisenhower
9,Arthur Goldberg,Democratic,John F. Kennedy
10,W. Willard Wirtz,Democratic,Lyndon B. Johnson
11,George P. Shultz,Republican,Richard Nixon
12,James D. Hodgson,Republican,Richard Nixon
13,Peter J. Brennan,Republican,Gerald Ford
14,John T. Dunlop,Republican,Gerald Ford
15,William Usery Jr.,Republican,Gerald Ford
16,Ray Marshall,Democratic,Jimmy Carter
17,Raymond J. Donovan,Republican,Ronald Reagan
18,Bill Brock,Republican,Ronald Reagan
19,Ann Dore McLaughlin,Republican,Ronald Reagan
20,Elizabeth Dole,Republican,George H. W. Bush
21,Lynn M. Martin,Republican,George H. W. Bush
22,Robert Reich,Democratic,Bill Clinton
23,Alexis Herman,Democratic,Bill Clinton
24,Elaine Chao,Republican,George W. Bush
25,Hilda Solis,Democratic,Barack Obama
26,Tom Perez,Democratic,Barack Obama
27,Alexander Acosta,Republican,Donald Trump
28,Eugene Scalia,Republican,Donald Trump
29,Marty Walsh,Democratic,Joe Biden
