no,name,party,president
1,Norman Jay Coleman,Democratic,Grover Cleveland
2,Jeremiah McLain Rusk,Republican,Benjamin Harrison
3,Julius Sterling Morton,Democratic,Grover Cleveland
4,James Wilson,Republican,William McKinley
5,David F. Houston,Democratic,Woodrow Wilson
6,Edwin T. Meredith,Democratic,Woodrow Wilson
7,Henry Cantwell Wallace,Republican,Warren G. Harding
8,Howard Mason Gore,Republican,Calvin Coolidge
9,William Marion Jardine,Republican,Calvin Coolidge
10,Arthur M. Hyde,Republican,Herbert Hoover
11,Henry A. Wallace,Democratic,Franklin D. Roosevelt
12,Claude R. Wickard,Democratic,Harry S. Truman
13,Clinton Anderson,Democratic,Harry S. Truman
14,Charles F. Brannan,Democratic,Harry S. Truman
15,Ezra Taft Benson,Republican,Dwight D. Eisenhower
16,Orville Freeman,Democratic,John F. Kennedy
17,Clifford M. Hardin,Republican,Richard Nixon
18,Earl Butz,Republican,Gerald Ford
19,John Albert Knebel,Republican,Gerald Ford
20,Robert Bergland,Democratic,Jimmy Carter
21,John Rusling Block,Republican,Ronald Reagan
22,Richard Edmund Lyng,Republican,Ronald Reagan
23,Clayton Yeutter,Republican,George H. W. Bush
24,Edward Rell Madigan,Republican,George H. W. Bush
25,Mike Espy,Democratic,Bill Clinton
26,Dan Glickman,Democratic,Bill Clinton
27,Ann Veneman,Republican,George W. Bush
28,Mike Johanns,Republican,George W. Bush
29,Ed Schafer,Republican,George W. Bush
30,Tom Vilsack,Democratic,Barack Obama
31,Sonny Perdue,Republican,Donald Trump
32,Tom Vilsack,Democratic,Joe Biden
