no,name,party,president
1,Oveta Culp Hobby,Republican,Dwight D. Eisenhower
2,Marion B. Folsom,Republican,Dwight D. Eisenhower
3,Arthur S. Flemming,Republican,Dwight D. Eisenhower
4,Abraham A. Ribicoff,Democratic,John F. Kennedy
5,Anthony J. Celebrezze,Democratic,Lyndon B. Johnson
6,John W. Gardner,Republican,Lyndon B. Johnson
7,Wilbur J. Cohen,Democratic,Lyndon B. Johnson
8,Robert H. Finch,Republican,Richard Nixon
9,Elliot L. Richardson,Republican,Richard Nixon
10,Caspar Weinberger,Republican,Gerald Ford
11,F. David Mathews	,Independent,Gerald Ford
12,Joseph A. Califano Jr.,Democratic,Jimmy Carter
13,Patricia Roberts Harris,Democratic,Jimmy Carter
14,Richard S. Schweiker,Republican,Ronald Reagan
15,Margaret M. Heckler,Republican,Ronald Reagan
16,Otis R. Bowen,Republican,Ronald Reagan
17,Louis Wade Sullivan,Republican,George H. W. Bush
18,Donna Shalala,Democratic,Bill Clinton
19,Tommy G. Thompson,Republican,George W. Bush
20,Michael O. Leavitt,Republican,George W. Bush
21,Kathleen Sebelius,Democratic,Barack Obama
22,Sylvia Mathews Burwell,Democratic,Barack Obama
23,Tom Price,Republican,Donald Trump
24,Alex Azar,Republican,Donald Trump
25,Xavier Becerra,Democratic,Joe Biden
