no,name,party,president
1,James Schlesinger,Republican,Jimmy Carter
2,Charles Duncan,Democratic,Jimmy Carter
3,James Edwards,Republican,Ronald Reagan
4,Donald Hodel,Republican,Ronald Reagan
5,John Herrington,Republican,Ronald Reagan
6,James Watkins,Republican,George H. W. Bush
7,Hazel O'Leary,Democratic,Bill Clinton
8,Federico Peña,Democratic,Bill Clinton
9,Bill Richardson,Democratic,Bill Clinton
10,Spencer Abraham,Republican,George W. Bush
11,Samuel Bodman,Republican,George W. Bush
12,Steven Chu,Democratic,Barack Obama
13,Ernest Moniz,Democratic,Barack Obama
14,Rick Perry,Republican,Donald Trump
15,Dan Brouillette,Republican,Donald Trump
16,Jennifer Granholm,Democratic,Joe Biden
