no,name,party,president
1,Ed Derwinski,Republican,George H. W. Bush
2,Jesse Brown,Democratic,Bill Clinton
3,Togo D. West Jr.,Democratic,Bill Clinton
4,Anthony Principi,Republican,George W. Bush
5,Jim Nicholson,Republican,George W. Bush
6,James Peake,Republican,George W. Bush
7,Eric Shinseki,Democratic,Barack Obama
8,Bob McDonald,Republican,Barack Obama
9,David Shulkin,Republican,Donald Trump
10,Robert Wilkie,Republican,Donald Trump
11,Denis McDonough,Democratic,Joe Biden
