no,name,party,president
1,Robert C. Weaver,Democratic,Lyndon B. Johnson
2,Robert C. Wood,Democratic,Lyndon B. Johnson
3,George W. Romney,Republican,Richard Nixon
4,James T. Lynn,Republican,Gerald Ford
5,Carla A. Hills,Republican,Gerald Ford
6,Patricia R. Harris,Democratic,Jimmy Carter
7,Moon Landrieu,Democratic,Jimmy Carter
8,Samuel R. Pierce,Republican,Ronald Reagan
9,Jack F. Kemp,Republican,George H. W. Bush
10,Henry G. Cisneros,Democratic,Bill Clinton
11,Andrew M. Cuomo,Democratic,Bill Clinton
12,Mel Martinez,Republican,George W. Bush
13,Alphonso Jackson,Republican,George W. Bush
14,Steve Preston,Republican,George W. Bush
15,Shaun Donovan,Democratic,Barack Obama
16,Julián Castro,Democratic,Barack Obama
17,Ben Carson,Republican,Donald Trump
18,Marcia Fudge,Democratic,Joe Biden
