no,name,party,president
1,Alan S. Boyd,Democratic,Lyndon B. Johnson
2,John Volpe,Republican,Richard Nixon
3,Claude Brinegar,Republican,Gerald R. Ford
4,William Thaddeus Coleman Jr.,Republican,Gerald R. Ford
5,Brock Adams,Democratic,Jimmy Carter
6,Neil Goldschmidt,Democratic,Jimmy Carter
7,Drew Lewis,Republican,Ronald Reagan
8,Elizabeth Dole,Republican,Ronald Reagan
9,James H. Burnley IV,Republican,Ronald Reagan
10,Samuel K. Skinner,Republican,George H. W. Bush
11,Andrew Card,Republican,George H. W. Bush
12,Federico Peña,Democratic,Bill Clinton
13,Rodney E. Slater,Democratic,Bill Clinton
14,Norman Mineta,Democratic,George W. Bush
15,Mary E. Peters,Republican,George W. Bush
16,Ray LaHood,Republican,Barack Obama
17,Anthony Foxx,Democratic,Barack Obama
18,Elaine Chao,Republican,Donald Trump
19,Pete Buttigieg,Democratic,Joe Biden
