symbol,first,last,change,change_percentage
APP,4.92,6.1,0.24,24
BVH,28.2,34.16,0.21,21
VSI,1.43,1.71,0.2,20
KTT,2.0,2.4,0.2,20
HDM,2.72,3.27,0.2,20
PCT,1.16,1.37,0.18,18
LCC,3.8,4.5,0.18,18
WSS,2.9,3.4,0.17,17
SDP,3.09,3.63,0.17,17
PFL,2.9,3.4,0.17,17
BRC,2.54,2.94,0.16,16
AGR,3.96,4.59,0.16,16
VDL,4.07,4.69,0.15,15
SBS,2.7,3.1,0.15,15
PAC,3.76,4.32,0.15,15
MSN,42.98,49.41,0.15,15
CNT,8.2,9.4,0.15,15
HNM,4.23,4.83,0.14,14
BVS,5.99,6.82,0.14,14
TV4,1.71,1.93,0.13,13
TRA,9.31,10.53,0.13,13
SD2,2.67,3.02,0.13,13
DHA,3.15,3.57,0.13,13
CTG,7.45,8.43,0.13,13
CTB,4.34,4.9,0.13,13
ATA,6.2,7.0,0.13,13
VKP,0.8,0.9,0.12,12
KMT,2.69,3.02,0.12,12
JVC,12.37,13.83,0.12,12
HVX,1.94,2.18,0.12,12
GTT,5.0,5.6,0.12,12
FBA,1.7,1.9,0.12,12
EVE,5.95,6.67,0.12,12
BVG,2.5,2.8,0.12,12
VHC,4.76,5.27,0.11,11
VCC,1.56,1.73,0.11,11
THB,3.2,3.54,0.11,11
PVA,4.5,5.0,0.11,11
NTB,3.5,3.9,0.11,11
HJS,1.42,1.57,0.11,11
GTA,2.79,3.11,0.11,11
DID,3.57,3.96,0.11,11
DC2,3.47,3.86,0.11,11
DBC,2.37,2.64,0.11,11
SD3,2.58,2.85,0.1,10
PXT,4.0,4.4,0.1,10
PVD,12.15,13.32,0.1,10
IN4,3.0,3.3,0.1,10
DNT,9.53,10.48,0.1,10
DC4,2.03,2.24,0.1,10
CVT,0.97,1.07,0.1,10
VTA,1.1,1.2,0.09,9
VNF,5.63,6.15,0.09,9
TNG,1.15,1.25,0.09,9
TBX,11.81,12.83,0.09,9
NBP,4.67,5.08,0.09,9
MDC,2.81,3.06,0.09,9
LM3,2.3,2.5,0.09,9
GTH,4.54,4.94,0.09,9
DHC,1.53,1.67,0.09,9
CCL,4.81,5.22,0.09,9
THT,1.03,1.11,0.08,8
SMT,1.12,1.21,0.08,8
SMC,2.41,2.6,0.08,8
SCR,2.57,2.78,0.08,8
PPS,2.75,2.96,0.08,8
NTL,5.45,5.89,0.08,8
ITD,2.2,2.38,0.08,8
HTV,2.2,2.38,0.08,8
HDG,1.54,1.66,0.08,8
HDA,1.44,1.55,0.08,8
GMC,2.0,2.17,0.08,8
CTS,1.92,2.08,0.08,8
CAN,14.01,15.08,0.08,8
VNL,4.0,4.29,0.07,7
VNI,4.0,4.3,0.07,7
VNE,1.87,2.0,0.07,7
VIG,1.5,1.6,0.07,7
TV1,3.77,4.04,0.07,7
TTF,5.91,6.3,0.07,7
TCM,2.89,3.1,0.07,7
SVI,6.92,7.39,0.07,7
STL,5.7,6.1,0.07,7
SRB,3.0,3.2,0.07,7
SHS,0.7,0.75,0.07,7
SDT,2.21,2.37,0.07,7
SDD,2.7,2.9,0.07,7
SD4,1.93,2.06,0.07,7
SAF,2.91,3.11,0.07,7
PSB,3.0,3.2,0.07,7
PPI,3.19,3.41,0.07,7
PHR,6.41,6.85,0.07,7
PHH,2.53,2.71,0.07,7
PDC,2.7,2.9,0.07,7
ORS,0.87,0.93,0.07,7
MEC,3.61,3.85,0.07,7
MDF,2.97,3.19,0.07,7
MBB,2.52,2.69,0.07,7
KSB,2.92,3.13,0.07,7
ILC,5.73,6.13,0.07,7
HBC,1.91,2.04,0.07,7
GMX,2.17,2.32,0.07,7
DHT,5.63,6.03,0.07,7
DCT,4.1,4.4,0.07,7
CHP,2.14,2.28,0.07,7
BHC,4.1,4.4,0.07,7
ADC,1.07,1.15,0.07,7
VXB,3.34,3.54,0.06,6
VCR,4.9,5.2,0.06,6
VCG,4.93,5.24,0.06,6
TST,4.52,4.8,0.06,6
TIE,4.63,4.9,0.06,6
TDC,2.17,2.31,0.06,6
STC,2.21,2.35,0.06,6
ST8,1.29,1.37,0.06,6
SSI,3.48,3.69,0.06,6
SHN,3.27,3.45,0.06,6
SED,2.57,2.72,0.06,6
SDA,3.21,3.41,0.06,6
S96,4.7,5.0,0.06,6
PSI,3.1,3.3,0.06,6
OCH,6.31,6.71,0.06,6
IDI,2.01,2.14,0.06,6
HPG,0.79,0.84,0.06,6
HAP,1.01,1.07,0.06,6
FDC,15.45,16.32,0.06,6
EID,2.54,2.69,0.06,6
EIB,9.4,10.0,0.06,6
DXV,2.83,2.99,0.06,6
DXG,1.73,1.83,0.06,6
DST,2.06,2.19,0.06,6
CCM,3.5,3.71,0.06,6
CAD,1.6,1.7,0.06,6
BTS,2.53,2.69,0.06,6
BST,2.06,2.19,0.06,6
BMC,8.22,8.72,0.06,6
BBS,2.72,2.88,0.06,6
AGF,8.42,8.9,0.06,6
VND,0.77,0.81,0.05,5
TVD,2.15,2.26,0.05,5
STB,11.42,12.03,0.05,5
SSM,3.16,3.33,0.05,5
SMA,1.91,2.01,0.05,5
SHP,1.88,1.98,0.05,5
SCD,9.98,10.47,0.05,5
PXA,2.19,2.29,0.05,5
PVX,6.4,6.7,0.05,5
PTL,3.7,3.9,0.05,5
PSG,3.8,4.0,0.05,5
PLC,3.46,3.62,0.05,5
NVT,1.9,2.0,0.05,5
NOS,1.9,2.0,0.05,5
LCM,20.9,21.86,0.05,5
L10,2.54,2.67,0.05,5
INC,1.96,2.06,0.05,5
HCM,2.23,2.35,0.05,5
HAS,3.23,3.39,0.05,5
GDT,2.9,3.04,0.05,5
DTL,13.85,14.48,0.05,5
DAD,2.42,2.54,0.05,5
CMT,7.5,7.9,0.05,5
BIC,3.37,3.53,0.05,5
APS,1.77,1.86,0.05,5
VIX,0.52,0.54,0.04,4
VC1,3.12,3.26,0.04,4
TXM,1.88,1.96,0.04,4
TMP,2.97,3.08,0.04,4
TIG,1.03,1.07,0.04,4
TCR,4.38,4.55,0.04,4
STP,2.34,2.43,0.04,4
SJD,2.27,2.35,0.04,4
SIC,1.58,1.64,0.04,4
SFI,3.32,3.45,0.04,4
RDP,2.37,2.47,0.04,4
PVL,2.8,2.9,0.04,4
PTB,1.35,1.4,0.04,4
NDN,1.39,1.44,0.04,4
MTG,2.77,2.87,0.04,4
LCS,9.58,9.92,0.04,4
KSD,2.4,2.5,0.04,4
HSI,8.0,8.3,0.04,4
HCC,1.3,1.35,0.04,4
HAX,0.98,1.02,0.04,4
