gender,competition,year,host,champion,champion_former,champion_score,runner_up,runner_up_former,runner_up_score,third_place,third_place_former,fourth_place,fourth_place_former
male,FIFA World Cup,1930,Uruguay,Uruguay,,,Argentina,,,United States,,Yugoslavia,
male,FIFA World Cup,1934,Italy,Italy,,,Czechoslovakia,,,Germany,,Austria,
male,FIFA World Cup,1938,France,Italy,,,Hungary,,,Brazil,,Sweden,
male,FIFA World Cup,1950,Brazil,Uruguay,,,Brazil,,,Sweden,,Spain,
male,FIFA World Cup,1954,Switzerland,West Germany,,,Hungary,,,Austria,,Uruguay,
male,FIFA World Cup,1958,Sweden,Brazil,,,Sweden,,,France,,West Germany,
male,FIFA World Cup,1962,Chile,Brazil,,,Czechoslovakia,,,Chile,,Yugoslavia,
male,FIFA World Cup,1966,England,England,,,West Germany,,,Portugal,,Soviet Union,
male,FIFA World Cup,1970,Mexico,Brazil,,,Italy,,,West Germany,,Uruguay,
male,FIFA World Cup,1974,West Germany,West Germany,,,Netherlands,,,Poland,,Brazil,
male,FIFA World Cup,1978,Argentina,Argentina,,,Netherlands,,,Brazil,,Italy,
male,FIFA World Cup,1982,Spain,Italy,,,West Germany,,,Poland,,France,
male,FIFA World Cup,1986,Mexico,Argentina,,,West Germany,,,France,,Belgium,
male,FIFA World Cup,1990,Italy,West Germany,,,Argentina,,,Italy,,England,
male,FIFA World Cup,1994,United States,Brazil,,,Italy,,,Sweden,,Bulgaria,
male,FIFA World Cup,1998,France,France,,,Brazil,,,Croatia,,Netherlands,
male,FIFA World Cup,2002,South Korea;Japan,Brazil,,,Germany,,,Turkey,,South Korea,
male,FIFA World Cup,2006,Germany,Italy,,,France,,,Germany,,Uruguay,
male,FIFA World Cup,2010,South Africa,Spain,,,Netherlands,,,Germany,,Uruguay,
male,FIFA World Cup,2014,Brazil,Germany,,,Argentina,,,Netherlands,,Brazil,
male,FIFA World Cup,2018,Russia,France,,,Croatia,,,Belgium,,England,
male,FIFA World Cup,2022,Qatar,Argentina,,,France,,,Croatia,,Morocco,
male,UEFA European Championship,1960,France,Russia,Soviet Union,,Yugoslavia,,,,,,
male,UEFA European Championship,1964,Spain,Spain,,,Russia,Soviet Union,,,,,
male,UEFA European Championship,1968,Italy,Italy,,,Yugoslavia,,,,,,
male,UEFA European Championship,1972,Belgium,Germany,West Germany,,Russia,Soviet Union,,,,,
male,UEFA European Championship,1976,Yugoslavia,Czech Republic,Czechoslovakia,,Germany,West Germany,,,,,
male,UEFA European Championship,1980,Italy,Germany,West Germany,,Belgium,,,,,,
male,UEFA European Championship,1984,France,France,,,Spain,,,,,,
male,UEFA European Championship,1988,West Germany,Netherlands,,,Russia,Soviet Union,,,,,
male,UEFA European Championship,1992,Sweden,Denmark,,,Germany,,,,,,
male,UEFA European Championship,1996,England,Germany,,,Czech Republic,,,,,,
male,UEFA European Championship,2000,Belgium;Netherlands,France,,,Italy,,,,,,
male,UEFA European Championship,2004,Portugal,Greece,,,Portugal,,,,,,
male,UEFA European Championship,2008,Austria;Switzerland,Spain,,,Germany,,,,,,
male,UEFA European Championship,2012,Poland;Ukraine,Spain,,,Italy,,,,,,
male,UEFA European Championship,2016,France,Portugal,,,France,,,,,,
male,UEFA European Championship,2020,Europe,Italy,,,England,,,,,,
male,AFC Asian Cup,1956,Hong Kong,South Korea,,,Israel,,,Hong Kong,,South Vietnam,
male,AFC Asian Cup,1960,South Korea,South Korea,,,Israel,,,Taiwan,Republic of China,South Vietnam,
male,AFC Asian Cup,1964,Israel,Israel,,,India,,,South Korea,,Hong Kong,
male,AFC Asian Cup,1968,Iran,Iran,,,Burma,,,Israel,,Taiwan,Republic of China
