name,capital
Lapland,Rovaniemi
North Ostrobothnia,Oulu
Kainuu,Kajaani
North Karelia,Joensuu
North Savo,Kuopio
South Savo,Mikkeli
South Karelia,Lappeenranta
Central Finland,Jyväskylä
South Ostrobothnia,Seinäjoki
Ostrobothnia,Vaasa
Central Ostrobothnia,Kokkola
Pirkanmaa,Tampere
Satakunta,Pori
Päijät-Häme,Lahti
Kanta-Häme,Hämeenlinna
Kymenlaakso,"Kotka, Kouvola"
Uusimaa,Helsinki
Southwest Finland,Turku
Åland,Mariehamn
